varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,metric,n_replicates,relative_delta_med,relative_delta_p10,relative_delta_p90
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,alpha_q0,5,31.322094055013295,29.58242850181739,35.265631676399366
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,alpha_q1,5,16.847194881929884,15.462640469185366,19.218291103940594
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,alpha_q2,5,10.6739140411542,9.264524114288113,11.681791381785652
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,mean_bray_curtis,5,-2.039414880061304,-2.0599138561042754,-1.6340050705923477
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,mean_jaccard,5,-4.103106530323327,-4.237225965576524,-3.5338150627797527
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,mean_occupancy,5,31.322094055013295,29.582428501817404,35.265631676399366
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,mean_sorensen,5,-6.440716922447464,-6.832633993318741,-5.743915608881071
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,alpha_q0,5,5.084745762711877,4.735006640360002,5.354953575633138
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,alpha_q1,5,2.0259340827911747,1.9238121204477663,2.210743936899289
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,alpha_q2,5,1.1538092069631685,1.003736880177754,1.3324689519509887
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,mean_bray_curtis,5,-0.1597711424897815,-0.21653669584285462,-0.15412094064883292
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,mean_jaccard,5,-0.27759412612949347,-0.5235818793744216,-0.18853648295914527
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,mean_occupancy,5,5.084745762711856,4.735006640360012,5.354953575633146
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,mean_sorensen,5,-0.4973600970758808,-0.8560777444884669,-0.34614892879014514
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,alpha_q0,5,43.63166953528397,42.44323775091527,48.26662868537245
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,alpha_q1,5,29.333379967066154,27.45509309141069,32.68646543791627
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,alpha_q2,5,20.044977116726255,18.488205726097277,22.64368324683103
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,mean_bray_curtis,5,-3.670202274404865,-3.873312095100686,-3.268016329485837
