varied_parameter,factor_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,response,low_factor_value,high_factor_value,low_response,high_response,high_minus_low
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,delta_alpha_med,1.5,8,31.322094055013295,28.57142857142857,-2.7506654835847257
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,delta_gamma_med,1.5,8,0,0,0
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,delta_occupancy_med,1.5,8,31.322094055013295,28.57142857142858,-2.750665483584715
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,effect_alpha_q0,1.5,8,31.322094055013295,28.57142857142857,-2.7506654835847257
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,effect_alpha_q1,1.5,8,16.847194881929884,14.81053868637423,-2.036656195555654
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,effect_alpha_q2,1.5,8,10.6739140411542,8.896631346989613,-1.7772826941645867
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,effect_gamma,1.5,8,0,0,0
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,effect_mean_bray_curtis,1.5,8,-2.039414880061304,-1.8068879477312139,0.23252693233009025
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,effect_mean_jaccard,1.5,8,-4.103106530323327,-3.478113777647158,0.6249927526761692
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,effect_mean_occupancy,1.5,8,31.322094055013295,28.57142857142858,-2.750665483584715
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,effect_mean_sorensen,1.5,8,-6.440716922447464,-5.635100551367987,0.805616371079477
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,delta_alpha_med,1.5,8,5.084745762711877,3.8826574633304545,-1.2020882993814221
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,delta_gamma_med,1.5,8,0,0,0
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,delta_occupancy_med,1.5,8,5.084745762711856,3.8826574633304602,-1.202088299381396
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,effect_alpha_q0,1.5,8,5.084745762711877,3.8826574633304545,-1.2020882993814221
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,effect_alpha_q1,1.5,8,2.0259340827911747,1.5616830709125726,-0.46425101187860207
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,effect_alpha_q2,1.5,8,1.1538092069631685,0.8572147792457003,-0.29659442771746813
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,effect_gamma,1.5,8,0,0,0
mean_genera_per_family,Mean genera per family,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,effect_mean_bray_curtis,1.5,8,-0.1597711424897815,-0.1413547557958773,0.01841638669390419
