varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,realised_mean_error_med,realised_unresolved_rate_med,eligible_source_species_med
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,0.07318707084240496,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,0.007195477128661984,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,0.1382515491542455,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,0.02167209182799383,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,0.03567241668062301,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,0.07136306794497707,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,0.006424533150591057,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,0.14160107184726176,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,0.020091704877032098,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,0.03483503600736895,0,52
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,0.09805727683805057,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,0.009123773454983646,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,0.19004992253399897,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,0.028423529411764705,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,0.05011135857461024,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_10pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.1,   10%,0.09551139283878705,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_1pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.01,    1%,0.008658823529411764,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_20pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.2,   20%,0.19335119745436274,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_3pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.03,    3%,0.02851764705882353,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_5pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.05,    5%,0.04968305636457084,0,74
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_difficult_genera_to_genus,Difficult genera reported at genus,fixed_workflow,difficult_to_genus,fixed_workflow,NA,fixed,0,0.18591079616506878,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_10pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.1,   10%,0,0.09891764705882355,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_1pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.01,    1%,0,0.01000416840350149,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_20pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.2,   20%,0,0.20075031263026266,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_3pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.03,    3%,0,0.02992941176470587,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_5pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.05,    5%,0,0.04828235294117644,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_family_level,Family-level aggregation,fixed_workflow,family_level,fixed_workflow,NA,fixed,0,NA,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_genus_level,Genus-level aggregation,fixed_workflow,genus_level,fixed_workflow,NA,fixed,0,NA,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_mixed_rtu_10pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.1,   10%,0,0.10040194272316194,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_mixed_rtu_1pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.01,    1%,0,0.009765290388898396,52
