world_id,varied_parameter,factor_label,factor_value,factor_value_label,n_regional_species...6,n_genera...7,n_families...8,difficult_genus_fraction,n_sites,n_observed_species,occupancy_mean,occupancy_precision,mean_abundance,abundance_nb_size,occupancy_abundance_slope,observed_selection_bias,environmental_gradient_strength,regional_observed_ratio_input,mean_species_per_genus_input,mean_genera_per_family_input,occupancy_mean_input,mean_species_per_family_input,replicate_id,n_regional_species...25,n_genera...26,n_families...27,mean_species_per_genus,cv_species_per_genus,prop_monotypic_genera,mean_genera_per_family,cv_genera_per_family,prop_difficult_genera,true_alpha_q0,true_gamma,true_mean_occupancy,true_mean_bray_curtis
1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,120,30,9,4,0.7768193328323317,0.1,3.3333333333333335,1.8854707634964802,0.2,14.4,78,0.1846153846153846,0.8383617970212673
1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,2,120,30,7,4,0.572351471472339,0.13333333333333333,4.285714285714286,1.8259447072882777,0.2,19.34285714285714,78,0.247985347985348,0.7456222041931133
1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,3,120,30,8,4,0.6885767430246847,0.2,3.75,1.5401504770844605,0.2,14.571428571428571,77,0.18923933209647495,0.8158476153543605
1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,4,120,30,6,4,0.7456771974243417,0.13333333333333333,5,1.6733200530681511,0.2,16.457142857142856,76,0.21654135338345865,0.8034545830089881
1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,5,120,30,6,4,0.7712506636670704,0.23333333333333334,5,1.584929020492716,0.2,17.185714285714287,78,0.22032967032967032,0.7952367562520916
2,regional_observed_ratio,Regional / observed species ratio,3,3,240,60,15,0.2,70,80,0.2,6,8,1.5,0.6,0,0,3,4,4,0.2,16,1,240,60,13,4,0.5912497536459873,0.16666666666666666,4.615384615384615,2.5705508128573302,0.2,14.371428571428572,78,0.18424908424908423,0.8141063322723113
2,regional_observed_ratio,Regional / observed species ratio,3,3,240,60,15,0.2,70,80,0.2,6,8,1.5,0.6,0,0,3,4,4,0.2,16,2,240,60,11,4,0.6411060358104129,0.18333333333333332,5.454545454545454,2.285959560252786,0.2,13.8,78,0.17692307692307693,0.8134361865740839
2,regional_observed_ratio,Regional / observed species ratio,3,3,240,60,15,0.2,70,80,0.2,6,8,1.5,0.6,0,0,3,4,4,0.2,16,3,240,60,12,4,0.6995761428615308,0.13333333333333333,5,1.9614465904716158,0.2,16.442857142857143,78,0.2108058608058608,0.8119425411352854
2,regional_observed_ratio,Regional / observed species ratio,3,3,240,60,15,0.2,70,80,0.2,6,8,1.5,0.6,0,0,3,4,4,0.2,16,4,240,60,11,4,0.8182246179526309,0.2,5.454545454545454,2.16824301631016,0.2,15.657142857142857,75,0.20876190476190476,0.7976560952827604
2,regional_observed_ratio,Regional / observed species ratio,3,3,240,60,15,0.2,70,80,0.2,6,8,1.5,0.6,0,0,3,4,4,0.2,16,5,240,60,14,4,0.5227858880514686,0.1,4.285714285714286,2.5370081309310493,0.2,15.514285714285714,76,0.20413533834586467,0.7979365984355947
