species,genus,family,difficult_genus
cdref:216346,Arrhopalites,Arrhopalitidae,FALSE
cdref:216361,Bourletiella,Bourletiellidae,FALSE
cdref:215873,Brachystomella,Brachystomellidae,FALSE
cdref:216313,Cyphoderus,Cyphoderidae,FALSE
cdref:216387,Dicyrtomina,Dicyrtomidae,FALSE
cdref:216302,Entomobrya,Entomobryidae,TRUE
cdref:216289,Heteromurus,Entomobryidae,FALSE
cdref:216290,Heteromurus,Entomobryidae,FALSE
cdref:216269,Lepidocyrtus,Entomobryidae,TRUE
cdref:216271,Lepidocyrtus,Entomobryidae,TRUE
cdref:28902,Lepidocyrtus,Entomobryidae,TRUE
cdref:216206,Pseudosinella,Entomobryidae,FALSE
cdref:216236,Pseudosinella,Entomobryidae,FALSE
cdref:216246,Pseudosinella,Entomobryidae,FALSE
cdref:215800,Ceratophysella,Hypogastruridae,TRUE
cdref:215802,Ceratophysella,Hypogastruridae,TRUE
cdref:215819,Hypogastrura,Hypogastruridae,FALSE
cdref:215824,Hypogastrura,Hypogastruridae,FALSE
cdref:215856,Triacanthella,Hypogastruridae,FALSE
cdref:215867,Xenylla,Hypogastruridae,FALSE
cdref:215868,Xenylla,Hypogastruridae,FALSE
cdref:28893,Folsomia,Isotomidae,TRUE
cdref:216107,Folsomia,Isotomidae,TRUE
cdref:28898,Isotoma,Isotomidae,TRUE
cdref:216125,Isotomiella,Isotomidae,FALSE
cdref:216130,Isotomodes,Isotomidae,FALSE
cdref:216150,Parisotoma,Isotomidae,FALSE
cdref:216154,Proisotoma,Isotomidae,FALSE
cdref:216155,Proisotoma,Isotomidae,FALSE
cdref:216181,Tetracanthella,Isotomidae,FALSE
cdref:216395,Sminthurinus,Katiannidae,FALSE
cdref:216396,Sminthurinus,Katiannidae,FALSE
cdref:215945,Friesea,Neanuridae,FALSE
cdref:215889,Lathriopyga,Neanuridae,FALSE
cdref:215877,Neanura,Neanuridae,FALSE
cdref:216341,Megalothorax,Neelidae,FALSE
cdref:216409,Sminthurus,Sminthuridae,FALSE
cdref:216421,Sminthurides,Sminthurididae,TRUE
cdref:216426,Sphaeridia,Sminthurididae,FALSE
cdref:216329,Tomocerina,Tomoceridae,FALSE
cdref:216006,Metaphorura,Tullbergiidae,FALSE
