taxon,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,delta_alpha_med,delta_alpha_p10,delta_alpha_p90,delta_gamma_med,delta_gamma_p10,delta_gamma_p90,delta_occupancy_med,delta_occupancy_p10,delta_occupancy_p90,beta_signature,n_replicates
Collembola,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,18.398956975228167,16.162676186372867,28.70776162195372,0,0,0,18.398956975228163,16.16267618637288,28.707761621953733,apparent_homogenisation,10
Collembola,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,3.35368302674914,2.2860962566844862,5.281589186975219,0,-0.26315789473684237,0,3.3536830267491426,2.286096256684504,5.535169783471746,apparent_homogenisation,10
Collembola,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,26.76820504062958,21.916507662953155,38.2796137630899,0,0,0,26.76820504062958,21.916507662953173,38.279613763089884,apparent_homogenisation,10
Collembola,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,8.099994142112358,6.917584784883365,10.199518403852773,0,-0.2941176470588238,0,8.099994142112354,6.917584784883365,11.042112710144677,apparent_homogenisation,10
Collembola,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,12.535947712418295,9.814763322320008,15.411973513550416,0,0,0,12.53594771241831,9.814763322320003,15.411973513550409,apparent_homogenisation,10
Collembola,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,20.768250803146117,15.754600849387575,25.77383380932953,0,0,0,20.768250803146124,15.754600849387586,25.773833809329528,apparent_homogenisation,10
Collembola,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,3.245302851136514,1.9428202129623862,4.584573128862443,0,0,0,3.2453028511365183,1.9428202129623815,4.584573128862446,apparent_homogenisation,10
Collembola,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,26.850175967823027,21.421417565485356,45.32435740514076,0,0,0,26.850175967823027,21.421417565485356,45.32435740514077,apparent_homogenisation,10
Collembola,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,8.666002124941802,7.592276144907732,9.874113069352257,0,0,0,8.666002124941805,7.592276144907734,9.874113069352264,apparent_homogenisation,10
Collembola,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,12.244730962444319,9.95014985014985,15.133114888388286,0,-0.285714285714286,0,12.244730962444319,9.950149850149833,17.237765677641114,apparent_homogenisation,10
