taxon,n_sites,n_observed_species_from_community,regional_observed_species_ratio,regional_mean_species_per_genus,regional_mean_genera_per_family,observed_mean_occupancy,simulated_n_regional_species,simulated_n_genera,simulated_n_families,simulated_mean_species_per_genus,simulated_cv_species_per_genus,simulated_prop_monotypic_genera,simulated_mean_genera_per_family,simulated_cv_genera_per_family,simulated_prop_difficult_genera,replicate_id,true_alpha_q0,true_gamma,true_mean_occupancy
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,1,4.529411764705882,33,0.13725490196078433
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,2,4.5,35,0.12857142857142856
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,3,5.029411764705882,35,0.14369747899159663
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,4,6.205882352941177,34,0.18252595155709342
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,5,5.838235294117647,38,0.15363777089783281
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,6,5.205882352941177,35,0.14873949579831933
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,7,3.292307692307692,36,0.08741830065359478
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,8,3.8358208955223883,34,0.111159169550173
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,9,3.8507462686567164,33,0.11497326203208556
Collembola,68,41,15.707317073170731,4.293333333333333,7.5,0.11979913916786226,644,150,20,4.293333333333333,1.584004180780116,0.4266666666666667,7.5,1.1432998307198232,0.04666666666666667,10,4.779411764705882,35,0.1365546218487395
