metric,baseline,target,delta,relative_delta_pct,world_id,replicate_id,scenario
alpha_q0,61.197080291970806,66.35766423357664,5.160583941605836,8.432729007633581,1,1,observed_congeneric_error
alpha_q1,52.48446308323425,54.19576183027039,1.711298747036139,3.260581601686995,1,1,observed_congeneric_error
alpha_q2,46.20106269962892,47.198935149539615,0.9978724499106946,2.1598473965810085,1,1,observed_congeneric_error
gamma,202,202,0,0,1,1,observed_congeneric_error
mean_occupancy,0.3029558430295584,0.3285032882850329,0.025547445255474477,8.432729007633597,1,1,observed_congeneric_error
mean_bray_curtis,0.7244116805097451,0.7192645977278718,-0.005147082781873369,-0.7105190212078762,1,1,observed_congeneric_error
mean_jaccard,0.7906657396043887,0.7592426420655917,-0.03142309753879702,-3.9742581428303234,1,1,observed_congeneric_error
mean_sorensen,0.6557823144088044,0.6141814503721136,-0.04160086403669083,-6.343700207010692,1,1,observed_congeneric_error
alpha_q0,61.197080291970806,73.86861313868613,12.671532846715323,20.706106870228997,1,1,regional_congeneric_error
alpha_q1,52.48446308323425,56.267739881173284,3.783276797939031,7.208374775482021,1,1,regional_congeneric_error
alpha_q2,46.20106269962892,48.204506750458215,2.0034440508292946,4.33635923886527,1,1,regional_congeneric_error
gamma,202,229,27,13.366336633663366,1,1,regional_congeneric_error
mean_occupancy,0.3029558430295584,0.32257036305103115,0.019614520021472737,6.474382479415989,1,1,regional_congeneric_error
mean_bray_curtis,0.7244116805097451,0.7198480351649964,-0.004563645344748735,-0.6299795361578715,1,1,regional_congeneric_error
mean_jaccard,0.7906657396043887,0.763252025372139,-0.027413714232249697,-3.467168597183205,1,1,regional_congeneric_error
mean_sorensen,0.6557823144088044,0.6194159346822977,-0.03636637972650669,-5.545495651143233,1,1,regional_congeneric_error
alpha_q0,61.197080291970806,66.35036496350365,5.153284671532845,8.420801526717554,1,1,rare_weighted_error
alpha_q1,52.48446308323425,54.145235819626514,1.6607727363922606,3.1643130915876347,1,1,rare_weighted_error
alpha_q2,46.20106269962892,47.11033941237023,0.9092767127413097,1.9680861426345782,1,1,rare_weighted_error
gamma,202,202,0,0,1,1,rare_weighted_error
mean_occupancy,0.3029558430295584,0.3284671532846715,0.025511310255113107,8.42080152671756,1,1,rare_weighted_error
mean_bray_curtis,0.7244116805097451,0.7190536429365237,-0.005358037573221397,-0.7396398646486648,1,1,rare_weighted_error
mean_jaccard,0.7906657396043887,0.759390769297958,-0.03127497030643067,-3.9555236479677456,1,1,rare_weighted_error
mean_sorensen,0.6557823144088044,0.6143556026978885,-0.04142671171091594,-6.317143783949498,1,1,rare_weighted_error
alpha_q0,61.197080291970806,120.44525547445255,59.248175182481745,96.81536259541983,1,1,mixed_rtu_reporting
alpha_q1,52.48446308323425,85.06077605489814,32.57631297166389,62.06848857346915,1,1,mixed_rtu_reporting
alpha_q2,46.20106269962892,67.18115220370149,20.980089504072566,45.4104046057821,1,1,mixed_rtu_reporting
gamma,202,392,190,94.05940594059406,1,1,mixed_rtu_reporting
mean_occupancy,0.3029558430295584,0.30725830478176674,0.004302461752208331,1.420161337435751,1,1,mixed_rtu_reporting
mean_bray_curtis,0.7244116805097451,0.7243909987987596,-2.068171098557059e-5,-0.0028549665255283483,1,1,mixed_rtu_reporting
mean_jaccard,0.7906657396043887,0.783464319489503,-0.0072014201148856705,-0.9108046237704591,1,1,mixed_rtu_reporting
mean_sorensen,0.6557823144088044,0.6459738872237621,-0.009808427185042268,-1.4956833951651596,1,1,mixed_rtu_reporting
alpha_q0,120.48175182481752,61.197080291970806,-59.284671532846716,-49.2063492063492,1,1,drop_unresolved
alpha_q1,85.2807858509855,52.33733982351834,-32.943446027467154,-38.62938843578499,1,1,drop_unresolved
alpha_q2,67.4861609836015,46.006195353737645,-21.479965629863848,-31.828696901403653,1,1,drop_unresolved
gamma,392,202,-190,-48.46938775510204,1,1,drop_unresolved
mean_occupancy,0.3073514077163712,0.3029558430295584,-0.004395564686812792,-1.4301430143014309,1,1,drop_unresolved
mean_bray_curtis,0.7242720175848384,0.7255388943959747,0.0012668768111363526,0.17491726594117046,1,1,drop_unresolved
mean_jaccard,0.7834265898979275,0.7906657396043887,0.007239149706461223,0.9240367635982857,1,1,drop_unresolved
mean_sorensen,0.6459253568044396,0.6557823144088044,0.00985695760436478,1.5260211571704982,1,1,drop_unresolved
alpha_q0,61.197080291970806,61.197080291970806,0,0,1,1,rare_species_to_genus
alpha_q1,52.48446308323425,52.48446308323425,0,0,1,1,rare_species_to_genus
alpha_q2,46.20106269962892,46.20106269962892,0,0,1,1,rare_species_to_genus
gamma,202,202,0,0,1,1,rare_species_to_genus
mean_occupancy,0.3029558430295584,0.3029558430295584,0,0,1,1,rare_species_to_genus
