scenario,outcome,predictor,n,spearman_rho,spearman_p,predictor_label,abs_rho,screen_label
regional_congeneric_error,delta_gamma_med,prop_monotypic_genera,60,-0.8694526199280248,2.059667109400336e-19,Proportion of monotypic genera,0.8694526199280248,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,log_mean_species_per_genus,60,0.8484848484848483,1.1424143788476519e-17,Mean species per genus (log10),0.8484848484848483,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,realised_mean_error,60,0.8437586877953848,2.5986747133340617e-17,Realised identification-error rate,0.8437586877953848,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,taxonomic_compression_family,60,0.6186770666968138,1.3773143379011682e-7,Species per family,0.6186770666968138,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,log_regional_to_observed,60,0.6024458264923691,3.5296638184119866e-7,Regional / observed species ratio (log10),0.6024458264923691,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,cv_genera_per_family,60,0.28354642562627563,0.028134059856650153,CV of genera per family,0.28354642562627563,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,cv_species_per_genus,60,0.22646649986099524,0.08186158650613919,CV of species per genus,0.22646649986099524,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,n_eligible_source_species,60,0.19938837920489294,0.12667447039873483,Eligible source species,0.19938837920489294,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,genera_per_family_concentration,60,0.1701500899513879,0.19368562100373482,Genera-per-family concentration parameter,0.1701500899513879,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,occupancy_precision,60,0.13218455207592303,0.3140382055833571,Occupancy heterogeneity parameter,0.13218455207592303,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,log_mean_genera_per_family,60,0.12654428657180136,0.3353124157673314,Mean genera per family (log10),0.12654428657180136,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,true_alpha_q0,60,-0.10739300025680543,0.4140830767628638,True mean local richness,0.10739300025680543,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,true_mean_occupancy,60,-0.1028349122541874,0.4342877026856562,Realised mean occupancy,0.1028349122541874,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,true_gamma,60,-0.09083328925426855,0.4900560102742222,True gamma richness,0.09083328925426855,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,log_n_sites,60,0.07320497689192579,0.5783054212842584,Number of sites (log10),0.07320497689192579,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,species_per_genus_concentration,60,0.0307948872371999,0.8153159635003473,Species-per-genus concentration parameter,0.0307948872371999,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_gamma_med,occupancy_mean,60,-0.024958311136286562,0.8498664200375632,Input mean occupancy,0.024958311136286562,Regional-pool error: change in gamma richness
regional_congeneric_error,delta_occupancy_med,log_regional_to_observed,60,-0.5772651695998573,1.3763183466864958e-6,Regional / observed species ratio (log10),0.5772651695998573,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,true_gamma,60,0.3448774336190221,0.006964230750657265,True gamma richness,0.3448774336190221,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,occupancy_mean,60,-0.3001111844650582,0.01982026037742193,Input mean occupancy,0.3001111844650582,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,prop_monotypic_genera,60,0.2843223127751308,0.027687929747562623,Proportion of monotypic genera,0.2843223127751308,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,log_mean_species_per_genus,60,-0.2658882402001667,0.0400378258749854,Mean species per genus (log10),0.2658882402001667,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,realised_mean_error,60,-0.25143174867945506,0.05263927441530606,Realised identification-error rate,0.25143174867945506,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,taxonomic_compression_family,60,-0.2359088473550115,0.06958418712281315,Species per family,0.2359088473550115,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,n_eligible_source_species,60,0.21890464275785373,0.0928780931610624,Eligible source species,0.21890464275785373,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,true_mean_occupancy,60,-0.19288494352542174,0.1397946999438842,Realised mean occupancy,0.19288494352542174,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,log_mean_genera_per_family,60,-0.153893194541635,0.24040117415218626,Mean genera per family (log10),0.153893194541635,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,species_per_genus_concentration,60,-0.12301278963163063,0.34908192891536427,Species-per-genus concentration parameter,0.12301278963163063,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,cv_genera_per_family,60,0.11139522386886028,0.3967977505935524,CV of genera per family,0.11139522386886028,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,cv_species_per_genus,60,0.1103697525715874,0.4011857778830773,CV of species per genus,0.1103697525715874,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,occupancy_precision,60,-0.09722068190949933,0.45991925541948553,Occupancy heterogeneity parameter,0.09722068190949933,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,true_alpha_q0,60,0.0879933330261506,0.5037800030667423,True mean local richness,0.0879933330261506,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,log_n_sites,60,-0.07401126034421057,0.5741155156984716,Number of sites (log10),0.07401126034421057,Regional-pool error: change in mean occupancy
regional_congeneric_error,delta_occupancy_med,genera_per_family_concentration,60,0.038966093778478574,0.7675408922080398,Genera-per-family concentration parameter,0.038966093778478574,Regional-pool error: change in mean occupancy
family_level,delta_occupancy_med,taxonomic_compression_family,60,0.5785495971103085,1.287550306359447e-6,Species per family,0.5785495971103085,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,log_mean_genera_per_family,60,0.5444643577124176,6.891402719670402e-6,Mean genera per family (log10),0.5444643577124176,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,occupancy_mean,60,-0.4766323978883024,1.1818153335716082e-4,Input mean occupancy,0.4766323978883024,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,true_mean_occupancy,60,-0.46218393998332885,2.0111815068647187e-4,Realised mean occupancy,0.46218393998332885,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,n_eligible_source_species,60,0.31214998758326323,0.015180352888263107,Eligible source species,0.31214998758326323,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,true_gamma,60,0.29859953363883507,0.020480293235898755,True gamma richness,0.29859953363883507,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,log_mean_species_per_genus,60,0.2922179101190612,0.023476251671614254,Mean species per genus (log10),0.2922179101190612,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,cv_genera_per_family,60,-0.2663517643789942,0.03967919052262806,CV of genera per family,0.2663517643789942,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,prop_monotypic_genera,60,-0.21932112915585475,0.0922426388678914,Proportion of monotypic genera,0.21932112915585475,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,occupancy_precision,60,0.17627118644067802,0.17790143932819316,Occupancy heterogeneity parameter,0.17627118644067802,Family coarsening: change in mean occupancy
