"","STATION","cumulative_dd"
"1",137,76.62
"2",152,27.755
"3",157,30.47
"4",215,153.985
"5",223,39.455
"6",288,211.295
"7",291,53.065
"8",391,78.095
"9",400,184.885
"10",408,7.63
"11",423,37.28
"12",476,73.985
"13",609,42.625
"14",620,17.4
"15",633,72.83
"16",644,211.32
"17",730,63.395
"18",788,77.715
"19",792,25.995
"20",805,75.515
"21",812,215.54
"22",827,86.955
"23",870,173.775
"24",926,147.26
"25",1030,79.805
"26",1058,126.035
"27",1064,79.19
"28",1090,180.3
"29",1141,20.62
"30",1166,24.91
"31",1174,156.965
"32",1180,35.415
"33",1237,117.03
"34",1243,36.66
"35",1274,87.295
"36",1310,153.99
"37",1366,25.005
"38",1372,68.425
"39",1464,95.13
"40",1477,38.315
"41",1491,37.295
"42",1537,11.16
"43",1549,79.275
"44",1556,43.935
"45",1587,109.515
"46",1660,32.24
"47",1677,138.605
"48",1686,NA
"49",1694,129.32
"50",1706,70.03
"51",1768,35.03
"52",1826,26.815
"53",1837,128.13
"54",1875,21.585
"55",1887,340.11
"56",1893,53
"57",1992,44.28
"58",1996,30.565
"59",2011,23.995
"60",2021,40.79
"61",2034,50.105
"62",2076,81.195
"63",2182,81.035
"64",2205,197.39
"65",2257,185.84
"66",2260,227.63
"67",2276,365.18
"68",2312,76.385
