"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M_MAX","T2M_MIN","T2MDEW","EVLAND","STATION"
"1",3.65039504410087,49.7054460263859,2024,1,1,1,2024-01-01,8.48,4.53,5.08,5.49,137
"2",3.65039504410087,49.7054460263859,2024,1,2,2,2024-01-02,11.25,8.37,8.76,10.15,137
"3",3.65039504410087,49.7054460263859,2024,1,3,3,2024-01-03,11.05,8.28,7.92,13.77,137
"4",3.65039504410087,49.7054460263859,2024,1,4,4,2024-01-04,8.62,5.12,6.59,5.62,137
"5",3.65039504410087,49.7054460263859,2024,1,5,5,2024-01-05,8.63,3.23,4.56,9.81,137
"6",3.65039504410087,49.7054460263859,2024,1,6,6,2024-01-06,6.1,1.19,2.98,3.29,137
"7",3.65039504410087,49.7054460263859,2024,1,7,7,2024-01-07,3.13,-4.06,-1.27,5.39,137
"8",3.65039504410087,49.7054460263859,2024,1,8,8,2024-01-08,-0.35,-4.46,-4.68,6.52,137
"9",3.65039504410087,49.7054460263859,2024,1,9,9,2024-01-09,-0.9,-4.49,-5.72,8.8,137
"10",3.65039504410087,49.7054460263859,2024,1,10,10,2024-01-10,0.13,-3.8,-4.02,5.74,137
"11",3.65039504410087,49.7054460263859,2024,1,11,11,2024-01-11,1.4,-5.52,-4.97,4.22,137
"12",3.65039504410087,49.7054460263859,2024,1,12,12,2024-01-12,1.8,-5.75,-3.06,2.38,137
"13",3.65039504410087,49.7054460263859,2024,1,13,13,2024-01-13,-0.41,-3.88,-3.55,3.03,137
"14",3.65039504410087,49.7054460263859,2024,1,14,14,2024-01-14,-2.06,-5.76,-4.93,3.08,137
"15",3.65039504410087,49.7054460263859,2024,1,15,15,2024-01-15,2.51,-4.85,-2.7,4.43,137
"16",3.65039504410087,49.7054460263859,2024,1,16,16,2024-01-16,1.69,-6.01,-4.53,3.01,137
"17",3.65039504410087,49.7054460263859,2024,1,17,17,2024-01-17,1.49,-4.66,-2.17,2.15,137
"18",3.65039504410087,49.7054460263859,2024,1,18,18,2024-01-18,0.81,-6.02,-3.49,2.94,137
"19",3.65039504410087,49.7054460263859,2024,1,19,19,2024-01-19,0.73,-6.3,-4.23,1.75,137
"20",3.65039504410087,49.7054460263859,2024,1,20,20,2024-01-20,-0.69,-8.02,-6.09,2.55,137
"21",3.65039504410087,49.7054460263859,2024,1,21,21,2024-01-21,4.53,-4.91,-0.91,-0.04,137
"22",3.65039504410087,49.7054460263859,2024,1,22,22,2024-01-22,8.24,3.26,4.85,-1.84,137
"23",3.65039504410087,49.7054460263859,2024,1,23,23,2024-01-23,10.87,3.02,5.64,0.3,137
"24",3.65039504410087,49.7054460263859,2024,1,24,24,2024-01-24,11.98,5.58,8.57,7.27,137
"25",3.65039504410087,49.7054460263859,2024,1,25,25,2024-01-25,10.96,5.09,7.8,-0.29,137
"26",3.65039504410087,49.7054460263859,2024,1,26,26,2024-01-26,11.27,0.48,4.62,9.48,137
"27",3.65039504410087,49.7054460263859,2024,1,27,27,2024-01-27,5.7,-1.74,0.11,3.77,137
"28",3.65039504410087,49.7054460263859,2024,1,28,28,2024-01-28,6.08,-1.94,1.34,2.88,137
"29",3.65039504410087,49.7054460263859,2024,1,29,29,2024-01-29,11,3.72,6.4,3.02,137
"30",3.65039504410087,49.7054460263859,2024,1,30,30,2024-01-30,10.84,4.17,6.59,3.02,137
"31",3.65039504410087,49.7054460263859,2024,1,31,31,2024-01-31,9.68,3.48,4.23,6.8,137
"32",3.65039504410087,49.7054460263859,2024,2,1,32,2024-02-01,10.83,2.29,4.71,7.55,137
"33",3.65039504410087,49.7054460263859,2024,2,2,33,2024-02-02,6.97,-0.41,3.25,2.02,137
"34",3.65039504410087,49.7054460263859,2024,2,3,34,2024-02-03,9.8,7.04,7.72,3.05,137
"35",3.65039504410087,49.7054460263859,2024,2,4,35,2024-02-04,9.99,8.23,8.14,5.08,137
"36",3.65039504410087,49.7054460263859,2024,2,5,36,2024-02-05,10.18,4.87,5.46,9.55,137
"37",3.65039504410087,49.7054460263859,2024,2,6,37,2024-02-06,11.95,5.12,6.87,8.95,137
"38",3.65039504410087,49.7054460263859,2024,2,7,38,2024-02-07,10.78,9.04,9.2,5.89,137
"39",3.65039504410087,49.7054460263859,2024,2,8,39,2024-02-08,12.41,9.23,9.77,7.32,137
"40",3.65039504410087,49.7054460263859,2024,2,9,40,2024-02-09,12.9,8.32,8.83,10.63,137
"41",3.65039504410087,49.7054460263859,2024,2,10,41,2024-02-10,10.55,6.58,7.83,3.59,137
"42",3.65039504410087,49.7054460263859,2024,2,11,42,2024-02-11,9.63,5.56,6.59,7.77,137
"43",3.65039504410087,49.7054460263859,2024,2,12,43,2024-02-12,8.69,2.3,5.13,5.51,137
"44",3.65039504410087,49.7054460263859,2024,2,13,44,2024-02-13,9.1,2.5,4.16,7.7,137
"45",3.65039504410087,49.7054460263859,2024,2,14,45,2024-02-14,13.05,7.26,8.98,5.11,137
"46",3.65039504410087,49.7054460263859,2024,2,15,46,2024-02-15,13.87,8.9,9.76,8.41,137
"47",3.65039504410087,49.7054460263859,2024,2,16,47,2024-02-16,12.31,4.16,8.83,3.15,137
"48",3.65039504410087,49.7054460263859,2024,2,17,48,2024-02-17,12.15,4.16,5.55,9.01,137
"49",3.65039504410087,49.7054460263859,2024,2,18,49,2024-02-18,9.4,5.06,6.37,3.76,137
"50",3.65039504410087,49.7054460263859,2024,2,19,50,2024-02-19,10.94,6.12,7.3,6.64,137
"51",3.65039504410087,49.7054460263859,2024,2,20,51,2024-02-20,10.05,4.8,5.33,8.93,137
"52",3.65039504410087,49.7054460263859,2024,2,21,52,2024-02-21,9.7,5.4,5.88,8.56,137
"53",3.65039504410087,49.7054460263859,2024,2,22,53,2024-02-22,12.73,5.48,8.53,14.71,137
"54",3.65039504410087,49.7054460263859,2024,2,23,54,2024-02-23,8.38,3.57,3.87,11.1,137
"55",3.65039504410087,49.7054460263859,2024,2,24,55,2024-02-24,7.28,3.3,3.35,12.16,137
"56",3.65039504410087,49.7054460263859,2024,2,25,56,2024-02-25,10.01,4.05,4.8,12.11,137
"57",3.65039504410087,49.7054460263859,2024,2,26,57,2024-02-26,8.96,3.95,5.47,7.65,137
"58",3.65039504410087,49.7054460263859,2024,2,27,58,2024-02-27,8.71,0.93,3.21,10.6,137
"59",3.65039504410087,49.7054460263859,2024,2,28,59,2024-02-28,8.48,0,2.14,9.42,137
"60",3.65039504410087,49.7054460263859,2024,2,29,60,2024-02-29,8.55,2.37,4.44,7.29,137
"61",3.65039504410087,49.7054460263859,2024,3,1,61,2024-03-01,8.54,4.27,5.48,12.58,137
"62",3.65039504410087,49.7054460263859,2024,3,2,62,2024-03-02,10.7,4.3,6.43,12.17,137
"63",3.65039504410087,49.7054460263859,2024,3,3,63,2024-03-03,7.44,2.3,4.62,5.11,137
"64",3.65039504410087,49.7054460263859,2024,3,4,64,2024-03-04,10.58,1.69,2.41,14.56,137
"65",3.65039504410087,49.7054460263859,2024,3,5,65,2024-03-05,9.47,1.23,3.62,12.98,137
"66",3.65039504410087,49.7054460263859,2024,3,6,66,2024-03-06,9.19,1.03,3.03,12.59,137
"67",3.65039504410087,49.7054460263859,2024,3,7,67,2024-03-07,11.05,0.55,3.18,16.3,137
"68",3.65039504410087,49.7054460263859,2024,3,8,68,2024-03-08,12.44,0.83,3.82,19.55,137
"69",3.65039504410087,49.7054460263859,2024,3,9,69,2024-03-09,13.73,4.82,6.13,21.88,137
"70",3.65039504410087,49.7054460263859,2024,3,10,70,2024-03-10,9.85,5.15,6.37,6.38,137
"71",3.65039504410087,49.7054460263859,2024,3,11,71,2024-03-11,10.25,4.48,5.9,8.5,137
"72",3.65039504410087,49.7054460263859,2024,3,12,72,2024-03-12,9.85,5.11,6.96,5.81,137
"73",3.65039504410087,49.7054460263859,2024,3,13,73,2024-03-13,13.63,7.33,9.23,12.38,137
"74",3.65039504410087,49.7054460263859,2024,3,14,74,2024-03-14,16.23,6.89,8.81,18.82,137
"75",3.65039504410087,49.7054460263859,2024,3,15,75,2024-03-15,15.72,9.98,10.17,23.4,137
"76",3.65039504410087,49.7054460263859,2024,3,16,76,2024-03-16,13.15,6.55,6.9,24.52,137
"77",3.65039504410087,49.7054460263859,2024,3,17,77,2024-03-17,13.63,6.43,9.24,11.34,137
"78",3.65039504410087,49.7054460263859,2024,3,18,78,2024-03-18,16.14,8.02,9.44,25.44,137
"79",3.65039504410087,49.7054460263859,2024,3,19,79,2024-03-19,17.22,7.26,9.37,22.19,137
"80",3.65039504410087,49.7054460263859,2024,3,20,80,2024-03-20,17.45,6.56,8.46,19.4,137
"81",3.65039504410087,49.7054460263859,2024,3,21,81,2024-03-21,14.7,5.14,8.03,16.85,137
"82",3.65039504410087,49.7054460263859,2024,3,22,82,2024-03-22,16.77,5.1,8.37,25.51,137
"83",3.65039504410087,49.7054460263859,2024,3,23,83,2024-03-23,9.8,4.48,4.16,23.14,137
"84",3.65039504410087,49.7054460263859,2024,3,24,84,2024-03-24,10.75,1.89,3.47,21.5,137
"85",3.65039504410087,49.7054460263859,2024,3,25,85,2024-03-25,11.26,1.63,3.57,21.38,137
"86",3.65039504410087,49.7054460263859,2024,3,26,86,2024-03-26,12.86,5.45,7.33,13.32,137
"87",3.65039504410087,49.7054460263859,2024,3,27,87,2024-03-27,12.15,5.01,4.91,25.82,137
"88",3.65039504410087,49.7054460263859,2024,3,28,88,2024-03-28,10.57,3.9,4.13,26.43,137
"89",3.65039504410087,49.7054460263859,2024,3,29,89,2024-03-29,13.2,5.88,7.58,14.93,137
"90",3.65039504410087,49.7054460263859,2024,3,30,90,2024-03-30,11.09,5.52,6.66,12.14,137
"91",3.65039504410087,49.7054460263859,2024,3,31,91,2024-03-31,13.63,6.27,8.37,14.16,137
"92",3.65039504410087,49.7054460263859,2024,4,1,92,2024-04-01,13.4,6.19,6.91,21.15,137
"93",3.65039504410087,49.7054460263859,2024,4,2,93,2024-04-02,14.26,7.12,7.53,29.27,137
"94",3.65039504410087,49.7054460263859,2024,4,3,94,2024-04-03,16.11,9.13,9.33,25.49,137
"95",3.65039504410087,49.7054460263859,2024,4,4,95,2024-04-04,17.23,10.72,10.7,37.45,137
"96",3.65039504410087,49.7054460263859,2024,4,5,96,2024-04-05,17.82,11.43,12.59,18.98,137
"97",3.65039504410087,49.7054460263859,2024,4,6,97,2024-04-06,22.8,10.31,13.44,38.68,137
"98",3.65039504410087,49.7054460263859,2024,4,7,98,2024-04-07,18.64,12.02,13.14,20.7,137
"99",3.65039504410087,49.7054460263859,2024,4,8,99,2024-04-08,19.16,9,12.62,21.48,137
"100",3.65039504410087,49.7054460263859,2024,4,9,100,2024-04-09,12.68,4.74,5.75,38.08,137
"101",3.65039504410087,49.7054460263859,2024,4,10,101,2024-04-10,14.51,3.43,4.85,31.76,137
"102",3.65039504410087,49.7054460263859,2024,4,11,102,2024-04-11,15.68,6.53,9.4,15.83,137
"103",3.65039504410087,49.7054460263859,2024,4,12,103,2024-04-12,20.87,7.61,12.33,32.54,137
"104",3.65039504410087,49.7054460263859,2024,4,13,104,2024-04-13,23.06,9.57,13.35,42.75,137
"105",3.65039504410087,49.7054460263859,2024,4,14,105,2024-04-14,18.3,8.21,9.53,34.57,137
"106",3.65039504410087,49.7054460263859,2024,4,15,106,2024-04-15,13.4,4.51,5.58,34.44,137
"107",3.65039504410087,49.7054460263859,2024,4,16,107,2024-04-16,11.74,4.52,5,31.32,137
"108",3.65039504410087,49.7054460263859,2024,4,17,108,2024-04-17,9.69,3.18,2.97,20.47,137
"109",3.65039504410087,49.7054460263859,2024,4,18,109,2024-04-18,12.05,2.05,3.39,29.31,137
"110",3.65039504410087,49.7054460263859,2024,4,19,110,2024-04-19,12.68,3.17,5.87,24.02,137
"111",3.65039504410087,49.7054460263859,2024,4,20,111,2024-04-20,10.76,1.83,2.62,29.58,137
"112",3.65039504410087,49.7054460263859,2024,4,21,112,2024-04-21,9.89,1.99,2.62,26.96,137
"113",3.65039504410087,49.7054460263859,2024,4,22,113,2024-04-22,9.69,-0.23,1.43,22.88,137
"114",3.65039504410087,49.7054460263859,2024,4,23,114,2024-04-23,10.87,-1.58,1.19,28.99,137
"115",3.65039504410087,49.7054460263859,2024,4,24,115,2024-04-24,9.27,1.89,2.77,24.93,137
"116",3.65039504410087,49.7054460263859,2024,4,25,116,2024-04-25,12.03,0.28,2.22,30.93,137
"117",3.65039504410087,49.7054460263859,2024,4,26,117,2024-04-26,14.08,3.15,5.77,23.94,137
"118",3.65039504410087,49.7054460263859,2024,4,27,118,2024-04-27,15.12,7.2,9.38,24.7,137
"119",3.65039504410087,49.7054460263859,2024,4,28,119,2024-04-28,15.27,6.9,8,38.23,137
"120",3.65039504410087,49.7054460263859,2024,4,29,120,2024-04-29,16.89,5.56,9.1,28.5,137
"121",3.65039504410087,49.7054460263859,2024,4,30,121,2024-04-30,19.87,10.21,12.31,32.56,137
"122",3.65039504410087,49.7054460263859,2024,5,1,122,2024-05-01,20.46,10.42,13.61,28.1,137
"123",3.65039504410087,49.7054460263859,2024,5,2,123,2024-05-02,16.84,9.12,10.68,29.9,137
"124",3.65039504410087,49.7054460263859,2024,5,3,124,2024-05-03,16.27,7.23,8.08,43.05,137
"125",3.65039504410087,49.7054460263859,2024,5,4,125,2024-05-04,14.52,6.71,8.2,28.88,137
"126",3.65039504410087,49.7054460263859,2024,5,5,126,2024-05-05,16.48,6.03,10.11,17.1,137
"127",3.65039504410087,49.7054460263859,2024,5,6,127,2024-05-06,17.33,8.1,9.4,30,137
"128",3.65039504410087,49.7054460263859,2024,5,7,128,2024-05-07,18.69,8.69,10.3,40.25,137
"129",3.65039504410087,49.7054460263859,2024,5,8,129,2024-05-08,17.09,7.46,9.31,38.31,137
"130",3.65039504410087,49.7054460263859,2024,5,9,130,2024-05-09,20.08,7.31,9.84,45.36,137
"131",3.65039504410087,49.7054460263859,2024,5,10,131,2024-05-10,21.97,8.32,11.22,53.3,137
"132",3.65039504410087,49.7054460263859,2024,5,11,132,2024-05-11,23.44,10.54,12.22,59.94,137
"133",3.65039504410087,49.7054460263859,2024,5,12,133,2024-05-12,23.59,11.9,14.54,32.41,137
"134",3.65039504410087,49.7054460263859,2024,5,13,134,2024-05-13,21.07,13.33,14.12,52.75,137
"135",3.65039504410087,49.7054460263859,2024,5,14,135,2024-05-14,18.76,11.1,13.51,30.22,137
"136",3.65039504410087,49.7054460263859,2024,5,15,136,2024-05-15,17.9,11.05,11.61,30.88,137
