site;HABITAT_CODE;HABITAT_TYPE;ndvi_m;ndvi_max;ndvi_sd
1030;Crop;OUVERT;0.694851351351351;0.8797;0.124551015031373
1058;Crop;OUVERT;0.648335135135135;0.7785;0.0747865711958452
1064;Crop;OUVERT;0.670419444444444;0.8334;0.194442411334042
1090;Crop;OUVERT;0.601775675675676;0.9057;0.12143136700166
1107;Grassland / Meadow;OUVERT;0.695688571428571;0.8814;0.11138353392783
1126;Crop;OUVERT;0.564;0.89;0.179642986998596
1141;Grassland / Meadow;OUVERT;0.737408108108108;0.871;0.0981068221050073
1166;Crop;OUVERT;0.579156756756757;0.8782;0.172140348973577
1174;Grassland / Meadow;OUVERT;0.683594594594595;0.824;0.0919810063302502
1180;Crop;OUVERT;0.693808108108108;0.8614;0.132755730946348
1216;Grassland / Meadow;OUVERT;0.702897297297297;0.8587;0.129362910034107
1237;Grassland / Meadow;OUVERT;0.536924324324324;0.7009;0.118426595655531
1238;Crop;OUVERT;0.460943243243243;0.8336;0.194539930977537
1243;Crop;OUVERT;0.698956756756757;0.8221;0.0852521734507577
1264;Grassland / Meadow;OUVERT;0.742721621621622;0.8731;0.10467388015253
1274;Crop;OUVERT;0.706443243243243;0.8912;0.125033752199913
1275;Grassland / Meadow;OUVERT;0.674991891891892;0.817;0.122473696446712
1283;Schrubland;OUVERT;0.503383783783784;0.7336;0.110782889557091
1295;Grassland / Meadow;OUVERT;0.734310810810811;0.8642;0.106471991058118
1310;Crop;OUVERT;0.634216216216216;0.8218;0.146760508829698
1345;Forest;FERME;0.781340540540541;0.9137;0.115921047028329
1366;Crop;OUVERT;0.553962162162162;0.9106;0.198785387277826
137;Crop;OUVERT;0.477040540540541;0.834;0.164824889334542
1372;Forest;FERME;0.734545945945946;0.8572;0.0746853384190952
1399;Forest;FERME;0.736978378378378;0.9077;0.104253510825869
1402;Schrubland;OUVERT;0.456642857142857;0.8748;0.304105817875305
1421;Grassland / Meadow;OUVERT;0.728927027027027;0.9204;0.174181510768777
1464;Forest;FERME;0.676316216216216;0.8866;0.178172945810015
147;Grassland / Meadow;OUVERT;0.714821621621622;0.8811;0.121978916974148
1477;Schrubland;OUVERT;0.637102702702703;0.8356;0.169258694978503
1491;Crop;OUVERT;0.466175675675676;0.6927;0.0947709560683763
1517;Crop;OUVERT;0.701102702702703;0.8388;0.0902833517521564
152;Crop;OUVERT;0.655354054054054;0.8369;0.119795472912503
153;Forest;FERME;0.704735135135135;0.8947;0.151022599883844
1537;Crop;OUVERT;0.697027027027027;0.8577;0.101356811010105
1549;Grassland / Meadow;OUVERT;0.681324324324324;0.8435;0.089183681182508
1556;Orchard;FERME;0.56965945945946;0.7397;0.109595008147319
157;Crop;OUVERT;0.732554054054054;0.8968;0.166843500513696
1571;Grassland / Meadow;OUVERT;0.539067567567568;0.6614;0.058554988657643
1578;Grassland / Meadow;OUVERT;0.730910810810811;0.871;0.0788468197899636
1584;Grassland / Meadow;OUVERT;0.694991891891892;0.8681;0.105935966975806
1587;Grassland / Meadow;OUVERT;0.712963888888889;0.9051;0.1371066678649
1589;Forest;FERME;0.654802702702703;0.9098;0.210366753138004
1635;Forest;FERME;0.715648648648649;0.8672;0.103954679285472
1657;Crop;OUVERT;0.554356756756757;0.6905;0.0853051207937345
1660;Crop;OUVERT;0.654310810810811;0.8242;0.0860044533206914
1677;Grassland / Meadow;OUVERT;0.597361111111111;0.8976;0.21066914653453
1685;Forest;FERME;0.716243243243243;0.9101;0.161463687937946
1686;Grassland / Meadow;OUVERT;0.491737142857143;0.8793;0.295584264969364
1694;Crop;OUVERT;0.569772972972973;0.8212;0.161764509307423
1706;Forest;FERME;0.672951351351351;0.888;0.141244027644872
1747;Grassland / Meadow;OUVERT;0.719062162162162;0.9212;0.141789631636589
1756;Forest;FERME;0.59995;0.8878;0.216414186886429
1764;Grassland / Meadow;OUVERT;0.703840540540541;0.8788;0.101767664203702
1768;Forest;FERME;0.625662162162162;0.7687;0.121847797480097
1778;Forest;FERME;0.689137837837838;0.955;0.115556946883227
1826;Crop;OUVERT;0.579948648648649;0.7782;0.121574612713578
1837;Crop;OUVERT;0.746954054054054;0.8832;0.0793487715881762
1875;Crop;OUVERT;0.575997297297297;0.8148;0.11580697658529
1878;Forest;FERME;0.734924324324324;0.8807;0.0889427824984049
1882;Crop;OUVERT;0.713275675675676;0.8515;0.0917698371089488
1887;Schrubland;OUVERT;0.660910810810811;0.872;0.152633971724267
1890;Forest;FERME;0.781113513513514;0.8424;0.0396914709713292
1893;Crop;OUVERT;0.472694594594595;0.6155;0.0618955928513042
1904;Forest;FERME;0.634264864864865;0.8623;0.140005837608882
1911;Forest;FERME;0.748089189189189;0.8582;0.0773574272229018
1948;Forest;FERME;0.701621621621622;0.9135;0.162331863674277
199;Crop;OUVERT;0.540708108108108;0.8252;0.16673874171286
1992;Crop;OUVERT;0.450591891891892;0.7576;0.120130753714392
1996;Grassland / Meadow;OUVERT;0.660891891891892;0.847;0.113705800639629
2011;Crop;OUVERT;0.38877027027027;0.6974;0.114023018789251
2021;Forest;FERME;0.654156756756757;0.8358;0.104908070756664
2034;Schrubland;OUVERT;0.657832432432432;0.754;0.0470378337916172
2076;Grassland / Meadow;OUVERT;0.555556756756757;0.7395;0.0924121671298408
2079;Grassland / Meadow;OUVERT;0.529967567567568;0.7151;0.0739969408303631
2099;Forest;FERME;0.751248648648649;0.8892;0.111781136904075
210;Forest;FERME;0.723694594594595;0.8929;0.175307819667682
2110;Crop;OUVERT;0.599948648648649;0.7213;0.0691853252809744
215;Forest;FERME;0.597635135135135;0.8605;0.209226562760479
2161;Vineyard;OUVERT;0.456637837837838;0.5968;0.0657787341156841
2172;Forest;FERME;0.624372972972973;0.7456;0.0562168008134018
2182;Crop;OUVERT;0.534921621621622;0.8914;0.189823961043347
2186;Grassland / Meadow;OUVERT;0.733216216216216;0.9201;0.0808789820023084
2205;Forest;FERME;0.666772972972973;0.7497;0.047629138190868
2207;Crop;OUVERT;0.528994594594595;0.6236;0.0689420728903216
223;Crop;OUVERT;0.661272972972973;0.8394;0.113531296832021
2257;Forest;FERME;0.738543243243243;0.9105;0.133320533845109
2260;Schrubland;OUVERT;0.733975675675676;0.8123;0.0424436929526051
2269;Grassland / Meadow;OUVERT;0.528275675675676;0.8556;0.232941625264315
2276;Forest;FERME;0.668605405405405;0.9317;0.218734138403916
2312;Grassland / Meadow;OUVERT;0.343207692307692;0.6283;0.247957960828971
277;Grassland / Meadow;OUVERT;0.614735135135135;0.9031;0.163124150429829
288;Vineyard;OUVERT;0.617959459459459;0.7863;0.126411669774809
291;Crop;OUVERT;0.571989189189189;0.8545;0.155741696378943
325;Crop;OUVERT;0.510537837837838;0.8774;0.204823871969379
347;Forest;FERME;0.741832432432432;0.9348;0.174192733382777
391;Grassland / Meadow;OUVERT;0.386237837837838;0.6418;0.137246176533166
400;Crop;OUVERT;0.534013513513514;0.7437;0.105454305960665
401;Crop;OUVERT;0.513582857142857;0.8217;0.184368476132978
408;Crop;OUVERT;0.560608108108108;0.8406;0.171299287114003
412;Forest;FERME;0.661586486486486;0.8896;0.198255004367498
418;Grassland / Meadow;OUVERT;0.681873076923077;0.8592;0.205516258349927
423;Crop;OUVERT;0.686581081081081;0.8807;0.118638662046283
438;Grassland / Meadow;OUVERT;0.739562162162162;0.8983;0.153735207691941
476;Crop;OUVERT;0.489721621621622;0.8039;0.193843614137123
509;Crop;OUVERT;0.525216216216216;0.8755;0.205865050880848
53;Grassland / Meadow;OUVERT;0.668824324324324;0.8811;0.113866894528962
557;Crop;OUVERT;0.684167567567568;0.8294;0.122590671781371
594;Crop;OUVERT;0.525424324324324;0.84;0.195403700927941
609;Crop;OUVERT;0.709121621621622;0.8596;0.121148277227021
612;Crop;OUVERT;0.690386486486486;0.8479;0.160514452727892
620;Forest;FERME;0.654132432432432;0.9045;0.176048492457893
633;Forest;FERME;0.630148648648649;0.8618;0.120930883891083
637;Schrubland;OUVERT;0.645654054054054;0.8896;0.109811284065473
640;Crop;OUVERT;0.560262162162162;0.7888;0.0981778328435796
644;Forest;FERME;0.660921621621622;0.9153;0.191223893113014
647;Crop;OUVERT;0.499783783783784;0.8121;0.157117294319162
663;Crop;OUVERT;0.631351351351351;0.8757;0.107118326634152
680;Crop;OUVERT;0.617686486486486;0.884;0.173264741495913
688;Crop;OUVERT;0.515886486486486;0.92;0.227224229882391
730;Crop;OUVERT;0.539543243243243;0.7877;0.121791270761223
788;Grassland / Meadow;OUVERT;0.7304;0.892;0.144108653067361
792;Forest;FERME;0.677862162162162;0.8939;0.13507337995687
803;Crop;OUVERT;0.667635135135135;0.8666;0.143636774183695
805;Forest;FERME;0.712656756756757;0.9244;0.207262696354892
812;Forest;FERME;0.570581081081081;0.8532;0.185386147807216
827;Crop;OUVERT;0.5456;0.5456;NA
831;Grassland / Meadow;OUVERT;0.673324324324324;0.8512;0.117025660541717
870;Forest;FERME;0.791894594594595;0.9878;0.0760141907290487
899;Crop;OUVERT;0.597943243243243;0.9889;0.135757751038263
903;Forest;FERME;0.699078378378378;0.8339;0.106502665942468
926;Forest;FERME;0.72977027027027;0.9467;0.163608548514884
939;Vineyard;OUVERT;0.635762162162162;0.7589;0.10589615812817
946;Crop;OUVERT;0.632878378378378;0.7607;0.0871317142642714
970;Crop;OUVERT;0.603551351351351;0.8381;0.184587216094033
997;Grassland / Meadow;OUVERT;0.634743243243243;0.7573;0.0563126961239181
