m1,m2,value,component,site_id
1,2,0,turnover,RMQS_25_AILLEVILLE_640
1,3,0,turnover,RMQS_25_AILLEVILLE_640
2,3,0,turnover,RMQS_25_AILLEVILLE_640
1,4,0,turnover,RMQS_25_AILLEVILLE_640
2,4,0,turnover,RMQS_25_AILLEVILLE_640
3,4,0,turnover,RMQS_25_AILLEVILLE_640
1,5,0,turnover,RMQS_25_AILLEVILLE_640
2,5,0,turnover,RMQS_25_AILLEVILLE_640
3,5,0,turnover,RMQS_25_AILLEVILLE_640
4,5,0,turnover,RMQS_25_AILLEVILLE_640
1,6,0.3333333333333333,turnover,RMQS_25_AILLEVILLE_640
2,6,0.3333333333333333,turnover,RMQS_25_AILLEVILLE_640
3,6,0.3333333333333333,turnover,RMQS_25_AILLEVILLE_640
4,6,0.16666666666666666,turnover,RMQS_25_AILLEVILLE_640
5,6,0,turnover,RMQS_25_AILLEVILLE_640
1,2,0.058823529411764705,nestedness,RMQS_25_AILLEVILLE_640
1,3,0.058823529411764705,nestedness,RMQS_25_AILLEVILLE_640
2,3,0,nestedness,RMQS_25_AILLEVILLE_640
1,4,0.35294117647058826,nestedness,RMQS_25_AILLEVILLE_640
2,4,0.3125,nestedness,RMQS_25_AILLEVILLE_640
3,4,0.3125,nestedness,RMQS_25_AILLEVILLE_640
1,5,0.5294117647058824,nestedness,RMQS_25_AILLEVILLE_640
2,5,0.5,nestedness,RMQS_25_AILLEVILLE_640
3,5,0.5,nestedness,RMQS_25_AILLEVILLE_640
4,5,0.2727272727272727,nestedness,RMQS_25_AILLEVILLE_640
1,6,0.06666666666666667,nestedness,RMQS_25_AILLEVILLE_640
2,6,0.03508771929824561,nestedness,RMQS_25_AILLEVILLE_640
3,6,0.03508771929824561,nestedness,RMQS_25_AILLEVILLE_640
4,6,0.20833333333333334,nestedness,RMQS_25_AILLEVILLE_640
5,6,0.4666666666666667,nestedness,RMQS_25_AILLEVILLE_640
1,2,0.058823529411764705,total,RMQS_25_AILLEVILLE_640
1,3,0.058823529411764705,total,RMQS_25_AILLEVILLE_640
2,3,0,total,RMQS_25_AILLEVILLE_640
1,4,0.35294117647058826,total,RMQS_25_AILLEVILLE_640
2,4,0.3125,total,RMQS_25_AILLEVILLE_640
3,4,0.3125,total,RMQS_25_AILLEVILLE_640
1,5,0.5294117647058824,total,RMQS_25_AILLEVILLE_640
2,5,0.5,total,RMQS_25_AILLEVILLE_640
3,5,0.5,total,RMQS_25_AILLEVILLE_640
4,5,0.2727272727272727,total,RMQS_25_AILLEVILLE_640
1,6,0.4,total,RMQS_25_AILLEVILLE_640
2,6,0.3684210526315789,total,RMQS_25_AILLEVILLE_640
3,6,0.3684210526315789,total,RMQS_25_AILLEVILLE_640
4,6,0.375,total,RMQS_25_AILLEVILLE_640
5,6,0.4666666666666667,total,RMQS_25_AILLEVILLE_640
1,2,0,turnover,RMQS_25_ALLANCHE_1589
1,3,0,turnover,RMQS_25_ALLANCHE_1589
2,3,0,turnover,RMQS_25_ALLANCHE_1589
1,4,0,turnover,RMQS_25_ALLANCHE_1589
2,4,0,turnover,RMQS_25_ALLANCHE_1589
3,4,0,turnover,RMQS_25_ALLANCHE_1589
1,5,0,turnover,RMQS_25_ALLANCHE_1589
2,5,0,turnover,RMQS_25_ALLANCHE_1589
3,5,0,turnover,RMQS_25_ALLANCHE_1589
4,5,0,turnover,RMQS_25_ALLANCHE_1589
1,6,0.5454545454545454,turnover,RMQS_25_ALLANCHE_1589
2,6,0.5555555555555556,turnover,RMQS_25_ALLANCHE_1589
3,6,0.5555555555555556,turnover,RMQS_25_ALLANCHE_1589
4,6,0.36363636363636365,turnover,RMQS_25_ALLANCHE_1589
5,6,0.2857142857142857,turnover,RMQS_25_ALLANCHE_1589
1,2,0.1875,nestedness,RMQS_25_ALLANCHE_1589
1,3,0.1875,nestedness,RMQS_25_ALLANCHE_1589
2,3,0,nestedness,RMQS_25_ALLANCHE_1589
1,4,0.4375,nestedness,RMQS_25_ALLANCHE_1589
2,4,0.3076923076923077,nestedness,RMQS_25_ALLANCHE_1589
3,4,0.3076923076923077,nestedness,RMQS_25_ALLANCHE_1589
1,5,0.625,nestedness,RMQS_25_ALLANCHE_1589
2,5,0.5384615384615384,nestedness,RMQS_25_ALLANCHE_1589
3,5,0.5384615384615384,nestedness,RMQS_25_ALLANCHE_1589
4,5,0.3333333333333333,nestedness,RMQS_25_ALLANCHE_1589
1,6,0.05454545454545454,nestedness,RMQS_25_ALLANCHE_1589
2,6,0.1111111111111111,nestedness,RMQS_25_ALLANCHE_1589
3,6,0.1111111111111111,nestedness,RMQS_25_ALLANCHE_1589
4,6,0.303030303030303,nestedness,RMQS_25_ALLANCHE_1589
5,6,0.4642857142857143,nestedness,RMQS_25_ALLANCHE_1589
1,2,0.1875,total,RMQS_25_ALLANCHE_1589
1,3,0.1875,total,RMQS_25_ALLANCHE_1589
2,3,0,total,RMQS_25_ALLANCHE_1589
1,4,0.4375,total,RMQS_25_ALLANCHE_1589
2,4,0.3076923076923077,total,RMQS_25_ALLANCHE_1589
3,4,0.3076923076923077,total,RMQS_25_ALLANCHE_1589
1,5,0.625,total,RMQS_25_ALLANCHE_1589
2,5,0.5384615384615384,total,RMQS_25_ALLANCHE_1589
3,5,0.5384615384615384,total,RMQS_25_ALLANCHE_1589
4,5,0.3333333333333333,total,RMQS_25_ALLANCHE_1589
1,6,0.6,total,RMQS_25_ALLANCHE_1589
2,6,0.6666666666666666,total,RMQS_25_ALLANCHE_1589
3,6,0.6666666666666666,total,RMQS_25_ALLANCHE_1589
4,6,0.6666666666666666,total,RMQS_25_ALLANCHE_1589
5,6,0.75,total,RMQS_25_ALLANCHE_1589
1,2,0,turnover,RMQS_25_ALLINGES_1275
1,3,0,turnover,RMQS_25_ALLINGES_1275
2,3,0,turnover,RMQS_25_ALLINGES_1275
1,4,0,turnover,RMQS_25_ALLINGES_1275
2,4,0,turnover,RMQS_25_ALLINGES_1275
3,4,0,turnover,RMQS_25_ALLINGES_1275
1,5,0,turnover,RMQS_25_ALLINGES_1275
2,5,0,turnover,RMQS_25_ALLINGES_1275
3,5,0,turnover,RMQS_25_ALLINGES_1275
4,5,0,turnover,RMQS_25_ALLINGES_1275
1,6,0.3333333333333333,turnover,RMQS_25_ALLINGES_1275
2,6,0.3333333333333333,turnover,RMQS_25_ALLINGES_1275
3,6,0,turnover,RMQS_25_ALLINGES_1275
4,6,0,turnover,RMQS_25_ALLINGES_1275
5,6,0,turnover,RMQS_25_ALLINGES_1275
1,2,0,nestedness,RMQS_25_ALLINGES_1275
1,3,0.2,nestedness,RMQS_25_ALLINGES_1275
2,3,0.2,nestedness,RMQS_25_ALLINGES_1275
1,4,0.4,nestedness,RMQS_25_ALLINGES_1275
2,4,0.4,nestedness,RMQS_25_ALLINGES_1275
3,4,0.25,nestedness,RMQS_25_ALLINGES_1275
1,5,0.6,nestedness,RMQS_25_ALLINGES_1275
2,5,0.6,nestedness,RMQS_25_ALLINGES_1275
3,5,0.5,nestedness,RMQS_25_ALLINGES_1275
4,5,0.3333333333333333,nestedness,RMQS_25_ALLINGES_1275
1,6,0,nestedness,RMQS_25_ALLINGES_1275
2,6,0,nestedness,RMQS_25_ALLINGES_1275
3,6,0.2,nestedness,RMQS_25_ALLINGES_1275
4,6,0.4,nestedness,RMQS_25_ALLINGES_1275
5,6,0.6,nestedness,RMQS_25_ALLINGES_1275
1,2,0,total,RMQS_25_ALLINGES_1275
1,3,0.2,total,RMQS_25_ALLINGES_1275
2,3,0.2,total,RMQS_25_ALLINGES_1275
1,4,0.4,total,RMQS_25_ALLINGES_1275
2,4,0.4,total,RMQS_25_ALLINGES_1275
3,4,0.25,total,RMQS_25_ALLINGES_1275
1,5,0.6,total,RMQS_25_ALLINGES_1275
2,5,0.6,total,RMQS_25_ALLINGES_1275
3,5,0.5,total,RMQS_25_ALLINGES_1275
4,5,0.3333333333333333,total,RMQS_25_ALLINGES_1275
1,6,0.3333333333333333,total,RMQS_25_ALLINGES_1275
2,6,0.3333333333333333,total,RMQS_25_ALLINGES_1275
3,6,0.2,total,RMQS_25_ALLINGES_1275
4,6,0.4,total,RMQS_25_ALLINGES_1275
5,6,0.6,total,RMQS_25_ALLINGES_1275
1,2,0,turnover,RMQS_25_ARFEUILLES_1345
1,3,0,turnover,RMQS_25_ARFEUILLES_1345
2,3,0,turnover,RMQS_25_ARFEUILLES_1345
1,4,0,turnover,RMQS_25_ARFEUILLES_1345
2,4,0,turnover,RMQS_25_ARFEUILLES_1345
3,4,0,turnover,RMQS_25_ARFEUILLES_1345
1,5,0,turnover,RMQS_25_ARFEUILLES_1345
2,5,0,turnover,RMQS_25_ARFEUILLES_1345
3,5,0,turnover,RMQS_25_ARFEUILLES_1345
4,5,0,turnover,RMQS_25_ARFEUILLES_1345
1,6,0.25,turnover,RMQS_25_ARFEUILLES_1345
2,6,0.25,turnover,RMQS_25_ARFEUILLES_1345
