m1,m2,component,median,q25,q75,n_site
1,2,nestedness,0.0757142857142857,0,0.09943181818181818,12
1,2,total,0.0757142857142857,0,0.09943181818181818,12
1,2,turnover,0,0,0,12
1,3,nestedness,0.1534090909090909,0,0.2232142857142857,12
1,3,total,0.1534090909090909,0,0.2232142857142857,12
1,3,turnover,0,0,0,12
1,4,nestedness,0.3590909090909091,0.18154761904761904,0.44696969696969696,12
1,4,total,0.3590909090909091,0.18154761904761904,0.44696969696969696,12
1,4,turnover,0,0,0,12
1,5,nestedness,0.4772727272727273,0.4255952380952381,0.6283333333333334,12
1,5,total,0.4772727272727273,0.4255952380952381,0.6283333333333334,12
1,5,turnover,0,0,0,12
1,6,nestedness,0.1536050156739812,0.027705627705627706,0.22389306599832914,11
1,6,total,0.4666666666666667,0.3606811145510836,0.5363984674329503,11
1,6,turnover,0.3333333333333333,0.2361111111111111,0.39610389610389607,11
2,3,nestedness,0.05,0,0.1653846153846154,12
2,3,total,0.05,0,0.1653846153846154,12
2,3,turnover,0,0,0,12
2,4,nestedness,0.32065217391304346,0.11538461538461539,0.4071428571428572,12
2,4,total,0.32065217391304346,0.11538461538461539,0.4071428571428572,12
2,4,turnover,0,0,0,12
2,5,nestedness,0.4772727272727273,0.3961538461538462,0.5630434782608695,12
2,5,total,0.4772727272727273,0.3961538461538462,0.5630434782608695,12
2,5,turnover,0,0,0,12
2,6,nestedness,0.08627450980392157,0.009523809523809523,0.14282990083905417,11
2,6,total,0.48148148148148145,0.3431372549019608,0.5166666666666666,11
2,6,turnover,0.3333333333333333,0.26666666666666666,0.4484848484848485,11
3,4,nestedness,0.19047619047619047,0,0.2708333333333333,12
3,4,total,0.19047619047619047,0,0.2708333333333333,12
3,4,turnover,0,0,0,12
3,5,nestedness,0.40909090909090906,0.29318181818181815,0.5138888888888888,12
3,5,total,0.40909090909090906,0.29318181818181815,0.5138888888888888,12
3,5,turnover,0,0,0,12
3,6,nestedness,0.09999999999999999,0.03679653679653679,0.16666666666666669,11
3,6,total,0.5,0.40909090909090906,0.5166666666666666,11
3,6,turnover,0.36363636363636365,0.29166666666666663,0.45,11
4,5,nestedness,0.3181818181818182,0.21666666666666667,0.4464285714285714,12
4,5,total,0.3181818181818182,0.21666666666666667,0.4464285714285714,12
4,5,turnover,0,0,0,12
4,6,nestedness,0.16666666666666669,0.053418803418803416,0.22678571428571426,11
4,6,total,0.45,0.39230769230769236,0.5505050505050505,11
4,6,turnover,0.4,0.18333333333333335,0.4722222222222222,11
5,6,nestedness,0.4,0.16483516483516483,0.44505494505494503,11
5,6,total,0.5555555555555556,0.452991452991453,0.6234817813765182,11
5,6,turnover,0.2222222222222222,0,0.4444444444444444,11
