"","STATION","Al","Ca","Fe","K","Mg","Mn","Na","N","C/N","calc","Ctot","COT","CN","MOS","CEC","Hum_frais","pH","P","Hum_res","clay","sand","Cd_tot","Cd_disp","Cu_tot","Cu_disp","Pb_tot","Pb_disp"
"1",1366,0.0275,25.78,0.005,0.2914,0.7225,0.005,0.08804,2.38966643810272,NA,332,63.4240055084229,23.5840055084229,9.87,40.8,24.554389,232.142857143,8.21,0.0571932748,29.22,444,247,0.496,0.203,135,50.6,34.4,5.25
"2",1826,0.02,17.01,0.005,0.7279,0.7185,0.005,0.05047,0.980696678161621,NA,9,10.016678571701,8.93667857170105,9.11,15.5,16.913166,164.739884393,8.26,0.0354570636,21.89,245,459,0.256,0.149,26.8,11.9,25.5,7.42
"3",2076,0.02,11.51,0.005,0.5116,7.71,0.005,1.22739,1.61487609148026,NA,302,53.8372659683228,17.5972659683228,10.9,30.4,18.285811,211.409395973,8.57,0.0122549848,24.94,443,49,0.204,0.0783,24.6,5.56,35.7,6.97
"4",2011,0.02,22.71,0.005,0.3096,0.8775,0.005,0.06029,1.02189645171165,NA,138,24.9017357826233,8.34173578262329,8.16,14.4,22.5781,181.008902077,8.46,0.0045010296,30.38,429,193,0.326,0.102,25.4,1.63,30,4.38
"5",1875,0.02,20.79,0.005,0.4108,3.184,0.005,0.03465,0.94698965549469,NA,199,37.0528149604797,13.1728149604797,13.9,22.8,23.454376,189.111747851,8.56,0.0036845252,32.57,380,284,0.234,0.091,17.1,1.81,20.4,2.33
"6",1537,0.0371,11.25,0.0089,0.1566,0.651,0.0738,0.06819,1.45833253860474,NA,1,16.5588331222534,16.4388331222534,11.3,28.4,11.835096,185.810810811,6.98,0.0058940184,18.84,244,454,0.949,0.491,24.2,4.62,42.5,11.1
"7",1166,0.0264,17.57,0.005,0.2528,0.8071,0.0317,0.05012,1.16211034357548,NA,1,12.6413989067078,12.5213989067078,10.8,21.7,17.806418,182.724252492,7.6,0.0156397032,26.79,296,241,0.31,0.165,15.59,1.017,34.02,6.227
"8",1660,0.02,18.84,0.0065,0.7511,0.7406,0.005,0.02095,1.84142008423805,NA,591,86.5888977050781,15.6688977050781,8.51,27.1,18.57871,209.836065574,8.38,0.0312536588,23.93,292,362,1.39,0.42,10,1.66,24.5,2.73
"9",1491,0.02,27.14,0.005,0.6935,1.016,0.005,0.08441,1.37247413396835,NA,408,65.0364971160889,16.0764971160889,11.7,27.8,27.748943,237.113402062,8.41,0.0095711248,41.53,354,166,0.993,0.312,7.1,1.69,16,3.43
"10",1243,0.02,28.81,0.005,0.5473,1.091,0.0064,0.08744,2.73565739393234,NA,11,28.3845925331116,27.0645925331116,9.89,46.8,29.665859,259.493670886,7.95,0.0283611996,43.61,499,63,0.99,0.524,19.4,4.017,72.49,15.576
"11",609,0.02,12.97,0.005,1.269,1.859,0.0168,0.09913,2.96757519245148,NA,2,30.8034467697144,30.5634467697144,10.3,52.9,14.43321,312.883435583,7.46,0.0574485688,19.37,189,131,0.138,0.082,18.7,4.56,22.7,2.87
