PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;PROJET;ORGANISME;OBSERVATEUR;CD_STATION;NOM_STATION;ID_ECHANTILLON;LATITUDE;LONGITUDE;ALTITUDE;DATE;DATE_FIN;HABITAT;METHODE;REMARQUE_STATION;CLASSE;ORDRE;FAMILLE;CD_NOM;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;RANK;male;female;ABONDANCE_TOTALE;REMARQUE_INDIVIDU;A VERIFIER/PHOTO;DETERMINATEUR;LEG;DATE_DETERMINATION;ENVOI_CARDOBS;MASSE
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13004;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132901;RMQS_2024_ARLES_2076;RMQS_2024_ARLES_2076_PB2;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;Pelouse écorchée à salicorne;Pitfall;;Insecta;Coleoptera;Carabidae;9291;Anisodactylus binotatus;Anisodactylus binotatus (Fabricius, 1787);CA_B2_T17;TGEL-176;anisodactylus binotatus;S;;1;1;vu avec MH;;T.GELIS;ECO&SOLS;22/08/2024;;71.3
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13004;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132901;RMQS_2024_ARLES_2076;RMQS_2024_ARLES_2076_TM2;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;Pelouse écorchée à salicorne;Tri Manuel;;Insecta;Coleoptera;Carabidae;795382;Bembidion axillare occiduum;Bembidion axillare occiduum Marggi & Huber, 2001;CA_B34_T50;SPRU-2469;bembidion axillare occiduum;S;;1;1;;;S.PRUNOT;ECO&SOLS;21/03/2025;;1.04
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13004;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132901;RMQS_2024_ARLES_2076;RMQS_2024_ARLES_2076_PB4;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;Pelouse écorchée à salicorne;Pitfall;;Insecta;Coleoptera;Carabidae;222447;Harpalus dispar;Harpalus dispar Dejean, 1829;CA_B2_T14;TGEL-173;Harpalus dispar;S;;1;1;;;T.GELIS;ECO&SOLS;22/08/2024;;26.3
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13004;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132901;RMQS_2024_ARLES_2076;RMQS_2024_ARLES_2076_PB3;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;Pelouse écorchée à salicorne;Pitfall;;Insecta;Coleoptera;Carabidae;222447;Harpalus dispar;Harpalus dispar Dejean, 1829;CA_B2_T12;TGEL-171;Harpalus dispar;S;;1;1;;;T.GELIS;ECO&SOLS;22/08/2024;;28.1
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13004;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132901;RMQS_2024_ARLES_2076;RMQS_2024_ARLES_2076_PB3;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;Pelouse écorchée à salicorne;Pitfall;;Insecta;Coleoptera;Carabidae;222447;Harpalus dispar;Harpalus dispar Dejean, 1829;CA_B2_T11;TGEL-170;Harpalus dispar;S;1;;1;a étaler ? ;;T.GELIS;ECO&SOLS;22/08/2024;;30.3
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13004;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132901;RMQS_2024_ARLES_2076;RMQS_2024_ARLES_2076_PB4;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;Pelouse écorchée à salicorne;Pitfall;;Insecta;Coleoptera;Carabidae;222447;Harpalus dispar;Harpalus dispar Dejean, 1829;CA_B2_T15;TGEL-174;Harpalus dispar;S;;1;1;;;T.GELIS;ECO&SOLS;22/08/2024;;44.1
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13004;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132901;RMQS_2024_ARLES_2076;RMQS_2024_ARLES_2076_PB2;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;Pelouse écorchée à salicorne;Pitfall;;Insecta;Coleoptera;Carabidae;222447;Harpalus dispar;Harpalus dispar Dejean, 1829;CA_B2_T16;TGEL-175;Harpalus dispar;S;1;;1;;;T.GELIS;ECO&SOLS;22/08/2024;;46.7
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13004;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132901;RMQS_2024_ARLES_2076;RMQS_2024_ARLES_2076_PB3;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;Pelouse écorchée à salicorne;Pitfall;;Insecta;Coleoptera;Carabidae;222448;Harpalus punctatostriatus;Harpalus punctatostriatus Dejean, 1829;CA_B2_T13;TGEL-172;harpalus punctatostriatus;S;1;;1;a étaler ? ;;T.GELIS;ECO&SOLS;22/08/2024;;22.5
France;RHONE-ALPES;DROME;26;26017;Aucelon;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132822;RMQS_2024_AUCELON_1768;RMQS_2024_AUCELON_1768_PB3;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;Pitfall;;Insecta;Coleoptera;Carabidae;9304;Harpalus dimidiatus;Harpalus dimidiatus (Rossi, 1790);CA_B3_T48;LABR-489;Harpalus dimidiatus;S;1;;1;;;L.ABRAHAM;ECO&SOLS;28/08/2024;;133
France;MIDI-PYRENEES;ARIEGE;9;9029;Aulus-les-Bains;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);Equipe ECO&SOLS;2132892;RMQS_2024_AULUS-LES-BAINS_2276;RMQS_2024_AULUS-LES-BAINS_2276_PB3;42.8033485412598;1.34712195396423;1218;18/06/2024;17/07/2024;Hetraie;Pitfall;;Insecta;Coleoptera;Carabidae;222579;Pterostichus madidus;Pterostichus madidus (Fabricius, 1775);CA_B2_T18;TGEL-177;Pterostichus madidus;S;;1;1;vu avec MH;;T.GELIS;ECO&SOLS;22/08/2024;;147.3
