PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;ORGANISME;OBSERVATEUR;CD_STATION;STATION;METHODE;REPETITION;Longitude;Latitude;ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;REMARQUE_STATION;CLASSE;ORDRE;FAMILLE;CD_NOM;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;RANK;male;female;Juvénile;?;ABONDANCE_TOTALE;LRN;REMARQUE_INDIVIDU;A VERIFIER/PHOTO;DETERMINATEUR;LEG/COLLECTION;DATE_DETERMINATION;ENVOI_CARDOBS
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;Pitfall;2;43.1807256825456;5.85371529787471;274;27/03/2024;22/04/2024;Pinède;;Pitfall;;Insecta;Hymenoptera;Formicidae;938134;Aphaenogaster ichnusa;Aphaenogaster ichnusa Santschi, 1925;E&S_FO_B2_T89;NHEN-29702;aphaenogaster ichnusa;S;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45631;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;4;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;938134;Aphaenogaster ichnusa;Aphaenogaster ichnusa Santschi, 1925;E&S_FO_B4_T30;NHEN-29847;aphaenogaster ichnusa;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45632;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;Pitfall;5;43.1807256825456;5.85371529787471;274;27/03/2024;22/04/2024;Pinède;;Pitfall;;Insecta;Hymenoptera;Formicidae;938134;Aphaenogaster ichnusa;Aphaenogaster ichnusa Santschi, 1925;E&S_FO_B2_T99;NHEN-29712;aphaenogaster ichnusa;S;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45631;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;Pitfall;6;43.1807256825456;5.85371529787471;274;27/03/2024;22/04/2024;Pinède;;Pitfall;;Insecta;Hymenoptera;Formicidae;938134;Aphaenogaster ichnusa;Aphaenogaster ichnusa Santschi, 1925;E&S_FO_B3_T2;NHEN-29715;aphaenogaster ichnusa;S;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45631;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;trimanuel;3;43.1807256825456;5.85371529787471;274;27/03/2024;27/03/2024;Pinède;;Tri manuel;;Insecta;Hymenoptera;Formicidae;938134;Aphaenogaster ichnusa;Aphaenogaster ichnusa Santschi, 1925;E&S_FO_B8_T80;NHEN-30380;aphaenogaster ichnusa;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45644;
France;PROVENCE-ALPES-COTE DAZUR;VAR;83;83053;Evenos;ECO&SOLS;Equipe ECO&SOLS;2132872;2205;trimanuel;5;43.1807256825456;5.85371529787471;274;27/03/2024;27/03/2024;Pinède;;Tri manuel;;Insecta;Hymenoptera;Formicidae;938134;Aphaenogaster ichnusa;Aphaenogaster ichnusa Santschi, 1925;E&S_FO_B8_T81;NHEN-30381;aphaenogaster ichnusa;S;;;;3;3;#N/A;;;N.HENON;ECO&SOLS;45644;
France;MIDI-PYRENEES;LOT;46;46047;Cales;Université de Rennes;Université de Rennes;2167320;1706;Pitfall;1;44.8178511311097;1.51554524633862;202;10/04/2024;06/05/2024;Forêt feuillus;;Pitfall;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B3_T35;NHEN-29749;aphaenogaster subterranea;S;;;;12;12;#N/A;;;N.HENON;ECO&SOLS;45631;
France;CHAMPAGNE-ARDENNE;MARNE;51;51048;Belval-Sous-Chatillon;Sol&Co;Sol&Co;2167297;288;Pitfall;1;49.1281765661728;3.85678097784408;193;06/06/2024;06/07/2024;Vignes;;Pitfall;Remplace le site 92;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B5_T48;NHEN-30010;aphaenogaster subterranea;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45635;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11142;Festes-et-Saint-Andre;ECO&SOLS;Equipe ECO&SOLS;2132863;2257;Pitfall;2;42.9518241882324;2.12771511077881;528;13/05/2024;10/06/2024;Chênaie/ Érablaie;;Pitfall;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B1_T64;NHEN-29562;aphaenogaster subterranea;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;MIDI-PYRENEES;LOT;46;46047;Cales;Université de Rennes;Université de Rennes;2167320;1706;Pitfall;3;44.8178511311097;1.51554524633862;202;10/04/2024;06/05/2024;Forêt feuillus;;Pitfall;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B3_T38;NHEN-29752;aphaenogaster subterranea;S;;;;4;4;#N/A;;;N.HENON;ECO&SOLS;45631;
France;POITOU-CHARENTES;DEUX-SEVRES;79;79319;Souvigne;Université de Rennes;Université de Rennes;2167341;1243;Pitfall;4;46.3766366548151;-0.172179021232904;92;21/03/2024;12/04/2024;Culture;;Pitfall;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B2_T53;NHEN-29666;aphaenogaster subterranea;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45631;
France;MIDI-PYRENEES;LOT;46;46047;Cales;Université de Rennes;Université de Rennes;2167320;1706;Pitfall;4;44.8178511311097;1.51554524633862;202;10/04/2024;06/05/2024;Forêt feuillus;;Pitfall;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B3_T42;NHEN-29756;aphaenogaster subterranea;S;;;;3;3;#N/A;;;N.HENON;ECO&SOLS;45631;
France;CHAMPAGNE-ARDENNE;MARNE;51;51048;Belval-Sous-Chatillon;Sol&Co;Sol&Co;2167297;288;Pitfall;4;49.1281765661728;3.85678097784408;193;06/06/2024;06/07/2024;Vignes;;Pitfall;Remplace le site 92;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B5_T58;NHEN-30020;aphaenogaster subterranea;S;;;;5;5;#N/A;;;N.HENON;ECO&SOLS;45635;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11142;Festes-et-Saint-Andre;ECO&SOLS;Equipe ECO&SOLS;2132863;2257;Pitfall;5;42.9518241882324;2.12771511077881;528;13/05/2024;10/06/2024;Chênaie/ Érablaie;;Pitfall;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B1_T70;NHEN-29568;aphaenogaster subterranea;S;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45630;
France;CENTRE;LOIR-ET-CHER;41;41238;Savigny-Sur-Braye;Université de Rennes;Université de Rennes;2167340;792;Pitfall;5;47.8334896790882;0.826715632239393;136;27/03/2024;25/04/2024;Forêt mixte;;Pitfall;PB 4 sortie et renversé (probablement par un animal), il manque probablement beaucoup d'individus. PB prélevés  et envoyés par Info&Sols (Catherine et Louann);Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B2_T54;NHEN-29667;aphaenogaster subterranea;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45631;
France;MIDI-PYRENEES;LOT;46;46047;Cales;Université de Rennes;Université de Rennes;2167320;1706;Pitfall;5;44.8178511311097;1.51554524633862;202;10/04/2024;06/05/2024;Forêt feuillus;;Pitfall;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B3_T44;NHEN-29758;aphaenogaster subterranea;S;;;;4;4;#N/A;;;N.HENON;ECO&SOLS;45631;
France;CHAMPAGNE-ARDENNE;MARNE;51;51048;Belval-Sous-Chatillon;Sol&Co;Sol&Co;2167297;288;Pitfall;6;49.1281765661728;3.85678097784408;193;06/06/2024;06/07/2024;Vignes;;Pitfall;Remplace le site 92;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B5_T65;NHEN-30027;aphaenogaster subterranea;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45635;
France;MIDI-PYRENEES;LOT;46;46047;Cales;Université de Rennes;Université de Rennes;2167320;1706;trimanuel;1;44.8178511311097;1.51554524633862;202;10/04/2024;10/04/2024;Forêt feuillus;;Tri manuel;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B8_T73;NHEN-30373;aphaenogaster subterranea;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45644;
France;MIDI-PYRENEES;LOT;46;46047;Cales;Université de Rennes;Université de Rennes;2167320;1706;trimanuel;3;44.8178511311097;1.51554524633862;202;10/04/2024;10/04/2024;Forêt feuillus;;Tri manuel;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B8_T74;NHEN-30374;aphaenogaster subterranea;S;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45644;
France;MIDI-PYRENEES;LOT;46;46047;Cales;Université de Rennes;Université de Rennes;2167320;1706;trimanuel;5;44.8178511311097;1.51554524633862;202;10/04/2024;10/04/2024;Forêt feuillus;;Tri manuel;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B8_T75;NHEN-30375;aphaenogaster subterranea;S;;;;3;3;#N/A;;;N.HENON;ECO&SOLS;45644;
France;MIDI-PYRENEES;AVEYRON;12;12025;Belmont-sur-Rance;ECO&SOLS;Equipe ECO&SOLS;2132877;2021;trimanuel;6;43.8125780995336;2.72179965795729;506;08/04/2024;08/04/2024;Chenaie;;Tri manuel;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B8_T39;NHEN-30339;aphaenogaster subterranea;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45644;
France;BOURGOGNE;YONNE;89;89309;Pont-Sur-Yonne;Sol&Co;Sol&Co;2167313;633;trimanuel;6;48.2742531650272;3.18548869500691;154;23/04/2024;23/04/2024;Forêt;;Tri manuel;;Insecta;Hymenoptera;Formicidae;52777;Aphaenogaster subterranea;Aphaenogaster subterranea (Latreille, 1798);E&S_FO_B9_T10;NHEN-30410;aphaenogaster subterranea;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45644;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;1;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;52779;Camponotus aethiops;Camponotus aethiops (Latreille, 1798);E&S_FO_B2_T26;NHEN-29624;camponotus aethiops;S;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;PROVENCE-ALPES-COTE DAZUR;ALPES-DE-HAUTE-PROVENCE;4;4157;Puimoisson;ECO&SOLS;Equipe ECO&SOLS;2132865;1992;Pitfall;1;43.8921670756657;6.10461897406734;712;24/04/2024;28/05/2024;Culture de coriande;;Pitfall;;Insecta;Hymenoptera;Formicidae;52779;Camponotus aethiops;Camponotus aethiops (Latreille, 1798);E&S_FO_B4_T6;NHEN-29822;camponotus aethiops;S;;;;6;6;#N/A;;;N.HENON;ECO&SOLS;45632;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;2;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;52779;Camponotus aethiops;Camponotus aethiops (Latreille, 1798);E&S_FO_B2_T29;NHEN-29628;camponotus aethiops;S;;;;5;5;#N/A;;;N.HENON;ECO&SOLS;45630;
