STATION;LAND_USE;ALT;X;Y;indice;valeur
137;Annual crops;97;3.65;49.71;EI;77
137;Annual crops;97;3.65;49.71;SI;8
137;Annual crops;97;3.65;49.71;ab_libres;142
137;Annual crops;97;3.65;49.71;ab_phytofac;54
137;Annual crops;97;3.65;49.71;ab_phytopar;127
137;Annual crops;97;3.65;49.71;ab_tot;323
137;Annual crops;97;3.65;49.71;CI;69.811320754717
137;Annual crops;97;3.65;49.71;PPI;2.18852459016393
137;Annual crops;97;3.65;49.71;MI;2.04878048780488
152;Pastures and meadows;146;0.56;49.56;EI;67
152;Pastures and meadows;146;0.56;49.56;SI;54
152;Pastures and meadows;146;0.56;49.56;ab_libres;1380
152;Pastures and meadows;146;0.56;49.56;ab_phytofac;525
152;Pastures and meadows;146;0.56;49.56;ab_phytopar;794
152;Pastures and meadows;146;0.56;49.56;ab_tot;2699
152;Pastures and meadows;146;0.56;49.56;CI;9.375
152;Pastures and meadows;146;0.56;49.56;PPI;2.59259259259259
152;Pastures and meadows;146;0.56;49.56;MI;2.07079646017699
157;Pastures and meadows;167;1.66;49.57;EI;40
157;Pastures and meadows;167;1.66;49.57;SI;69
157;Pastures and meadows;167;1.66;49.57;ab_libres;860
157;Pastures and meadows;167;1.66;49.57;ab_phytofac;803
157;Pastures and meadows;167;1.66;49.57;ab_phytopar;1476
157;Pastures and meadows;167;1.66;49.57;ab_tot;3139
157;Pastures and meadows;167;1.66;49.57;CI;38.4615384615385
157;Pastures and meadows;167;1.66;49.57;PPI;2.38993710691824
157;Pastures and meadows;167;1.66;49.57;MI;2.63333333333333
215;Forests & tree plantations;363;5.85;49.37;EI;81
215;Forests & tree plantations;363;5.85;49.37;SI;71
215;Forests & tree plantations;363;5.85;49.37;ab_libres;407
215;Forests & tree plantations;363;5.85;49.37;ab_phytofac;1707
215;Forests & tree plantations;363;5.85;49.37;ab_phytopar;126
215;Forests & tree plantations;363;5.85;49.37;ab_tot;2240
215;Forests & tree plantations;363;5.85;49.37;CI;14.2857142857143
215;Forests & tree plantations;363;5.85;49.37;PPI;2,00
215;Forests & tree plantations;363;5.85;49.37;MI;2.09523809523809
223;Pastures and meadows;40;-0.97;49.24;EI;51
223;Pastures and meadows;40;-0.97;49.24;SI;44
223;Pastures and meadows;40;-0.97;49.24;ab_libres;560
223;Pastures and meadows;40;-0.97;49.24;ab_phytofac;702
223;Pastures and meadows;40;-0.97;49.24;ab_phytopar;1150
