family;subgenus;species;raw_trait_value;attribute_trait;trait_value;source_name;publication_date;edition_parameters;reference_author_name
Carabidae;;Molops ovipennis Chaudoir, 1847;Body_length;;12.0;Faune de France. Coléoptères Carabiques.;1942;Deuxième partie, 40. Fédération Française des Sociétés de Sciences Naturelles, Paris, 608 pp.;Jeannel, R.
Carabidae;Carabus (Eucarabus);Carabus (Eucarabus) arcensis Herbst, 1784;Body_length;;17;Carabidae of the Czech and Slovak Republics.;1996;Kabourek 565 p.;Hurka K.
Carabidae;;Molops piceus (Panzer, 1793);Body_length;;13.4;Carabidae of the Czech and Slovak Republics.;1996;Kabourek 565 p.;Hurka K.
Carabidae;;Molops piceus (Panzer, 1793);Body_length;;12;Carabidae of the Czech and Slovak Republics.;1996;Kabourek 565 p.;Hurka K.
Carabidae;;Syntomus obscuroguttatus (Duftschmid, 1812);Body_length;;3;Faune de France n°39 Coléoptères Carabiques.;1941;Fédération Française des Sociétés de Sciences Naturelles, Paris, 571 p.;Jeannel, R.
Carabidae;Ocydromus (Peryphus);Ocydromus (Peryphus) tetracolus (Say, 1823);Body_length;;6;https://www.naturespot.org.uk/species/bembidion-tetracolum;;;
Carabidae;Ocydromus (Peryphus);Ocydromus (Peryphus) tetracolus (Say, 1823);Body_length;;5;https://www.naturespot.org.uk/species/bembidion-tetracolum;;;
Carabidae;Metallina (Metallina);Metallina (Metallina) properans (Stephens, 1828);Body_length;;3.5;Coleoptera: Carabidae.;1974;Handbooks ident. Br. Insects 4(2): 1-146. British Entomological Society, London.;Lindroth, C. H.
Carabidae;Myriochila (Myriochila);Myriochila (Myriochila) melancholica (Fabricius, 1798);Body_length;;12.0;Faune des Carabiques de France- 1;2001;Magellanes Ed. 48 pp.;Forel, J., Leplat, J.
Carabidae;Calathus (Neocalathus);Calathus (Neocalathus) erratus (C.R. Sahlberg, 1827);Body_length;;10.00;Life-history trait and functional diversity patterns of ground beetles and spiders along a coastal heathland successional gradient;2012;Basic and Applied Ecology, Volume 13, Issue 7, November 2012, Pages 606-614;Schirmel, J. Blindow, I. Buchholz, S.
