PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;LIEU-DIT;PROJET;ORGANISME;OBSERVATEUR;CD_STATION;NOM_STATION;ID_ECHANTILLON;X (Longitude);Y (Latitude);ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;FACTEUR_DILUTION;CLASSE;ORDRE;FAMILLE;CD_NOM;RANG;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;Stade;ABONDANCE_TOTALE;LRN;REMARQUE_INDIVIDU;A VERIFIER;DETERMINATEUR;LEG;DATE_DETERMINATION;ENVOI_CARDOBS;MASSE;Nom_Saisie
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Malacostraca;Isopoda;;184472;;Isopoda;Isopoda Latreille, 1817;;TR_LDEC-2829;isopoda;;1;;;;L.DECAENS;;21/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Entognatha;Collembola;;184571;;Collembola;Collembola Lubbock, 1870;;TR_LDEC-2830;collembola;;20;;;;L.DECAENS;;21/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Arachnida;Araneae;;184348;;Araneae;Araneae Clerck, 1758;;TR_LDEC-2831;araneae;;8;;;;L.DECAENS;;21/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Insecta;Coleoptera;Staphylinidae;184776;;Staphylinidae;Staphylinidae Latreille, 1802;;TR_LDEC-2832;staphylinidae;;1;;;;L.DECAENS;;21/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Insecta;Coleoptera;;184612;;Coleoptera;Coleoptera Linnaeus, 1758;;TR_LDEC-2833;coleoptera;;15;;;;L.DECAENS;;21/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Insecta;Hymenoptera;;185126;;Hymenoptera;Hymenoptera Linnaeus, 1758;;TR_LDEC-2834;hymenoptera;;41;;;;L.DECAENS;;21/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Insecta;Hymenoptera;Formicidae;185188;;Formicidae;Formicidae Latreille, 1809;;TR_LDEC-2835;formicidae;;2;;;;L.DECAENS;;21/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Insecta;Hemiptera;;18498;;Hemiptera;Hemiptera Linnaeus, 1758;;TR_LDEC-2836;hemiptera;;232;;;;L.DECAENS;;21/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Arachnida;;;183884;;Acari;Acari Leach, 1817;;TR_LDEC-2837;Acari;;13;;;;L.DECAENS;;21/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Ouessant;Île d'Ouessant;RMQS_2025;UMR SAS;E.BEAUCHER, JM. BUSNEL, MH. LOHAT, L.DELOURME;;RMQS_25_OUESSANT_418;RMQS_25_OUESSANT_418_DVAC;48.4614379; -5.049546908;30;19/06/2025;19/06/2025;Prairie permanente;;DVAC100;2;Insecta;Diptera;;18483;;Diptera;Diptera Linnaeus, 1758;;TR_LDEC-2838;diptera;;16;;;;L.DECAENS;;21/01/2026;;;
