PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;LIEU-DIT;PROJET;ORGANISME;OBSERVATEUR;CD_STATION;NOM_STATION;ID_ECHANTILLON;X (Longitude);Y (Latitude);ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;REMARQUE_STATION;CLASSE;ORDRE;FAMILLE;CD_NOM;RANG;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;Stade;ABONDANCE_TOTALE;LRN;REMARQUE_INDIVIDU;A VERIFIER;DETERMINATEUR;LEG;DATE_DETERMINATION;ENVOI_CARDOBS;MASSE;Nom_Saisie
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT1;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2839;hymenoptera;;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT1;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2840;liposcelididae;;2;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT1;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2841;Acari;;24;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT1;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2842;collembola;;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT2;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2843;liposcelididae;;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT2;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2844;formicidae;;12;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT2;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2845;collembola;;2;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT2;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2846;Acari;;67;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT3;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2847;araneae;;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT3;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2848;collembola;;2;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT3;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2849;Acari;;97;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT3;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2850;liposcelididae;;4;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT4;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2851;diplopoda;;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT4;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2852;Acari;;31;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT5;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2853;lepidoptera;larva;1;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT5;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2854;Acari;;177;;;;L.DECAENS;;22/01/2026;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Clemont;;RMQS_2025;EODD;Paolina F., Axel T., Eymeric F., Hugo B.;;RMQS_25_CLEMONT_903;RMQS_25_CLEMONT_903_LIT5;47.5558764;2.3232578;158;25/07/2025;25/07/2025;Pinède (plantation);;Litière;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-2855;collembola;;1;;;;L.DECAENS;;22/01/2026;;;
