PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;LIEU-DIT;PROJET;ORGANISME;OBSERVATEUR;CD_STATION;NOM_STATION;ID_ECHANTILLON;X (Longitude);Y (Latitude);ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;REMARQUE_STATION;CLASSE;ORDRE;FAMILLE;CD_NOM;RANG;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;Stade;ABONDANCE_TOTALE;LRN;REMARQUE_INDIVIDU;A VERIFIER;DETERMINATEUR;LEG;01/09/2025;ENVOI_CARDOBS;MASSE;Nom_Saisie
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM1;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8032;collembola;;2;;Déter 2;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM1;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Mesostigmata;0;184274;OR;Mesostigmata;Mesostigmata Canestrini, 1891;;TR_NHEN-8033;mesostigmata;;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM2;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Hemiptera;Aphididae;185101;FM;Aphididae;Aphididae Latreille, 1802;;TR_NHEN-8034;aphididae;;9;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM2;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Mesostigmata;0;184274;OR;Mesostigmata;Mesostigmata Canestrini, 1891;;TR_NHEN-8035;mesostigmata;;5;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM2;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8036;collembola;;4;;Déter 0 (-4);;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM2;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Arachnida;Sarcoptiformes;0;542750;SBOR;Oribatida;Oribatida Dugès, 1834;;TR_NHEN-8037;oribatida;;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM3;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Entognatha;Collembola;0;184571;OR;Collembola;Collembola Lubbock, 1870;;TR_NHEN-8038;collembola;;8;;Déter 5 (-3);;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM3;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Hemiptera;Aphididae;185101;FM;Aphididae;Aphididae Latreille, 1802;;TR_NHEN-8039;aphididae;;10;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM3;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Coleoptera;Scarabaeidae;196439;GN;Pleurophorus;Pleurophorus Mulsant, 1842;;TR_NHEN-8040;Pleurophorus;;1;;;;N.HENON;;31/03/2025;;;
France;LANGUEDOC-ROUSSILLON;HERAULT;34;34032;Beziers;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190649;RMQS_25_BEZIERS_2161;RMQS_25_BEZIERS_2161_CM3;43.37940364;3.306473486;36;18/03/2025;18/03/2025;Vignes;;SoilCore;;Insecta;Coleoptera;0;184612;OR;Coleoptera;Coleoptera Linnaeus, 1758;;TR_NHEN-8041;Coleoptera;larva;1;;;;N.HENON;;31/03/2025;;;
