PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;LIEU-DIT;PROJET;ORGANISME;OBSERVATEUR;CD_STATION;NOM_STATION;ID_ECHANTILLON;X (Longitude);Y (Latitude);ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;REMARQUE_STATION;CLASSE;ORDRE;FAMILLE;CD_NOM;RANG;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;Stade;ABONDANCE_TOTALE;LRN;REMARQUE_INDIVIDU;A VERIFIER;DETERMINATEUR;LEG;DATE_DETERMINATION;ENVOI_CARDOBS;MASSE;Nom_Saisie
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM1;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-648;Forficulidae;;1;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM1;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-649;chilopoda;;5;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM1;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-650;coleoptera;larva;1;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM1;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-651;isopoda;;1;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM1;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-652;diplopoda;;4;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM1;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-653;araneae;;11;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM2;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-654;carabidae;;1;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM2;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-655;araneae;;1;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM2;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-656;coleoptera;larva;1;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM2;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-657;staphylinidae;;1;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM2;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-658;diplopoda;;1;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM2;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-659;chilopoda;;2;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM3;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-660;limacidae;;1;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM3;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-661;staphylinidae;;2;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM3;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-662;diplopoda;;2;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM3;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-663;isopoda;;2;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM3;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-664;coleoptera;larva;2;;;;L.DECAENS;;05/11/2025;;;
#REF!;#REF!;#REF!;#REF!;#REF!;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_TM3;48.74972216;6.908611333;283;03/07/2025;03/07/2025;Forêt feuillus;;Tri manuel;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;TR_LDEC-665;chilopoda;;6;;;;L.DECAENS;;05/11/2025;;;
