no_campagne;id_site;date_complete;insee_commune;nom_commune;code_dept;site_officiel;x_theo;y_theo;classe_mat1p_million_dexpert;libelle_mat1p_million_dexpert;classe_mat2p_million_dexpert;libelle_mat2p_million_dexpert;classe_mat3p_million_dexpert;libelle_mat3p_million_dexpert;rp_95_nom;rp_2008_nom;rp_95_ger;signific_ger_95;rp_2008_ger;signific_ger_2008;occupation1;desc_code_occupation1;occupation3;desc_code_occupation3
1;6;10/09/2002;59016;ARMBOUTS-CAPPEL;59;True;652326.99;7101219.71;120;Estuarine/Marine alluvium;ND;ND;ND;ND;THALASSOSOL-REDOXISOL limono-sablo-argileux, brunifie, carbonate issu d'alluvions marines, cultive;ND;156;THALASSOSOL-REDOXISOL;ND;ND;1;successions culturales;120;grandes cultures et prairies courte duree
1;7;02/09/2002;59404;LES MOERES;59;True;668319.25;7101085.53;120;Estuarine/Marine alluvium;ND;ND;ND;ND;THALASSOSOL-REDOXISOL limoneux issu d'alluvions marines de la Plaine maritime du Nord, cultive;ND;156;THALASSOSOL-REDOXISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;8;02/07/2003;62806;TARDINGHEN;62;True;604216.81;7085629.01;230;Marl;ND;ND;ND;ND;CALCOSOL-REDOXISOL argileux, issu d'une marne, a  horizon limoneux de surface;ND;29;CALCOSOL-REDOXISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;9;16/09/2003;62397;GUINES;62;True;620208.83;7085495.39;510;Residual loam;510;Residual loam;ND;ND;BRUNISOL luvique, limoneux, issu de limon loessique peu epais, sur limon a  silex;ND;16;BRUNISOL;ND;ND;1;successions culturales;113;systeme de rotations sans prairie avec interculture
1;10;17/09/2003;62906;ZUTKERQUE;62;True;636200.84;7085361.59;510;Residual loam;521;Loess;ND;ND;BRUNISOL-REDOXISOL luvique, issu de depots redistribues de glacis, sur  loess carbonate.;ND;21;BRUNISOL-REDOXISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;11;01/10/2002;59089;BOLLEZEELE;59;True;652192.84;7085227.59;521;Loess;ND;ND;ND;ND;BRUNISOL-REDOXISOL luvique, limoneux;ND;21;BRUNISOL-REDOXISOL;ND;ND;1;successions culturales;113;systeme de rotations sans prairie avec interculture
1;12;02/10/2002;59662;WINNEZEELE;59;True;668184.88;7085093.38;521;Loess;310;Old clayey sedimentary deposits;ND;ND;BRUNISOL-REDOXISOL luvique, issu de loess, sur argile tertiaire;ND;21;BRUNISOL-REDOXISOL;ND;ND;1;successions culturales;150;jachere fixe
1;16;26/06/2003;62758;SAINT-MARTIN-BOULOGNE;62;True;604083.36;7069637.17;310;Old clayey sedimentary deposits;230;Marl;ND;ND;NEOLUVISOL-REDOXISOL argilo-limoneux, issu d'un materiau argileux;ND;150;NEOLUVISOL-REDOXISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;17;21/05/2003;62526;LONGUEVILLE;62;True;620075.13;7069503.54;310;Old clayey sedimentary deposits;ND;ND;ND;ND;PELOSOL brunifie, fortement hydromorphe, issu de l'argile noire de l'Oxfordien moyen.;ND;87;PELOSOL BRUNIFIE;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;18;13/02/2003;62008;ACQUIN-WESTBECOURT;62;True;636066.89;7069369.71;510;Residual loam;331;Clay-with-flints;ND;ND;BRUNISOL limoneux, caillouteux, issu de limon a  silex sur argile a  silex.;ND;16;BRUNISOL;ND;ND;1;successions culturales;113;systeme de rotations sans prairie avec interculture
1;19;14/02/2003;62040;ARQUES;62;True;652058.67;7069235.66;520;Eolian loam;ND;ND;ND;ND;NEOLUVISOL a  horizon redoxique de profondeur, limoneux, issu de loess.;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;20;30/08/2002;59295;HAZEBROUCK;59;True;668050.51;7069101.41;110;River alluvium;ND;ND;ND;ND;FLUVIOSOL-REDOXISOL  brunifie, argilo-limoneux, issu des alluvions de la plaine de la Lys;ND;155;FLUVIOSOL-REDOXISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;21;01/04/2003;59043;BAILLEUL;59;True;684042.41;7068966.98;110;River alluvium;ND;ND;ND;ND;FLUVIOSOL-REDOXISOL  limono-argileux, sur loess calcaire;ND;155;FLUVIOSOL-REDOXISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;22;05/09/2002;59482;QUESNOY-SUR-DEULE;59;True;700034.41;7068832.42;521;Loess;410;Old sandy sedimentary deposits;ND;ND;BRUNISOL luvique, redoxique, limono-sableux issu de loess sableux;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;24;22/07/2003;62887;WIDEHEM;62;True;603949.79;7053645.56;220;Secondary chalk;ND;ND;ND;ND;RENDOSOL limoneux, a  graviers de craie, issu de la craie senonienne.;ND;126;RENDOSOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
