PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;ORGANISME;OBSERVATEUR;CD_STATION;STATION;METHODE;REPETITION;Longitude;Latitude;ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;REMARQUE_STATION;CLASSE;ORDRE;FAMILLE;CD_NOM;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;?;?;Juvénile;?;ABONDANCE_TOTALE;LRN;REMARQUE_INDIVIDU;A VERIFIER/PHOTO;DETERMINATEUR;LEG/COLLECTION;DATE_DETERMINATION;ENVOI_CARDOBS
France;AUVERGNE;HAUTE-LOIRE;43;43016;Auzon;ECO&SOLS;Equipe ECO&SOLS;2132895  ;1549;Pitfall;1;45.3911047765517;3.34517713570663;400;31/05/2024;02/07/2024;Prairie de fauche;;Pitfall;;Insecta;Hymenoptera;Formicidae;52792;Formica rufibarbis;Formica rufibarbis Fabricius, 1793;E&S_FO_B1_T1;NHEN-29499;formica rufibarbis;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45629;
France;AUVERGNE;HAUTE-LOIRE;43;43016;Auzon;ECO&SOLS;Equipe ECO&SOLS;2132895  ;1549;Pitfall;1;45.3911047765517;3.34517713570663;400;31/05/2024;02/07/2024;Prairie de fauche;;Pitfall;;Insecta;Hymenoptera;Formicidae;198324;Tetramorium;Tetramorium Mayr, 1855;E&S_FO_B1_T2;NHEN-29500;tetramorium;;;;5;5;#N/A;;;N.HENON;ECO&SOLS;45629;
France;AUVERGNE;HAUTE-LOIRE;43;43016;Auzon;ECO&SOLS;Equipe ECO&SOLS;2132895  ;1549;Pitfall;1;45.3911047765517;3.34517713570663;400;31/05/2024;02/07/2024;Prairie de fauche;;Pitfall;;Insecta;Hymenoptera;Formicidae;219394;Myrmica rubra;Myrmica rubra (Linnaeus, 1758);E&S_FO_B1_T3;NHEN-29501;Myrmica rubra;;;;4;4;#N/A;;;N.HENON;ECO&SOLS;45629;
France;AUVERGNE;HAUTE-LOIRE;43;43016;Auzon;ECO&SOLS;Equipe ECO&SOLS;2132895  ;1549;Pitfall;1;45.3911047765517;3.34517713570663;400;31/05/2024;02/07/2024;Prairie de fauche;;Pitfall;;Insecta;Hymenoptera;Formicidae;628323;Temnothorax;Temnothorax Mayr, 1861;E&S_FO_B1_T4;NHEN-29502;Temnothorax;;;;1;1;#N/A;;x;N.HENON;ECO&SOLS;45629;
France;BASSE-NORMANDIE;CALVADOS;14;14614;Sainte-Marguerite-D'Elle;Université de Rennes;Université de Rennes;2167336;223;Pitfall;1;49.2362523222868;-0.971023266931689;39;02/04/2024;29/04/2024;Monoculture;;Pitfall;;Insecta;Hymenoptera;Formicidae;52809;Myrmica scabrinodis;Myrmica scabrinodis Nylander, 1846;E&S_FO_B1_T25;NHEN-29523;Myrmica scabrinodis;;1;;;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;AIN;1;1058;Bregnier-Cordon;ECO&SOLS;Equipe ECO&SOLS;2132823;1477;Pitfall;1;45.6401693491095;5.61003921649128;209;11/04/2024;07/05/2024;Friche humide;;Pitfall;;Insecta;Hymenoptera;Formicidae;219394;Myrmica rubra;Myrmica rubra (Linnaeus, 1758);E&S_FO_B1_T28;NHEN-29526;Myrmica rubra;;;;3;3;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;AIN;1;1058;Bregnier-Cordon;ECO&SOLS;Equipe ECO&SOLS;2132823;1477;Pitfall;1;45.6401693491095;5.61003921649128;209;11/04/2024;07/05/2024;Friche humide;;Pitfall;;Insecta;Hymenoptera;Formicidae;219493;Lasius platythorax;Lasius platythorax Seifert, 1991;E&S_FO_B1_T29;NHEN-29527;lasius platythorax;;;;5;5;#N/A;;;N.HENON;ECO&SOLS;45630;
France;AQUITAINE;DORDOGNE;24;24435;Saint-Laurent-Des-Batons;Université de Rennes;Université de Rennes;2167337;1660;Pitfall;1;44.9526610124959;0.70364058861398;129;19/03/2024;11/04/2024;Monoculture;;Pitfall;;Insecta;Hymenoptera;Formicidae;52817;Lasius niger;Lasius niger (Linnaeus, 1758);E&S_FO_B1_T39;NHEN-29537;lasius niger;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45630;
France;AQUITAINE;DORDOGNE;24;24435;Saint-Laurent-Des-Batons;Université de Rennes;Université de Rennes;2167337;1660;Pitfall;1;44.9526610124959;0.70364058861398;129;19/03/2024;11/04/2024;Monoculture;;Pitfall;;Insecta;Hymenoptera;Formicidae;193879;Lasius;Lasius Fabricius, 1804;E&S_FO_B1_T40;NHEN-29538;lasius;;;;1;1;#N/A;Lasius gr.alienus;;N.HENON;ECO&SOLS;45630;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11305;Quintillan;ECO&SOLS;Equipe ECO&SOLS;2132859;2260;Pitfall;1;42.949275970459;2.7153799533844;349;14/05/2024;10/06/2024;Maquis;;Pitfall;;Insecta;Hymenoptera;Formicidae;52781;Camponotus lateralis;Camponotus lateralis (Olivier, 1792);E&S_FO_B1_T44;NHEN-29542;Camponotus lateralis;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11305;Quintillan;ECO&SOLS;Equipe ECO&SOLS;2132859;2260;Pitfall;1;42.949275970459;2.7153799533844;349;14/05/2024;10/06/2024;Maquis;;Pitfall;;Insecta;Hymenoptera;Formicidae;628323;Temnothorax;Temnothorax Mayr, 1861;E&S_FO_B1_T45;NHEN-29543;Temnothorax;;;;1;1;#N/A;;x;N.HENON;ECO&SOLS;45630;
France;LANGUEDOC-ROUSSILLON;AUDE;11;11142;Festes-et-Saint-Andre;ECO&SOLS;Equipe ECO&SOLS;2132863;2257;Pitfall;1;42.9518241882324;2.12771511077881;528;13/05/2024;10/06/2024;Chênaie/ Érablaie;;Pitfall;;Insecta;Hymenoptera;Formicidae;628323;Temnothorax;Temnothorax Mayr, 1861;E&S_FO_B1_T61;NHEN-29559;Temnothorax;;;;1;1;#N/A;;x;N.HENON;ECO&SOLS;45630;
France;MIDI-PYRENEES;GERS;32;32150;Goutz;Université de Rennes;Université de Rennes;2167323;2011;Pitfall;1;43.7995981085167;0.738134796235499;197;13/03/2024;09/04/2024;Monoculture;;Pitfall;;Insecta;Hymenoptera;Formicidae;628335;Myrmica specioides;Myrmica specioides Bondroit, 1918;E&S_FO_B1_T77;NHEN-29575;Myrmica specioides;;1;;;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;MIDI-PYRENEES;GERS;32;32150;Goutz;Université de Rennes;Université de Rennes;2167323;2011;Pitfall;1;43.7995981085167;0.738134796235499;197;13/03/2024;09/04/2024;Monoculture;;Pitfall;;Insecta;Hymenoptera;Formicidae;52831;Tapinoma erraticum;Tapinoma erraticum (Latreille, 1798);E&S_FO_B1_T78;NHEN-29576;tapinoma erraticum;;;;5;5;#N/A;;;N.HENON;ECO&SOLS;45630;
France;MIDI-PYRENEES;TARN;81;81025;Belcastel;ECO&SOLS;Equipe ECO&SOLS;2132894;1837;Pitfall;1;44.3889199310117;2.32434462405189;579;30/05/2024;03/07/2024;Culture;;Pitfall;;Insecta;Hymenoptera;Formicidae;52788;Formica cunicularia;Formica cunicularia Latreille, 1798;E&S_FO_B1_T84;NHEN-29582;Formica cunicularia;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;MIDI-PYRENEES;TARN;81;81025;Belcastel;ECO&SOLS;Equipe ECO&SOLS;2132894;1837;Pitfall;1;44.3889199310117;2.32434462405189;579;30/05/2024;03/07/2024;Culture;;Pitfall;;Insecta;Hymenoptera;Formicidae;198324;Tetramorium;Tetramorium Mayr, 1855;E&S_FO_B1_T85;NHEN-29583;tetramorium;;;;15;15;#N/A;Tetramorium gr. caespitum/impurum;;N.HENON;ECO&SOLS;45630;
France;MIDI-PYRENEES;TARN;81;81025;Belcastel;ECO&SOLS;Equipe ECO&SOLS;2132894;1837;Pitfall;1;44.3889199310117;2.32434462405189;579;30/05/2024;03/07/2024;Culture;;Pitfall;;Insecta;Hymenoptera;Formicidae;219394;Myrmica rubra;Myrmica rubra (Linnaeus, 1758);E&S_FO_B1_T86;NHEN-29584;Myrmica rubra;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45630;
France;AQUITAINE;DORDOGNE;24;24171;Eyzerac;Université de Rennes;Université de Rennes;2167322;1537;Pitfall;1;45.3884443655317;0.892398066995418;203;15/03/2024;11/04/2024;Monoculture;;Pitfall;;Insecta;Hymenoptera;Formicidae;52817;Lasius niger;Lasius niger (Linnaeus, 1758);E&S_FO_B2_T6;NHEN-29604;lasius niger;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45630;
France;AQUITAINE;DORDOGNE;24;24171;Eyzerac;Université de Rennes;Université de Rennes;2167322;1537;Pitfall;1;45.3884443655317;0.892398066995418;203;15/03/2024;11/04/2024;Monoculture;;Pitfall;;Insecta;Hymenoptera;Formicidae;52809;Myrmica scabrinodis;Myrmica scabrinodis Nylander, 1846;E&S_FO_B2_T7;NHEN-29605;Myrmica scabrinodis;;1;;1;2;#N/A;;;N.HENON;ECO&SOLS;45630;
France;PAYS DE LA LOIRE;MAYENNE;53;53143;Maisoncelles-Du-Maine;Université de Rennes;Université de Rennes;2167331;730;Pitfall;1;47.9484894161672;-0.676113973755391;76;16/07/1905;16/07/1905;Monoculture;;Pitfall;Pas de dates précises communiquées;Insecta;Hymenoptera;Formicidae;52817;Lasius niger;Lasius niger (Linnaeus, 1758);E&S_FO_B2_T17;NHEN-29615;lasius niger;;;;10;10;#N/A;;;N.HENON;ECO&SOLS;45630;
France;PAYS DE LA LOIRE;MAYENNE;53;53143;Maisoncelles-Du-Maine;Université de Rennes;Université de Rennes;2167331;730;Pitfall;1;47.9484894161672;-0.676113973755391;76;16/07/1905;16/07/1905;Monoculture;;Pitfall;Pas de dates précises communiquées;Insecta;Hymenoptera;Formicidae;219528;Hypoponera eduardi;Hypoponera eduardi (Forel, 1894);E&S_FO_B2_T18;NHEN-29616;hypoponera eduardi;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;POITOU-CHARENTES;CHARENTE-MARITIME;17;17226;Mazeray;Université de Rennes;Université de Rennes;2167332;1366;Pitfall;1;45.9346254946214;-0.567270869874808;61;11/03/2024;08/04/2024;Monoculture;;Pitfall;;Insecta;Hymenoptera;Formicidae;219528;Hypoponera eduardi;Hypoponera eduardi (Forel, 1894);E&S_FO_B2_T22;NHEN-29620;hypoponera eduardi;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;1;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;52816;Lasius emarginatus;Lasius emarginatus (Olivier, 1792);E&S_FO_B2_T24;NHEN-29622;lasius emarginatus;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;1;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;219519;Camponotus piceus;Camponotus piceus (Leach, 1825);E&S_FO_B2_T25;NHEN-29623;camponotus piceus;;;;7;7;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;1;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;52779;Camponotus aethiops;Camponotus aethiops (Latreille, 1798);E&S_FO_B2_T26;NHEN-29624;camponotus aethiops;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;1;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;219505;Formica gagates;Formica gagates Latreille, 1798;E&S_FO_GB1_T1;NHEN-29625;formica gagates;;;;48;48;#N/A;;;N.HENON;ECO&SOLS;45630;
France;RHONE-ALPES;DROME;26;26017;Aucelon;ECO&SOLS;Equipe ECO&SOLS;2132822;1768;Pitfall;1;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;Chênaie claire;;Pitfall;;Insecta;Hymenoptera;Formicidae;52792;Formica rufibarbis;Formica rufibarbis Fabricius, 1793;E&S_FO_B2_T27;NHEN-29626;formica rufibarbis;;;;16;16;#N/A;;;N.HENON;ECO&SOLS;45630;
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13004;Arles;ECO&SOLS;Equipe ECO&SOLS;2132901;2076;Pitfall;1;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;Pelouse écorchée à salicorne;;Pitfall;;Insecta;Hymenoptera;Formicidae;628325;Tapinoma madeirense;Tapinoma madeirense Forel, 1895;E&S_FO_B2_T40;NHEN-29653;Tapinoma madeirense;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45631;
France;PAYS DE LA LOIRE;SARTHE;72;72018;Avesnes-En-Saosnois;Université de Rennes;Université de Rennes;2167318;620;Pitfall;1;48.2601626337537;0.383482346651963;89;28/03/2024;25/04/2024;Forêt mixte;;Pitfall;PB prélevés  et envoyés par Info&Sols (Catherine et Louann);Insecta;Hymenoptera;Formicidae;219394;Myrmica rubra;Myrmica rubra (Linnaeus, 1758);E&S_FO_B2_T57;NHEN-29670;Myrmica rubra;;;;2;2;#N/A;;;N.HENON;ECO&SOLS;45631;
France;MIDI-PYRENEES;LOT;46;46063;Castelnau-Montratier;Université de Rennes;Université de Rennes;2167321;1875;Pitfall;1;44.2406504349493;1.32315689391354;191;14/03/2024;09/04/2024;Monoculture;;Pitfall;;Insecta;Hymenoptera;Formicidae;52792;Formica rufibarbis;Formica rufibarbis Fabricius, 1793;E&S_FO_B2_T70;NHEN-29683;formica rufibarbis;;;;1;1;#N/A;;;N.HENON;ECO&SOLS;45631;
