CD_DEPT;NOM_LOCALITE;X (Longitude);Y (Latitude);ALTITUDE;HABITAT;METHODE;FAMILLE;NOM_VALIDE;BOITE;?;?;ABONDANCE_TOTALE;REMARQUE_INDIVIDU;A VERIFIER/PHOTO;DETERMINATEUR;DATE_DETERMINATION;MASSE
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T53;1;;1;;;L.ABRAHAM;;235
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T51;1;;1;;;L.ABRAHAM;;254
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T50;1;;1;;;L.ABRAHAM;;257
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T52;1;;1;;;L.ABRAHAM;;282
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T49;1;;1;;;L.ABRAHAM;;287
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T54;;1;1;;;L.ABRAHAM;;303
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T3;1;;1;;;T.GELIS;45532;228.9
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T8;1;;1;;;T.GELIS;45533;237.1
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T1;1;;1;;;T.GELIS;45532;244.9
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Abax parallelepipedus (Piller & Mitterpacher, 1783);CA_B4_T2;1;;1;;;T.GELIS;45532;249.6
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T65;1;;1;;;L.ABRAHAM;45532;11.72
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T20;;1;1;;;T.GELIS;45531;13.28
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T29;1;;1;;;T.GELIS;45532;13.48
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T7;1;;1;;;T.GELIS;45530;13.52
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T6;1;;1;;;T.GELIS;45530;14.14
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T28;1;;1;;;T.GELIS;45532;14.76
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T30;1;;1;;;T.GELIS;45532;14.88
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T25;1;;1;;;T.GELIS;45532;15.71
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T18;1;;1;;;T.GELIS;45531;16.52
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T17;1;;1;;;T.GELIS;45531;17.44
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T26;1;;1;;;T.GELIS;45532;18.22
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T27;1;;1;;;T.GELIS;45532;18.51
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T37;1;;1;;;T.GELIS;45532;20.68
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T63;;1;1;;;L.ABRAHAM;45532;20.9
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T19;;1;1;;;T.GELIS;45531;21.98
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Agonum muelleri (Herbst, 1784);CA_B3_T64;1;;1;;;L.ABRAHAM;45532;22.2
43;Auzon;45.3911047765517;3.34517713570663;400;Prairie de fauche;Pitfall;Carabidae;Amara aenea (De Geer, 1774);CA_B4_T14;1;;1;;;T.GELIS;45533;22.82
81;Belcastel;44.3889199310117;2.32434462405189;579;Culture;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;;1;1;oui;;L.ABRAHAM;45492;16
64;Lagos;43.2099108298878;-0.231911972629328;245;Culture;Pitfall;Carabidae;Amara aenea (De Geer, 1774);CA_B3_T59;1;;1;;;L.ABRAHAM;45532;19.32
6;Le Mas;43.8563416618755;6.90327394449335;757;Prairie;Pitfall;Carabidae;Amara aenea (De Geer, 1774);CA_B2_T40;;1;1;;;T.GELIS;45530;15.31
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;17
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);CA_B1_T79;;1;1;;;L.ABRAHAM;45525;17
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;;1;1;oui;;L.ABRAHAM;45492;19
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;;1;1;oui;;L.ABRAHAM;45492;20
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);CA_B1_T80;1;;1;;;L.ABRAHAM;45525;20
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;;1;1;oui;;L.ABRAHAM;45492;21
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;21
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);CA_B1_T81;1;;1;;;L.ABRAHAM;45525;21
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;22
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;22
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;22
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;22
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;;1;1;oui;;L.ABRAHAM;45492;23
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;24
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;24
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;;1;1;;;T.GELIS;45498;24
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;1;;1;;;T.GELIS;45498;24
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;25
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;25
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;1;;1;;;T.GELIS;45498;25
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;;1;1;;;T.GELIS;45498;26
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);CA_B1_T78;;1;1;;;L.ABRAHAM;45525;26
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;27
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;27
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;;1;1;;;T.GELIS;45498;27
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;28
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;28
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;;1;1;;;T.GELIS;45498;28
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;1;;1;;;T.GELIS;45498;28
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);A FAIRE;1;;1;;;T.GELIS;45498;29
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;1;;1;oui;;L.ABRAHAM;45492;30
38;Le Peage-De-Roussillon;45.3690149100078;4.77475157668675;138;Verger;Pitfall;Carabidae;Amara aenea (De Geer, 1774);;;1;1;oui;;L.ABRAHAM;45492;14.3
