loc;station;ech;long;lat;alt;habitat;hab_type;taxa;sex;mass
Auzon;RMQS_2024_AUZON_1549;RMQS_2024_AUZON_1549_PB4;45.3911047765517;3.34517713570663;400;Prairie de fauche;open;Abax parallelepipedus;male;244.9
Auzon;RMQS_2024_AUZON_1549;RMQS_2024_AUZON_1549_PB4;45.3911047765517;3.34517713570663;400;Prairie de fauche;open;Abax parallelepipedus;male;249.6
Auzon;RMQS_2024_AUZON_1549;RMQS_2024_AUZON_1549_PB4;45.3911047765517;3.34517713570663;400;Prairie de fauche;open;Abax parallelepipedus;male;228.9
Auzon;RMQS_2024_AUZON_1549;RMQS_2024_AUZON_1549_PB6;45.3911047765517;3.34517713570663;400;Prairie de fauche;open;Abax parallelepipedus;male;237.1
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB6;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;female;21.98
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB6;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;female;13.28
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB5;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;female;20.9
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB1;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;female;
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB3;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;14.14
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB3;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;13.52
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB6;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;17.44
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB6;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;16.52
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB2;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;15.71
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB2;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;18.22
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB2;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;18.51
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB2;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;14.76
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB2;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;13.48
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB2;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;14.88
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB4;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;20.68
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB5;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;22.2
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB5;43.2099108298878;-0.231911972629328;245;Culture;open;Agonum muelleri;male;11.72
Belcastel;RMQS_2024_BELCASTEL_1837;RMQS_2024_BELCASTEL_1837_PB6;44.3889199310117;2.32434462405189;579;Culture;open;Amara aenea;female;16
Lagos;RMQS_2024_LAGOS_2182;RMQS_2024_LAGOS_2182_PB5;43.2099108298878;-0.231911972629328;245;Culture;open;Amara aenea;male;19.32
Puimoisson;RMQS_2024_PUIMOISSON_1992;RMQS_2024_BELCASTEL_1992_PB6;43.8921670756657;6.10461897406734;712;Culture de coriande;open;Amara aenea;male;30
Le Mas;RMQS_2024_LE MAS_1996;RMQS_2024_LE MAS_1996_PB3;43.8563416618755;6.90327394449335;757;Prairie;open;Amara aenea;female;15.31
Auzon;RMQS_2024_AUZON_1549;RMQS_2024_AUZON_1549_PB6;45.3911047765517;3.34517713570663;400;Prairie de fauche;open;Amara aenea;male;22.82
Le Peage-De-Roussillon;RMQS_2024_LE-PEAGE-DE-ROUSILLON_1556;RMQS_2024_LE-PEAGE-DE-ROUSILLON_1556_PB1;45.3690149100078;4.77475157668675;138;Verger;woodland;Amara aenea;female;14.3
Le Peage-De-Roussillon;RMQS_2024_LE-PEAGE-DE-ROUSILLON_1556;RMQS_2024_LE-PEAGE-DE-ROUSILLON_1556_PB2;45.3690149100078;4.77475157668675;138;Verger;woodland;Amara aenea;female;21
Le Peage-De-Roussillon;RMQS_2024_LE-PEAGE-DE-ROUSILLON_1556;RMQS_2024_LE-PEAGE-DE-ROUSILLON_1556_PB2;45.3690149100078;4.77475157668675;138;Verger;woodland;Amara aenea;female;20
