REGION;DEPARTEMENT;CD_DEPT;NOM_LOCALITE;REPETITION;METHODE;ABONDANCE_TOTALE
ALSACE;BAS-RHIN;67;Dahlenheim;1;Barber;2
ALSACE;BAS-RHIN;67;Dahlenheim;3;Barber;2
ALSACE;BAS-RHIN;67;Dahlenheim;5;Barber;3
ALSACE;BAS-RHIN;67;Dahlenheim;2;Barber;16
ALSACE;BAS-RHIN;67;Dahlenheim;6;Barber;16
ALSACE;BAS-RHIN;67;Dahlenheim;4;Barber;26
AQUITAINE;DORDOGNE;24;Cales;6;Barber;2
AQUITAINE;DORDOGNE;24;Cales;5;Barber;2
AQUITAINE;DORDOGNE;24;Cales;3;Barber;3
AQUITAINE;DORDOGNE;24;Cales;4;Barber;3
AQUITAINE;DORDOGNE;24;Cales;1;Barber;5
AQUITAINE;DORDOGNE;24;Cales;4;tri manuel;1
AQUITAINE;DORDOGNE;24;Cales;5;tri manuel;1
AQUITAINE;DORDOGNE;24;Cales;2;tri manuel;2
AQUITAINE;DORDOGNE;24;Cales;1;tri manuel;3
AQUITAINE;DORDOGNE;24;Cales;3;tri manuel;3
AQUITAINE;DORDOGNE;24;Eyzerac;1;tri manuel;1
AQUITAINE;DORDOGNE;24;Eyzerac;2;tri manuel;1
AQUITAINE;DORDOGNE;24;Eyzerac;5;tri manuel;1
AQUITAINE;DORDOGNE;24;Saint-Laurent-Des-Batons;1;Barber;1
AQUITAINE;DORDOGNE;24;Saint-Laurent-Des-Batons;2;Barber;1
AQUITAINE;DORDOGNE;24;Saint-Laurent-Des-Batons;3;Barber;1
AQUITAINE;DORDOGNE;24;Saint-Laurent-Des-Batons;4;Barber;4
AQUITAINE;DORDOGNE;24;Saint-Laurent-Des-Batons;5;Barber;4
AQUITAINE;DORDOGNE;24;Saint-Laurent-Des-Batons;5;tri manuel;1
AQUITAINE;LOT-ET-GARONNE;47;Grezet-Cavagnan;4;Barber;1
AQUITAINE;LOT-ET-GARONNE;47;Grezet-Cavagnan;5;Barber;1
AQUITAINE;LOT-ET-GARONNE;47;Grezet-Cavagnan;6;Barber;2
AQUITAINE;LOT-ET-GARONNE;47;Grezet-Cavagnan;1;tri manuel;2
AQUITAINE;LOT-ET-GARONNE;47;Grezet-Cavagnan;2;tri manuel;2
AQUITAINE;LOT-ET-GARONNE;47;Grezet-Cavagnan;4;tri manuel;8
AQUITAINE;LOT-ET-GARONNE;47;Grezet-Cavagnan;5;tri manuel;8
AUVERGNE;HAUTE-LOIRE;43;Auzon;1;Barber;1
AUVERGNE;HAUTE-LOIRE;43;Auzon;3;Barber;2
AUVERGNE;HAUTE-LOIRE;43;Auzon;4;Barber;3
AUVERGNE;HAUTE-LOIRE;43;Auzon;6;Barber;4
AUVERGNE;PUY-DE-DOME;63;Aurieres;3;Barber;1
AUVERGNE;PUY-DE-DOME;63;Aurieres;3;Barber;1
AUVERGNE;PUY-DE-DOME;63;Aurieres;4;Barber;1
AUVERGNE;PUY-DE-DOME;63;Aurieres;1;Barber;9
AUVERGNE;PUY-DE-DOME;63;Aurieres;5;Barber;12
AUVERGNE;PUY-DE-DOME;63;Aurieres;6;Barber;12
AUVERGNE;PUY-DE-DOME;63;Aurieres;2;Barber;14
AUVERGNE;PUY-DE-DOME;63;Aurieres;2;tri manuel;1
AUVERGNE;PUY-DE-DOME;63;Aurieres;5;tri manuel;3
AUVERGNE;PUY-DE-DOME;63;Aurieres;3;tri manuel;4
AUVERGNE;PUY-DE-DOME;63;Aurieres;4;tri manuel;4
AUVERGNE;PUY-DE-DOME;63;Aurieres;6;tri manuel;13
BASSE-NORMANDIE;CALVADOS;14;Sainte-Marguerite-D'Elle;4;Barber;2
BOURGOGNE;COTE-DOR;21;Losne;1;Barber;2
BOURGOGNE;COTE-DOR;21;Losne;6;tri manuel;3
BOURGOGNE;SAONE-ET-LOIRE;71;La Tagniere;2;tri manuel;1
BOURGOGNE;YONNE;89;Auxerre;4;Barber;4
BOURGOGNE;YONNE;89;Auxerre;6;Barber;7
BOURGOGNE;YONNE;89;Auxerre;3;Barber;8
BOURGOGNE;YONNE;89;Auxerre;1;Barber;30
BOURGOGNE;YONNE;89;Auxerre;2;tri manuel;2
BOURGOGNE;YONNE;89;Auxerre;3;tri manuel;3
BOURGOGNE;YONNE;89;Auxerre;4;tri manuel;4
BOURGOGNE;YONNE;89;Auxerre;6;tri manuel;5
BOURGOGNE;YONNE;89;Auxerre;5;tri manuel;7
BOURGOGNE;YONNE;89;Pont-Sur-Yonne;2;Barber;7
BOURGOGNE;YONNE;89;Pont-Sur-Yonne;6;Barber;8
BOURGOGNE;YONNE;89;Pont-Sur-Yonne;1;tri manuel;1
BOURGOGNE;YONNE;89;Pont-Sur-Yonne;6;tri manuel;2
BOURGOGNE;YONNE;89;Pont-Sur-Yonne;2;tri manuel;3
BOURGOGNE;YONNE;89;Pont-Sur-Yonne;4;tri manuel;7
BOURGOGNE;YONNE;89;Pont-Sur-Yonne;3;tri manuel;15
BOURGOGNE;YONNE;89;Pont-Sur-Yonne;5;tri manuel;19
BRETAGNE;ILLE-ET-VILAINE;35;Bedee;1;Barber;1
BRETAGNE;ILLE-ET-VILAINE;35;Bedee;2;Barber;1
BRETAGNE;ILLE-ET-VILAINE;35;Bedee;5;tri manuel;1
BRETAGNE;ILLE-ET-VILAINE;35;Bedee;2;tri manuel;2
BRETAGNE;ILLE-ET-VILAINE;35;Bedee;4;tri manuel;2
BRETAGNE;MORBIHAN;56;Ile-D'Arz;4;Barber;1
BRETAGNE;MORBIHAN;56;Ile-D'Arz;6;Barber;1
BRETAGNE;MORBIHAN;56;Ile-D'Arz;2;Barber;3
BRETAGNE;MORBIHAN;56;Ile-D'Arz;1;tri manuel;1
BRETAGNE;MORBIHAN;56;Ile-D'Arz;4;tri manuel;2
BRETAGNE;MORBIHAN;56;Ile-D'Arz;6;tri manuel;2
BRETAGNE;MORBIHAN;56;Ile-D'Arz;3;tri manuel;4
BRETAGNE;MORBIHAN;56;Ile-D'Arz;2;tri manuel;9
CENTRE;CHER;18;Drevant;6;Barber;4
CENTRE;CHER;18;Drevant;3;Barber;5
CENTRE;CHER;18;Drevant;1;Barber;6
CENTRE;CHER;18;Drevant;2;Barber;6
CENTRE;CHER;18;Drevant;4;Barber;9
CENTRE;CHER;18;Drevant;5;Barber;9
CENTRE;CHER;18;Drevant;2;tri manuel;2
CENTRE;CHER;18;Drevant;4;tri manuel;2
CENTRE;CHER;18;Drevant;5;tri manuel;2
CENTRE;CHER;18;Drevant;3;tri manuel;3
CENTRE;CHER;18;Drevant;6;tri manuel;3
CENTRE;CHER;18;Drevant;1;tri manuel;5
CENTRE;LOIR-ET-CHER;41;Savigny-Sur-Braye;3;Barber;3
CENTRE;LOIR-ET-CHER;41;Savigny-Sur-Braye;6;Barber;3
CENTRE;LOIR-ET-CHER;41;Savigny-Sur-Braye;5;Barber;5
CENTRE;LOIR-ET-CHER;41;Savigny-Sur-Braye;2;Barber;10
CENTRE;LOIR-ET-CHER;41;Savigny-Sur-Braye;3;tri manuel;1
CENTRE;LOIR-ET-CHER;41;Savigny-Sur-Braye;5;tri manuel;1
CENTRE;LOIR-ET-CHER;41;Savigny-Sur-Braye;2;tri manuel;4
CHAMPAGNE-ARDENNE;HAUTE-MARNE;52;Illoud;1;Barber;1
