PAYS;REGION;DEPARTEMENT;CD_DEPT;NOM_LOCALITE;PROJET;ORGANISME;OBSERVATEUR;STATION;REPETITION;METHODE;CLASSE;ORDRE;FAMILLE;CD_NOM;CD_REF;LB_NOM;NOM_VALIDE;NOM_CITE;Stade;ABONDANCE_TOTALE;DETERMINATEUR;DATE_DETERMINATION;MASSE;NOM_SAISIE
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB1;Pitfall;Insecta;Hemiptera;Aphididae;185101;185101;Aphididae;Aphididae Latreille, 1802;aphididae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB1;Pitfall;Insecta;Coleoptera;Elateridae;184735;184735;Elateridae;Elateridae Leach, 1815;elateridae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB1;Pitfall;Malacostraca;Isopoda;NA;184472;184472;Isopoda;Isopoda Latreille, 1817;isopoda;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB1;Pitfall;Insecta;Hymenoptera;Formicidae;185188;185188;Formicidae;Formicidae Latreille, 1809;formicidae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB1;Pitfall;Arachnida;Araneae;NA;184348;184348;Araneae;Araneae Clerck, 1758;araneae;adulte;7;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB2;Pitfall;Insecta;Neuroptera;Chrysopidae;185343;185343;Chrysopidae;Chrysopidae Schneider, 1851;chrysopidae;larve;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB2;Pitfall;Insecta;Coleoptera;Histeridae;184766;184766;Histeridae;Histeridae Gyllenhal, 1808;histeridae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB2;Pitfall;Insecta;Dermaptera;Forficulidae;184781;184781;Forficulidae;Forficulidae Latreille, 1810;forficulidae;adulte;1;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB2;Pitfall;Insecta;Coleoptera;Carabidae;184615;184615;Carabidae;Carabidae Latreille, 1802;carabidae;adulte;2;N.HENON;12/06/2024;;N.HENON
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;Arles;RMQS_2024;UMR ECO&SOLS (INRAE MONTPELLIER);SUD;2076;PB2;Pitfall;Insecta;Coleoptera;Elateridae;184735;184735;Elateridae;Elateridae Leach, 1815;elateridae;adulte;2;N.HENON;12/06/2024;;N.HENON
