REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;CD_NOM;CD_TAXSUP;CD_REF;RANG;LB_NOM;LB_AUTEUR;NOM_COMPLET;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;TAAF;PF;NC;WF;CLI;APHIA_ID
Animalia;Arthropoda;Entognatha;;;184570;183818;184570;CL;Entognatha;;Entognatha;Entognatha;Collemboles, Poissons d'argents;;;;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;;184571;184570;184571;OR;Collembola;;Collembola;Collembola;Collemboles;springtails;1;;;;;;;;;;;;;;;;118086
Animalia;Arthropoda;Entognatha;Collembola;Actaletidae;200654;184571;200654;FM;Actaletidae;;Actaletidae;Actaletidae;;;;;;;;;;;;;;;;;;;232009
Animalia;Arthropoda;Entognatha;Collembola;Actaletidae;214715;200654;214715;GN;Actaletes;Giard, 1889;Actaletes Giard, 1889;Actaletes Giard, 1889;;;;;;;;;;;;;;;;;;;232010
Animalia;Arthropoda;Entognatha;Collembola;Actaletidae;216198;214715;216198;ES;Actaletes neptuni;Giard, 1889;Actaletes neptuni Giard, 1889;Actaletes neptuni Giard, 1889;;;7;P;;;;;;;;;;;;;;;232011
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;184591;184571;184591;FM;Arrhopalitidae;;Arrhopalitidae;Arrhopalitidae;;;;;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;203182;184591;203182;GN;Arrhopalites;;Arrhopalites;Arrhopalites;;;;;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216344;203182;216344;ES;Arrhopalites acanthophthalmus;Gisin, 1958;Arrhopalites acanthophthalmus Gisin, 1958;Arrhopalites acanthophthalmus Gisin, 1958;;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216345;203182;216345;ES;Arrhopalites bifidus;Stach, 1945;Arrhopalites bifidus Stach, 1945;Arrhopalites bifidus Stach, 1945;;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216346;203182;216346;ES;Arrhopalites caecus;(Tullberg, 1871);Arrhopalites caecus (Tullberg, 1871);Arrhopalites caecus (Tullberg, 1871);;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216347;203182;216347;ES;Arrhopalites elegans;Cassagnau & Delamare, 1953;Arrhopalites elegans Cassagnau & Delamare, 1953;Arrhopalites elegans Cassagnau & Delamare, 1953;;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216348;203182;216348;ES;Arrhopalites furcatus;Stach, 1945;Arrhopalites furcatus Stach, 1945;Arrhopalites furcatus Stach, 1945;;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216349;203182;216349;ES;Arrhopalites longicornis;Cassagnau & Delamare, 1953;Arrhopalites longicornis Cassagnau & Delamare, 1953;Arrhopalites longicornis Cassagnau & Delamare, 1953;;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216350;203182;216350;ES;Arrhopalites microphthalmus;Cassagnau & Delamare, 1953;Arrhopalites microphthalmus Cassagnau & Delamare, 1953;Arrhopalites microphthalmus Cassagnau & Delamare, 1953;;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216351;203182;216351;ES;Arrhopalites ornatus;Stach, 1945;Arrhopalites ornatus Stach, 1945;Arrhopalites ornatus Stach, 1945;;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216352;203182;216352;ES;Arrhopalites postumicoides;Cassagnau & Delamare, 1953;Arrhopalites postumicoides Cassagnau & Delamare, 1953;Arrhopalites postumicoides Cassagnau & Delamare, 1953;;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216353;203182;216353;ES;Arrhopalites postumicus;Stach, 1945;Arrhopalites postumicus Stach, 1945;Arrhopalites postumicus Stach, 1945;;;7;P;;;;;;;;;;;;;;;
Animalia;Arthropoda;Entognatha;Collembola;Arrhopalitidae;216354;203182;216354;ES;Arrhopalites principalis;Stach, 1945;Arrhopalites principalis Stach, 1945;Arrhopalites principalis Stach, 1945;;;7;P;;;;;;;;;;;;;;;
