species,out,result,error,status,reason
Acartauchenius scurrilis,,,,skip,n_sites<7
Aculepeira ceropegia,,,,skip,n_sites<7
Agalenatea redii,,,,skip,n_sites<7
Agelena labyrinthica,,,,skip,n_sites<7
Agroeca brunnea,,,,skip,n_sites<7
Agroeca lusatica,,,,skip,n_sites<7
Agroeca proxima,,,,skip,n_sites<7
Agyneta affinis,,,,skip,n_sites<7
Agyneta decora,,,,skip,n_sites<7
Agyneta fuscipalpa,,,,skip,n_sites<7
Agyneta mollis,,,,fail,safely_otherwise
Agyneta pseudorurestris,,,,skip,n_sites<7
Agyneta rurestris,,,,fail,safely_otherwise
Agyneta saxatilis,,,,skip,n_sites<7
Agyneta simplicitarsis,,,,fail,safely_otherwise
Alopecosa albofasciata,,,,skip,n_sites<7
Alopecosa barbipes,,,,skip,n_sites<7
Alopecosa cuneata,,,,fail,safely_otherwise
Alopecosa farinosa,,,,skip,n_sites<7
Alopecosa pulverulenta,,,,fail,safely_otherwise
Alopecosa trabalis,,,,skip,n_sites<7
Apostenus fuscus,,,,skip,n_sites<7
Araeoncus humilis,,,,fail,safely_otherwise
Araniella inconspicua,,,,skip,n_sites<7
Arctosa leopardus,,,,skip,n_sites<7
Arctosa perita,,,,skip,n_sites<7
Arctosa personata,,,,skip,n_sites<7
Argenna subnigra,,,,skip,n_sites<7
Asagena phalerata,,,,skip,n_sites<7
Atypus affinis,,,,skip,n_sites<7
Aulonia albimana,,,,fail,safely_otherwise
Bassaniodes robustus,,,,skip,n_sites<7
Bathyphantes gracilis,,,,fail,safely_otherwise
Bathyphantes parvulus,,,,skip,n_sites<7
Callilepis nocturna,,,,skip,n_sites<7
Canariphantes zonatus,,,,skip,n_sites<7
Centromerita bicolor,,,,skip,n_sites<7
Centromerus brevipalpus,,,,skip,n_sites<7
Centromerus cinctus,,,,skip,n_sites<7
Centromerus dilutus,,,,skip,n_sites<7
Centromerus incilium,,,,skip,n_sites<7
Centromerus phoceorum,,,,skip,n_sites<7
Centromerus prudens,,,,skip,n_sites<7
Centromerus sellarius,,,,skip,n_sites<7
Centromerus serratus,,,,skip,n_sites<7
Centromerus silvicola,,,,skip,n_sites<7
Centromerus sinus,,,,skip,n_sites<7
Centromerus succinus,,,,skip,n_sites<7
Centromerus sylvaticus,,,,skip,n_sites<7
Ceratinella brevipes,,,,skip,n_sites<7
Ceratinella brevis,,,,skip,n_sites<7
Ceratinella scabrosa,,,,skip,n_sites<7
Cercidia prominens,,,,skip,n_sites<7
Chalcoscirtus infimus,,,,skip,n_sites<7
Chorizomma subterraneum,,,,skip,n_sites<7
Cicurina cicur,,,,skip,n_sites<7
Civizelotes civicus,,,,skip,n_sites<7
Clubiona comta,,,,skip,n_sites<7
Clubiona neglecta,,,,skip,n_sites<7
Clubiona terrestris,,,,skip,n_sites<7
Cnephalocotes obscurus,,,,skip,n_sites<7
Coelotes atropos,,,,skip,n_sites<7
Coelotes terrestris,,,,skip,n_sites<7
Collinsia inerrans,,,,fail,safely_otherwise
Cresmatoneta mutinensis,,,,skip,n_sites<7
Crustulina guttata,,,,skip,n_sites<7
Crustulina sticta,,,,skip,n_sites<7
Cryphoeca silvicola,,,,skip,n_sites<7
Cybaeus tetricus,,,,skip,n_sites<7
Dasumia laevigata,,,,skip,n_sites<7
Diaea dorsata,,,,skip,n_sites<7
Dicymbium brevisetosum,,,,skip,n_sites<7
Dicymbium nigrum,,,,skip,n_sites<7
Dicymbium tibiale,,,,skip,n_sites<7
Diplocephalus cristatus,,,,skip,n_sites<7
