species,method,p_hat,lcl,ucl,n_sites,n_rep
Agyneta affinis,Pitfall10,0.9999999938252668,0,1,2,7
Agyneta affinis,Pitfall8,1.6456696739394712e-9,0,1,2,7
Agyneta affinis,Pitfall6,4.446529094187489e-9,0,1,2,7
Agyneta affinis,Pitfall4,1.8595250650350035e-9,0,1,2,7
Agyneta affinis,Pitfall2,2.6675754010553346e-12,0,1,2,7
Agyneta affinis,GPD,0.9999999999997515,NA,NA,2,7
Agyneta affinis,DVAC,2.6539741460897698e-9,0,1,2,7
Agyneta mollis,Pitfall10,0.9999997358771471,0,1,16,7
Agyneta mollis,Pitfall8,0.9327188422613568,0.6451564659603397,0.9906281733917506,16,7
Agyneta mollis,Pitfall6,0.8371080172273173,0.5876080107046667,0.9488091022015952,16,7
Agyneta mollis,Pitfall4,0.47515278399328076,0.24812377896241702,0.7129392565906705,16,7
Agyneta mollis,Pitfall2,0.40474686723588515,0.19533127723521634,0.6557211994492501,16,7
Agyneta mollis,GPD,0.8833483234088914,0.5983695743100994,0.9746766333188042,16,7
Agyneta mollis,DVAC,0.6666590286320564,0.37587165180823406,0.869135194766016,16,7
Agyneta rurestris,Pitfall10,0.999996556246528,7.948251962822856e-118,1,14,7
Agyneta rurestris,Pitfall8,0.9301696538159784,0.63391363970172665,0.9903352011220183,14,7
Agyneta rurestris,Pitfall6,0.7243603999024276,0.44321635542622384,0.8966466705593934,14,7
Agyneta rurestris,Pitfall4,0.581122951889536,0.3197571412722763,0.8037119870547024,14,7
Agyneta rurestris,Pitfall2,0.3589271679680816,0.1578771549420218,0.6257581036411044,14,7
Agyneta rurestris,GPD,0.4039593158962334,0.1696272722891437,0.6921695171540003,14,7
Agyneta rurestris,DVAC,0.3332533836605724,0.11110592920997146,0.6665184007666326,14,7
Agyneta simplicitarsis,Pitfall10,0.9999999687794966,0,1,4,7
Agyneta simplicitarsis,Pitfall8,0.952885999377543,0.33774635081658827,0.998754788122808,4,7
Agyneta simplicitarsis,Pitfall6,0.9650308795734984,0.33106525955218646,0.9993505664528736,4,7
Agyneta simplicitarsis,Pitfall4,0.882279547152536,0.15534507656742563,0.9967364524704235,4,7
Agyneta simplicitarsis,Pitfall2,0.6371738499553018,0.061329329052532126,0.9792541300789644,4,7
Agyneta simplicitarsis,GPD,0.8964981410823255,0.18871784072010347,0.9969090350652767,4,7
Agyneta simplicitarsis,DVAC,0.8329351945556585,0.08776059877068526,0.9961446777662628,4,7
Alopecosa albofasciata,Pitfall10,0.9999999931102792,1.8992170044018573e-137,1,4,7
Alopecosa albofasciata,Pitfall8,0.9999999918553805,4.105344586777013e-147,1,4,7
Alopecosa albofasciata,Pitfall6,0.9997556890634973,0.015300040811343145,0.9999999990721309,4,7
Alopecosa albofasciata,Pitfall4,0.9995982890915581,0.011736641487168433,0.9999999980820053,4,7
Alopecosa albofasciata,Pitfall2,0.9983987825866367,0.00308517370728497,0.9999999920399815,4,7
