site_id,days_pit,n_trap_1_10,n_trap_1_8,n_trap_1_6,n_trap_1_4,n_trap_1_2,eff_p10,eff_p8,eff_p6,eff_p4,eff_p2,days_gpd,n_gpd_units,n_active_subtraps,eff_gpd,n_dvac_units,eff_dvac,n_tm_units,eff_tm
RMQS_25_AILLEVILLE_640,1,10,8,6,4,2,1.5707963267948966,1.2566370614359172,0.9424777960769379,0.6283185307179586,0.3141592653589793,NA,NA,NA,NA,NA,NA,1,0.0625
RMQS_25_ALLANCHE_1589,1,8,7,5,4,2,1.2566370614359172,1.0995574287564276,0.7853981633974483,0.6283185307179586,0.3141592653589793,1,1,3,1.1570796326794897,NA,NA,NA,NA
RMQS_25_ALLINGES_1275,1,10,8,6,4,2,1.5707963267948966,1.2566370614359172,0.9424777960769379,0.6283185307179586,0.3141592653589793,1,1,2,1.1570796326794897,NA,NA,1,0.0625
RMQS_25_ANTHENY_112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.125
RMQS_25_ARFEUILLES_1345,1,8,6,5,3,2,1.2566370614359172,0.9424777960769379,0.7853981633974483,0.47123889803846897,0.3141592653589793,1,1,3,1.1570796326794897,NA,NA,1,0.0625
RMQS_25_AVESSAC_831,1,9,7,5,3,1,1.413716694115407,1.0995574287564276,0.7853981633974483,0.47123889803846897,0.15707963267948966,1,1,3,1.1570796326794897,1,1,1,0.0625
RMQS_25_AZAY-LE-FERRON_1126,1,8,6,4,3,1,1.2566370614359172,0.9424777960769379,0.6283185307179586,0.47123889803846897,0.15707963267948966,1,1,4,1.1570796326794897,1,1,NA,NA
RMQS_25_BAZORDAN_2186,1,10,8,6,4,2,1.5707963267948966,1.2566370614359172,0.9424777960769379,0.6283185307179586,0.3141592653589793,1,1,4,1.1570796326794897,1,1,2,0.125
RMQS_25_BEAUCHENE_438,1,10,8,6,4,2,1.5707963267948966,1.2566370614359172,0.9424777960769379,0.6283185307179586,0.3141592653589793,1,1,4,1.1570796326794897,1,1,NA,NA
RMQS_25_BESSE_1747,1,9,7,5,3,1,1.413716694115407,1.0995574287564276,0.7853981633974483,0.47123889803846897,0.15707963267948966,1,1,4,1.1570796326794897,1,1,1,0.0625
RMQS_25_BETTEVILLE_153,1,9,7,6,4,2,1.413716694115407,1.0995574287564276,0.9424777960769379,0.6283185307179586,0.3141592653589793,1,1,4,1.1570796326794897,NA,NA,1,0.0625
RMQS_25_BEZIERS_2161,1,7,5,4,3,2,1.0995574287564276,0.7853981633974483,0.6283185307179586,0.47123889803846897,0.3141592653589793,1,1,4,1.1570796326794897,1,1,1,0.0625
RMQS_25_BIOL_1517,1,10,8,6,4,2,1.5707963267948966,1.2566370614359172,0.9424777960769379,0.6283185307179586,0.3141592653589793,1,1,4,1.1570796326794897,1,1,NA,NA
RMQS_25_CANET-DE-SALARS_1882,1,10,8,6,4,2,1.5707963267948966,1.2566370614359172,0.9424777960769379,0.6283185307179586,0.3141592653589793,1,1,4,1.1570796326794897,NA,NA,NA,NA
RMQS_25_CARSAC-DE-GURSON_1657,1,10,8,6,4,2,1.5707963267948966,1.2566370614359172,0.9424777960769379,0.6283185307179586,0.3141592653589793,1,1,4,1.1570796326794897,1,1,1,0.0625
