species,status,reason,n_sites_available,n_sites_detected,n_rep
Abax ovalis,skip,n_detected_sites<7,77,5,NA
Abax parallelepipedus,ok,NA,77,15,6
Abax parallelus,skip,n_detected_sites<7,77,2,NA
Acupalpus brunnipes,skip,n_detected_sites<7,77,1,NA
Acupalpus dubius,skip,n_detected_sites<7,77,2,NA
Acupalpus meridianus,skip,n_detected_sites<7,77,5,NA
Acupalpus notatus,skip,n_detected_sites<7,77,1,NA
Acupalpus parvulus,skip,n_detected_sites<7,77,2,NA
Agonum marginatum,skip,n_detected_sites<7,77,1,NA
Agonum muelleri,ok,NA,77,18,6
Agonum nigrum,skip,n_detected_sites<7,77,2,NA
Agonum viridicupreum,skip,n_detected_sites<7,77,1,NA
Amara aenea,ok,NA,77,32,6
Amara anthobia,skip,n_detected_sites<7,77,2,NA
Amara communis,ok,NA,77,7,6
Amara convexior,ok,NA,77,16,6
Amara familiaris,ok,NA,77,10,6
Amara fulvipes,skip,n_detected_sites<7,77,2,NA
Amara kulti,skip,n_detected_sites<7,77,1,NA
Amara lucida,skip,n_detected_sites<7,77,2,NA
Amara lunicollis,ok,NA,77,10,6
Amara nitida,skip,n_detected_sites<7,77,2,NA
Amara ovata,skip,n_detected_sites<7,77,2,NA
Amara plebeja,skip,n_detected_sites<7,77,2,NA
Amara similata,ok,NA,77,15,6
Amara strenua,skip,n_detected_sites<7,77,1,NA
Amblystomus niger,skip,n_detected_sites<7,77,1,NA
Anchomenus dorsalis,ok,NA,77,29,6
Anisodactylus binotatus,ok,NA,77,9,6
Anisodactylus signatus,skip,n_detected_sites<7,77,3,NA
Apotomus rufus,skip,n_detected_sites<7,77,1,NA
Asaphidion curtum,skip,n_detected_sites<7,77,2,NA
Asaphidion flavipes,skip,n_detected_sites<7,77,1,NA
Asaphidion stierlini,ok,NA,77,14,6
Badister bullatus,ok,NA,77,12,6
Badister lacertosus,skip,n_detected_sites<7,77,1,NA
Badister sodalis,skip,n_detected_sites<7,77,2,NA
Bembidion callosum,skip,n_detected_sites<7,77,3,NA
Bembidion deletum,skip,n_detected_sites<7,77,1,NA
Bembidion guttula,skip,n_detected_sites<7,77,2,NA
Bembidion lampros,ok,NA,77,25,6
Bembidion lunulatum,ok,NA,77,14,6
Bembidion obtusum,ok,NA,77,13,6
Bembidion properans,ok,NA,77,27,6
