species,method,prediction_eff_z,p_hat,lcl,ucl,n_sites_available,n_sites_detected,n_rep,AIC,any_se_bad
Abax parallelepipedus,Pitfall10,0.35861746750745094,0.999834794892395,8.365495012458435e-28,1,64,11,6,NA,FALSE
Abax parallelepipedus,Pitfall8,0.11270612236011016,0.7862213359453303,0.2851918825906218,0.9713475732559599,64,11,6,NA,FALSE
Abax parallelepipedus,Pitfall6,-0.2021175967624249,0.8209948084806074,0.34175678252363734,0.9759124819225032,64,11,6,NA,FALSE
Abax parallelepipedus,Pitfall4,-0.6401886118643706,0.8676718004700051,0.44231172733482477,0.9818869219396678,64,11,6,NA,FALSE
Abax parallelepipedus,Pitfall2,-1.365577193140986,0.888042284492138,0.49589282044324723,0.9846054171860023,64,11,6,NA,FALSE
Abax parallelepipedus,GPD,1.5626334705307883,0.7127309558780702,0.3427125283286518,0.9219109706520737,64,11,6,NA,FALSE
Agonum muelleri,Pitfall10,0.35861746750745094,0.718702936645605,0.3937411151470137,0.909511686843604,64,15,6,NA,FALSE
Agonum muelleri,Pitfall8,0.11270612236011016,0.7184917482435743,0.3935225299508386,0.9094151054173666,64,15,6,NA,FALSE
Agonum muelleri,Pitfall6,-0.2021175967624249,0.6511399333072567,0.35052244643354913,0.8658613584051763,64,15,6,NA,FALSE
Agonum muelleri,Pitfall4,-0.6401886118643706,0.5568933456000311,0.2751319510639545,0.8062562676533933,64,15,6,NA,FALSE
Agonum muelleri,Pitfall2,-1.365577193140986,0.5842550319615768,0.3073806733836018,0.8165168514281305,64,15,6,NA,FALSE
Agonum muelleri,GPD,1.5626334705307883,0.9183682369880715,0.5899185018558145,0.9887617639859692,64,15,6,NA,FALSE
Amara aenea,Pitfall10,0.35861746750745094,0.8576655897822759,0.6363520033961481,0.9540211546055164,64,31,6,NA,FALSE
Amara aenea,Pitfall8,0.11270612236011016,0.7059507907444541,0.4952092307962681,0.8545522170549307,64,31,6,NA,FALSE
Amara aenea,Pitfall6,-0.2021175967624249,0.5748889587025606,0.3707735938064624,0.75630964957211,64,31,6,NA,FALSE
Amara aenea,Pitfall4,-0.6401886118643706,0.3338794373942462,0.1761315369808246,0.5402622286075006,64,31,6,NA,FALSE
Amara aenea,Pitfall2,-1.365577193140986,0.2841322977414532,0.14789995395736907,0.47578322942824075,64,31,6,NA,FALSE
Amara aenea,GPD,1.5626334705307883,0.6751596434738545,0.4780957877787662,0.8250442022854778,64,31,6,NA,FALSE
Amara communis,Pitfall10,0.35861746750745094,0.7468384935403959,0.2566336161201356,0.9618444749247272,64,7,6,NA,FALSE
Amara communis,Pitfall8,0.11270612236011016,0.5219540593177247,0.1311561673578882,0.887606274117971,64,7,6,NA,FALSE
Amara communis,Pitfall6,-0.2021175967624249,0.26742299349215637,0.03565539475070719,0.7828027151991662,64,7,6,NA,FALSE
Amara communis,Pitfall4,-0.6401886118643706,0.24670393885541356,0.03219540893561684,0.7632656776671631,64,7,6,NA,FALSE
Amara communis,Pitfall2,-1.365577193140986,0.18175139655220846,0.022917565049695585,0.6777857552525453,64,7,6,NA,FALSE
Amara communis,GPD,1.5626334705307883,0.8980851823628176,0.34879374047960054,0.9931497808024111,64,7,6,NA,FALSE
Amara convexior,Pitfall10,0.35861746750745094,0.9998629300176726,1.3795389179633409e-19,1,64,13,6,NA,FALSE
Amara convexior,Pitfall8,0.11270612236011016,0.9999837864570007,4.919147509345481e-62,1,64,13,6,NA,FALSE
Amara convexior,Pitfall6,-0.2021175967624249,0.900284777087472,0.5256754139192146,0.9865865548703879,64,13,6,NA,FALSE
Amara convexior,Pitfall4,-0.6401886118643706,0.7879035298855176,0.43090305757231406,0.9479864788053228,64,13,6,NA,FALSE
Amara convexior,Pitfall2,-1.365577193140986,0.44188909422268463,0.17152009145366595,0.7517363995336157,64,13,6,NA,FALSE
Amara convexior,GPD,1.5626334705307883,0.8462733703478332,0.5027976903925232,0.9677089796167478,64,13,6,NA,FALSE
Amara familiaris,Pitfall10,0.35861746750745094,0.6584384034159729,0.258837377084881,0.9140960603656393,64,10,6,NA,FALSE
Amara familiaris,Pitfall8,0.11270612236011016,0.5685188706457308,0.2233891921643514,0.8578620555656615,64,10,6,NA,FALSE
Amara familiaris,Pitfall6,-0.2021175967624249,0.18493410850853556,0.038712315042219364,0.5610876069574422,64,10,6,NA,FALSE
Amara familiaris,Pitfall4,-0.6401886118643706,0.17469655906133758,0.03702651629785854,0.5381731604235992,64,10,6,NA,FALSE
Amara familiaris,Pitfall2,-1.365577193140986,0.14255102802262185,0.02998414831981227,0.47205920763475584,64,10,6,NA,FALSE
Amara familiaris,GPD,1.5626334705307883,0.3330949219643939,0.1137582125051916,0.6602647180643761,64,10,6,NA,FALSE
Amara lunicollis,Pitfall10,0.35861746750745094,0.7780992283590407,0.3638896245846983,0.9555434957356213,64,8,6,NA,FALSE
Amara lunicollis,Pitfall8,0.11270612236011016,0.4829916341367097,0.16212856524686703,0.8185204773738067,64,8,6,NA,FALSE
Amara lunicollis,Pitfall6,-0.2021175967624249,0.4819483130443078,0.1615263265528857,0.8179379256292858,64,8,6,NA,FALSE
Amara lunicollis,Pitfall4,-0.6401886118643706,0.46024387221268687,0.15019710618026236,0.8044486494347513,64,8,6,NA,FALSE
Amara lunicollis,Pitfall2,-1.365577193140986,0.137199793743626,0.017884927554484942,0.5813360155495385,64,8,6,NA,FALSE
Amara lunicollis,GPD,1.5626334705307883,0.5904532557331617,0.23358749511650295,0.8721208889653912,64,8,6,NA,FALSE
Amara similata,Pitfall10,0.35861746750745094,0.8953551532123608,0.5130668713207929,0.9858112724990675,64,15,6,NA,FALSE
Amara similata,Pitfall8,0.11270612236011016,0.8086171360434086,0.46930832760227875,0.9528004188503912,64,15,6,NA,FALSE
Amara similata,Pitfall6,-0.2021175967624249,0.6426513545665808,0.34259942846315145,0.8612262728149755,64,15,6,NA,FALSE
Amara similata,Pitfall4,-0.6401886118643706,0.3309504201549764,0.12897752382384547,0.6229880477234705,64,15,6,NA,FALSE
Amara similata,Pitfall2,-1.365577193140986,0.2923075293590826,0.11228390650942592,0.574250611654622,64,15,6,NA,FALSE
Amara similata,GPD,1.5626334705307883,0.742831173119743,0.4508646375666798,0.9104098777360843,64,15,6,NA,FALSE
Anchomenus dorsalis,Pitfall10,0.35861746750745094,0.912838372406165,0.6982068606588513,0.979342757308704,64,27,6,NA,FALSE
Anchomenus dorsalis,Pitfall8,0.11270612236011016,0.8340524290000011,0.6116002810492527,0.9413211386658119,64,27,6,NA,FALSE
Anchomenus dorsalis,Pitfall6,-0.2021175967624249,0.7846394072250182,0.5544087827231643,0.9143011509007956,64,27,6,NA,FALSE
Anchomenus dorsalis,Pitfall4,-0.6401886118643706,0.6254965583132509,0.39307960626621186,0.8115747550756072,64,27,6,NA,FALSE
Anchomenus dorsalis,Pitfall2,-1.365577193140986,0.6089565123319304,0.39025649493180264,0.7911861922727125,64,27,6,NA,FALSE
Anchomenus dorsalis,GPD,1.5626334705307883,0.8762765390682772,0.6648880828426147,0.9619518316940454,64,27,6,NA,FALSE
Anisodactylus binotatus,Pitfall10,0.35861746750745094,0.8049080698616085,0.31409064395557734,0.9738033601424333,64,7,6,NA,FALSE
Anisodactylus binotatus,Pitfall8,0.11270612236011016,0.6089993598645697,0.20469942366033048,0.9040791455535758,64,7,6,NA,FALSE
Anisodactylus binotatus,Pitfall6,-0.2021175967624249,0.6080134282165519,0.2039310725739044,0.903770760232086,64,7,6,NA,FALSE
Anisodactylus binotatus,Pitfall4,-0.6401886118643706,0.39402523215068436,0.09714204656262129,0.7971448342720815,64,7,6,NA,FALSE
Anisodactylus binotatus,Pitfall2,-1.365577193140986,0.31038235790156515,0.07534165682734745,0.7131487863263881,64,7,6,NA,FALSE
Anisodactylus binotatus,GPD,1.5626334705307883,0.6291220979533221,0.2509760995160303,0.8956984962280532,64,7,6,NA,FALSE
Asaphidion stierlini,Pitfall10,0.35861746750745094,0.9998854051492646,5.769010919891832e-21,1,64,13,6,NA,FALSE
Asaphidion stierlini,Pitfall8,0.11270612236011016,0.8062471698273102,0.4487800185553857,0.9550930115767424,64,13,6,NA,FALSE
