method,habitat,n_cases,n_reached_095,pct_reached_095,coverage_median
GPD,Crop,23,18,78.26086956521739,0.967741935483871
GPD,Forest,14,5,35.714285714285715,0.900641025641026
GPD,Grassland / Meadow,21,5,23.809523809523807,0.91566265060241
GPD,Schrubland,4,1,25,0.887025316455696
Pitfall10,Crop,23,18,78.26086956521739,0.985401459854015
Pitfall10,Forest,18,7,38.88888888888889,0.937157271331432
Pitfall10,Grassland / Meadow,21,9,42.857142857142854,0.939393939393939
Pitfall10,Schrubland,5,2,40,0.921739130434783
Pitfall2,Crop,23,11,47.82608695652174,0.943396226415094
Pitfall2,Forest,17,4,23.52941176470588,0.84
Pitfall2,Grassland / Meadow,19,3,15.789473684210526,0.714285714285714
Pitfall2,Schrubland,5,1,20,0.75
Pitfall4,Crop,23,15,65.21739130434783,0.973684210526316
Pitfall4,Forest,18,8,44.44444444444444,0.9352226720647775
Pitfall4,Grassland / Meadow,20,5,25,0.8924233661075764
Pitfall4,Schrubland,5,1,20,0.769230769230769
Pitfall6,Crop,23,19,82.6086956521739,0.981418918918919
Pitfall6,Forest,18,6,33.33333333333333,0.9208074534161494
Pitfall6,Grassland / Meadow,20,6,30,0.930172068827531
Pitfall6,Schrubland,5,2,40,0.875
Pitfall8,Crop,23,17,73.91304347826086,0.978835978835979
Pitfall8,Forest,18,5,27.77777777777778,0.9208333333333335
Pitfall8,Grassland / Meadow,20,10,50,0.9485411140583551
Pitfall8,Schrubland,5,2,40,0.931034482758621
NA,Crop,19,1,5.263157894736842,0.5
NA,Grassland / Meadow,14,1,7.142857142857142,0
NA,Schrubland,4,0,0,0
