IL_GPD_m,species,method,prediction_eff_z,p_hat,lcl,ucl,n_sites_available,n_sites_detected,n_rep,AIC,any_se_bad,p_clip,logit_p,se_p,se_logit,weight
0.8,Abax parallelepipedus,Pitfall10,0,0.9999890792498022,1.6916219026411894e-162,1,64,11,6,NA,FALSE,0.9999890792498022,11.42483496976349,0.25510204081632654,23359.6430768448,1.8325996302471135e-9
0.8,Abax parallelepipedus,Pitfall8,0,0.7304449434267075,0.14638324404573197,0.977179622195324,64,11,6,NA,FALSE,0.7304449434267075,0.9968811989726751,0.21193785156877346,1.0763996736169297,0.8630836413459635
0.8,Abax parallelepipedus,Pitfall6,0,0.8412016509017235,0.37786877733503343,0.9788139069501278,64,11,6,NA,FALSE,0.8412016509017235,1.6671962537297385,0.15330232898344245,1.1476320103499147,0.759267295142244
0.8,Abax parallelepipedus,Pitfall4,0,0.934076774642403,0.2529091798298984,0.9983166622596263,64,11,6,NA,FALSE,0.934076774642403,2.6510678219160204,0.19015497000758363,3.088066611053877,0.10486406299514786
0.8,Abax parallelepipedus,Pitfall2,0,0.9797512064270792,0.018912094975020808,0.9999917663038759,64,11,6,NA,FALSE,0.9797512064270792,3.879203453309245,0.2502754263594018,12.615464621325298,0.006283382527014814
0.8,Abax parallelepipedus,GPD,0,0.29310645872757113,2.5963599423981925e-4,0.9984917289495624,64,11,6,NA,FALSE,0.29310645872757113,-0.8803441930510961,0.2546510441212558,1.2290401178031702,0.6620150789860366
0.8,Agonum muelleri,Pitfall10,0,0.48948162424833563,0.11787022993886424,0.8730938794150681,64,15,6,NA,FALSE,0.48948162424833563,-0.04207971112675137,0.19265909425413366,0.7709775692184561,1.6823506264592616
0.8,Agonum muelleri,Pitfall8,0,0.6180340461325877,0.26970622020825935,0.8763746145875814,64,15,6,NA,FALSE,0.6180340461325877,0.48121206813659817,0.1547623455049291,0.6555838535353647,2.32671667608058
0.8,Agonum muelleri,Pitfall6,0,0.6983929219302495,0.3822490725502443,0.8965370886578534,64,15,6,NA,FALSE,0.6983929219302495,0.8396567655213562,0.1311959224764309,0.6228435609683826,2.5777573981988398
0.8,Agonum muelleri,Pitfall4,0,0.7987189370490743,0.28643394239583875,0.9751414503759902,64,15,6,NA,FALSE,0.7987189370490743,1.3783068610274634,0.17569069081126312,1.0928280957791494,0.8373293151926404
0.8,Agonum muelleri,Pitfall2,0,0.9542181893811315,0.17338402898875746,0.9995174012359127,64,15,6,NA,FALSE,0.9542181893811315,3.037005491164923,0.21074830924672328,4.824179332327065,0.042968788850672256
0.8,Agonum muelleri,GPD,0,0.43809857527635976,0.014348596218868312,0.9766124404324743,64,15,6,NA,FALSE,0.43809857527635976,-0.24888249089820502,0.2454754704626546,0.997185895187889,1.005652056638209
