IL_GPD_m,method,n_species,median_p,q25_p,q75_p
0.8,Pitfall2,42,0.934181622315502,0.7095714962808727,0.9948393324345657
0.8,Pitfall4,42,0.8377328411386293,0.6565908534694742,0.9624290270861002
0.8,Pitfall6,42,0.7342332865606728,0.6487406672084357,0.8925714757042079
0.8,Pitfall8,42,0.7233719371152909,0.5435630234284514,0.9016046406491379
0.8,Pitfall10,42,0.7646696789223686,0.5348829857242448,0.999445883453778
0.8,GPD,42,0.16196998906058885,0.009262848598455886,0.3808793903072454
0.8500000000000001,Pitfall2,42,0.9360603465130175,0.7140630218537862,0.995075591177172
0.8500000000000001,Pitfall4,42,0.8440391812534962,0.6653185444416789,0.9647867874311751
0.8500000000000001,Pitfall6,42,0.7371209038974453,0.6603318998166064,0.8954535915511348
0.8500000000000001,Pitfall8,42,0.7296579365590081,0.5542369838269221,0.9035933415194454
0.8500000000000001,Pitfall10,42,0.769929111277409,0.5516208006484976,0.9995483520772832
0.8500000000000001,GPD,42,0.15195085544397882,0.007510763811840947,0.36683400417172296
0.9,Pitfall2,42,0.9377749610414563,0.7182245781943946,0.9954531556405604
0.9,Pitfall4,42,0.8511576464839108,0.6734519698342484,0.9669729622808418
0.9,Pitfall6,42,0.763346307878281,0.6681145440077003,0.898186798519664
0.9,Pitfall8,42,0.7356010897067705,0.5629237684276762,0.9054161037413138
0.9,Pitfall10,42,0.7748160247869135,0.567321222853783,0.9995247548738475
0.9,GPD,42,0.1431657849228408,0.006075911155760595,0.35382414650752875
0.9500000000000001,Pitfall2,42,0.9393451971878961,0.7220146069391582,0.9956452964446437
0.9500000000000001,Pitfall4,42,0.8554900482108647,0.6810561545703363,0.9689831340307229
0.9500000000000001,Pitfall6,42,0.7620268533471182,0.6753862375506677,0.9038398184405987
0.9500000000000001,Pitfall8,42,0.7412265463987002,0.5691765784740437,0.9070887131064793
0.9500000000000001,Pitfall10,42,0.7795927306151489,0.5820319981858123,0.9993563717771567
0.9500000000000001,GPD,42,0.13383194376172644,0.005003367309313204,0.34168632688597933
1,Pitfall2,42,0.9407350197103687,0.7256292224959453,0.9959105219856853
1,Pitfall4,42,0.8611609987179949,0.6881887322954098,0.9706859748918171
1,Pitfall6,42,0.7601339616513241,0.6821581028712033,0.9068548178196968
1,Pitfall8,42,0.7461580647426367,0.5750872713214789,0.9085843248851253
1,Pitfall10,42,0.7835857631420386,0.59584420432233,0.9994042067446286
1,GPD,42,0.12379784586425686,0.0041417845832455065,0.3306577473993153
1.05,Pitfall2,42,0.9421099719795621,0.7288676829601884,0.996100928878936
1.05,Pitfall4,42,0.8676696198743112,0.6948961567257834,0.9723552046176189
1.05,Pitfall6,42,0.7623208745586905,0.6885591655969018,0.9086917680635036
1.05,Pitfall8,42,0.7485396675348146,0.5806876384944697,0.9100484513120395
1.05,Pitfall10,42,0.7875535980109706,0.6077165378593997,0.9996084571228895
1.05,GPD,42,0.1148553957588011,0.003459538305942771,0.31871282827813496
1.1,Pitfall2,42,0.9435978080869586,0.732249472267894,0.9964036268978536
1.1,Pitfall4,42,0.8738156095822096,0.7012175299503747,0.9737077023719194
1.1,Pitfall6,42,0.7697745544206125,0.6943196616126159,0.910651603039666
1.1,Pitfall8,42,0.7510762332123408,0.5860121803442571,0.911400476419485
1.1,Pitfall10,42,0.7912870111234154,0.6155569364289258,0.9996530816496905
1.1,GPD,42,0.10685699483279626,0.00291382353128072,0.30270756431258894
1.1500000000000001,Pitfall2,42,0.945003627416584,0.735171190073505,0.9964577707465259
1.1500000000000001,Pitfall4,42,0.8791612668068437,0.7071869661830266,0.9750174634802673
1.1500000000000001,Pitfall6,42,0.7814649839778773,0.7044695807890874,0.9221110538707394
1.1500000000000001,Pitfall8,42,0.7600605172661095,0.5963890942771092,0.9126306490891821
1.1500000000000001,Pitfall10,42,0.7947992778337503,0.6229745425209938,0.9996840168927942
1.1500000000000001,GPD,42,0.09967429582000212,0.002472829585126909,0.2875818297577971
1.2,Pitfall2,42,0.9463249443437229,0.7381913433660519,0.996598401465317
1.2,Pitfall4,42,0.8839332593837497,0.7128357661860754,0.9762517612294788
1.2,Pitfall6,42,0.7923686640254475,0.7078148132467994,0.924479617150649
1.2,Pitfall8,42,0.7637780112026923,0.6079674225785668,0.9137355550217724
1.2,Pitfall10,42,0.7981173081498567,0.6286158278656722,0.9995624425343501
1.2,GPD,42,0.09320155960413098,0.0021131592805740474,0.27378496670289615
