species
Abax parallelepipedus
Agonum muelleri
Amara aenea
Amara communis
Amara convexior
Amara familiaris
Amara lunicollis
Amara similata
Anchomenus dorsalis
Anisodactylus binotatus
Asaphidion stierlini
Badister bullatus
Bembidion lampros
Bembidion lunulatum
Bembidion obtusum
Bembidion properans
Bembidion quadrimaculatum
Brachinus crepitans
Brachinus sclopeta
Calathus fuscipes
Carabus auratus
Carabus nemoralis
Harpalus affinis
Harpalus dimidiatus
Harpalus distinguendus
Harpalus rubripes
Harpalus tardus
Loricera pilicornis
Microlestes
Nebria brevicollis
Nebria salina
Notiophilus biguttatus
Notiophilus quadripunctatus
Notiophilus substriatus
Parophonus maculicornis
Poecilus versicolor
Pterostichus madidus
Pterostichus melanarius
Pterostichus vernalis
Stenolophus teutonus
Syntomus obscuroguttatus
Trechus quadristriatus
