IL_GPD_m,species,method,p_hat,lcl,ucl,n_sites_available,n_sites_detected,n_rep,AIC,any_se_bad
0.8,Abax parallelepipedus,Pitfall10,0.9999943405479873,3.3070011116553505e-162,1,64,11,6,NA,FALSE
0.8,Abax parallelepipedus,Pitfall8,0.7862657044032957,0.2851257070285463,0.9713712937250906,64,11,6,NA,FALSE
0.8,Abax parallelepipedus,Pitfall6,0.8209307099409987,0.34162385362548725,0.9759058700166314,64,11,6,NA,FALSE
0.8,Abax parallelepipedus,Pitfall4,0.867620159284759,0.4422105226750687,0.9818782213036901,64,11,6,NA,FALSE
0.8,Abax parallelepipedus,Pitfall2,0.8880404878516374,0.49582452029092355,0.9846090103091879,64,11,6,NA,FALSE
0.8,Abax parallelepipedus,GPD,0.7126347253549077,0.3426823804207726,0.9218529211122681,64,11,6,NA,FALSE
0.8,Agonum muelleri,Pitfall10,0.7187245712554945,0.39373853755709526,0.9095301885272733,64,15,6,NA,FALSE
0.8,Agonum muelleri,Pitfall8,0.7185011949152721,0.3935096952673965,0.9094272300373152,64,15,6,NA,FALSE
0.8,Agonum muelleri,Pitfall6,0.6511582727490222,0.3505250495120918,0.8658787835957737,64,15,6,NA,FALSE
0.8,Agonum muelleri,Pitfall4,0.5569061077328744,0.2751330550491391,0.806271560029869,64,15,6,NA,FALSE
0.8,Agonum muelleri,Pitfall2,0.584299928745922,0.30740722180517444,0.8165535507367551,64,15,6,NA,FALSE
0.8,Agonum muelleri,GPD,0.9182046662926863,0.5899444808503213,0.9887120166668831,64,15,6,NA,FALSE
0.8,Amara aenea,Pitfall10,0.857771842320515,0.6365158358855779,0.9540664572239276,64,31,6,NA,FALSE
0.8,Amara aenea,Pitfall8,0.7060586838695081,0.49531498170127614,0.8546288368680641,64,31,6,NA,FALSE
0.8,Amara aenea,Pitfall6,0.5749992451113985,0.37085976265676207,0.7564079150298333,64,31,6,NA,FALSE
0.8,Amara aenea,Pitfall4,0.3339495711520957,0.17617052263659258,0.5403521439919196,64,31,6,NA,FALSE
0.8,Amara aenea,Pitfall2,0.28417930711324185,0.14792228186206435,0.4758543256165836,64,31,6,NA,FALSE
0.8,Amara aenea,GPD,0.6753194804814141,0.4782573262436893,0.8251611459203912,64,31,6,NA,FALSE
0.8,Amara communis,Pitfall10,0.7473834250728486,0.2567686905061382,0.9620297604052068,64,7,6,NA,FALSE
0.8,Amara communis,Pitfall8,0.522611260688334,0.13134160038704762,0.887969071714456,64,7,6,NA,FALSE
0.8,Amara communis,Pitfall6,0.2676765127626335,0.035684644903942825,0.7830979021126435,64,7,6,NA,FALSE
0.8,Amara communis,Pitfall4,0.24666013089140812,0.032150731241555146,0.7634397016922636,64,7,6,NA,FALSE
0.8,Amara communis,Pitfall2,0.18162026335528628,0.02286101532737777,0.6779526801620755,64,7,6,NA,FALSE
0.8,Amara communis,GPD,0.898459334588074,0.3489545367031973,0.9932004899986716,64,7,6,NA,FALSE
0.8,Amara convexior,Pitfall10,0.9998591246154086,2.7150199980235047e-19,1,64,13,6,NA,FALSE
0.8,Amara convexior,Pitfall8,0.9999872722586741,1.9182904529894256e-70,1,64,13,6,NA,FALSE
0.8,Amara convexior,Pitfall6,0.90009929312372,0.5255338095016522,0.9865393484149054,64,13,6,NA,FALSE
0.8,Amara convexior,Pitfall4,0.7876617230995854,0.4306997538636919,0.947884629660376,64,13,6,NA,FALSE
0.8,Amara convexior,Pitfall2,0.4417562600354292,0.17144634160799627,0.7516322137102913,64,13,6,NA,FALSE
0.8,Amara convexior,GPD,0.8461735762435264,0.5028205791984138,0.96765815228354,64,13,6,NA,FALSE
0.8,Amara familiaris,Pitfall10,0.6582207781496876,0.2586325517095861,0.9140279494405227,64,10,6,NA,FALSE
0.8,Amara familiaris,Pitfall8,0.5685143544878314,0.22333117223661048,0.8578983449880492,64,10,6,NA,FALSE
0.8,Amara familiaris,Pitfall6,0.1848672266449808,0.03868538258390455,0.5610473228891922,64,10,6,NA,FALSE
0.8,Amara familiaris,Pitfall4,0.17467025705584596,0.03701433987363263,0.5381673639943532,64,10,6,NA,FALSE
0.8,Amara familiaris,Pitfall2,0.1425421872180748,0.029981346471888725,0.4720471641659652,64,10,6,NA,FALSE
0.8,Amara familiaris,GPD,0.333113311388522,0.11382187726968547,0.6601602307702232,64,10,6,NA,FALSE
0.8,Amara lunicollis,Pitfall10,0.7783090115506947,0.3639679925390627,0.9556322913881259,64,8,6,NA,FALSE
0.8,Amara lunicollis,Pitfall8,0.48318454731463467,0.1621941017356812,0.8186782836546069,64,8,6,NA,FALSE
0.8,Amara lunicollis,Pitfall6,0.48201883080541863,0.16152228728568083,0.8180264689298851,64,8,6,NA,FALSE
0.8,Amara lunicollis,Pitfall4,0.460403468293347,0.15024383007928452,0.8045931526830699,64,8,6,NA,FALSE
0.8,Amara lunicollis,Pitfall2,0.13719819299982036,0.017878563707636786,0.5814176249042672,64,8,6,NA,FALSE
0.8,Amara lunicollis,GPD,0.590493182552975,0.233634065135206,0.8721287081270506,64,8,6,NA,FALSE
0.8,Amara similata,Pitfall10,0.8953810078772658,0.5131124517586672,0.9858164400232787,64,15,6,NA,FALSE
0.8,Amara similata,Pitfall8,0.8086514871071466,0.4693413793934063,0.9528144149595411,64,15,6,NA,FALSE
0.8,Amara similata,Pitfall6,0.6426742533550525,0.3426092275592604,0.8612449063924078,64,15,6,NA,FALSE
