site_id,days_pit,n_trap_1_10,n_trap_1_8,n_trap_1_6,n_trap_1_4,n_trap_1_2,eff_p10,eff_p8,eff_p6,eff_p4,eff_p2,days_gpd,n_gpd_units,n_active_subtraps,eff_gpd
RMQS_25_AILLEVILLE_640,31,10,8,6,4,2,48.69468613064179,38.955748904513435,29.216811678385078,19.477874452256717,9.738937226128359,31,1,4,35.86946861306418
RMQS_25_ALLANCHE_1589,29,9,8,6,4,2,40.9977841293468,36.4424747816416,27.3318560862312,18.2212373908208,9.1106186954104,29,1,4,33.5553093477052
RMQS_25_ALLINGES_1275,31,9,8,6,4,2,43.82521751757761,38.955748904513435,29.216811678385078,19.477874452256717,9.738937226128359,31,1,4,35.86946861306418
RMQS_25_ARFEUILLES_1345,36,10,8,6,4,2,56.548667764616276,45.23893421169302,33.929200658769766,22.61946710584651,11.309733552923255,36,1,4,41.65486677646163
RMQS_25_AVESSAC_831,28,10,8,6,4,2,43.982297150257104,35.18583772020568,26.389378290154262,17.59291886010284,8.79645943005142,28,1,4,32.39822971502571
RMQS_25_AZAY-LE-FERRON_1126,28,10,8,6,4,2,43.982297150257104,35.18583772020568,26.389378290154262,17.59291886010284,8.79645943005142,28,1,4,32.39822971502571
RMQS_25_BAZORDAN_2186,29,10,8,6,4,2,45.553093477052,36.4424747816416,27.3318560862312,18.2212373908208,9.1106186954104,29,1,4,33.5553093477052
RMQS_25_BEAUCHENE_438,29,10,8,6,4,2,45.553093477052,36.4424747816416,27.3318560862312,18.2212373908208,9.1106186954104,29,1,4,33.5553093477052
RMQS_25_BESSE_1747,28,8,7,5,3,1,35.18583772020568,30.787608005179973,21.991148575128552,13.194689145077131,4.39822971502571,28,1,4,32.39822971502571
RMQS_25_BETTEVILLE_153,31,9,7,6,4,2,43.82521751757761,34.086280291449256,29.216811678385078,19.477874452256717,9.738937226128359,31,1,4,35.86946861306418
RMQS_25_BEZIERS_2161,29,7,5,4,3,2,31.8871654339364,22.776546738526,18.2212373908208,13.6659280431156,9.1106186954104,29,1,4,33.5553093477052
RMQS_25_BIOL_1517,27,10,8,6,4,2,42.411500823462205,33.929200658769766,25.446900494077326,16.964600329384883,8.482300164692441,27,1,4,31.24115008234622
RMQS_25_CANET-DE-SALARS_1882,30,10,8,6,4,2,47.12388980384689,37.69911184307752,28.274333882308138,18.84955592153876,9.42477796076938,30,1,4,34.71238898038469
RMQS_25_CARSAC-DE-GURSON_1657,27,10,8,6,4,2,42.411500823462205,33.929200658769766,25.446900494077326,16.964600329384883,8.482300164692441,27,1,4,31.24115008234622
RMQS_25_CASTANET_1878,29,8,6,5,4,2,36.4424747816416,27.3318560862312,22.776546738526,18.2212373908208,9.1106186954104,29,1,2,33.5553093477052
RMQS_25_CASTELLET-LES-SAUSSES_1948,29,8,7,5,4,2,36.4424747816416,31.8871654339364,22.776546738526,18.2212373908208,9.1106186954104,NA,NA,NA,NA
RMQS_25_CHAMBLAC_325,12,9,7,5,3,2,16.964600329384883,13.194689145077131,9.42477796076938,5.654866776461628,3.7699111843077517,12,1,3,13.884955592153876
RMQS_25_CHAMONIX-MONT-BLANC_1402,29,3,3,3,3,1,13.6659280431156,13.6659280431156,13.6659280431156,13.6659280431156,4.5553093477052,NA,NA,NA,NA
RMQS_25_CHATEAU-L'EVEQUE_1578,27,10,8,6,4,2,42.411500823462205,33.929200658769766,25.446900494077326,16.964600329384883,8.482300164692441,27,1,4,31.24115008234622
RMQS_25_CHATRES-SUR-CHER_997,29,7,5,3,1,1,31.8871654339364,22.776546738526,13.6659280431156,4.5553093477052,4.5553093477052,29,1,4,33.5553093477052
RMQS_25_CHAUSSEE-SUR-MARNE_401,38,3,3,3,3,1,17.907078125461823,17.907078125461823,17.907078125461823,17.907078125461823,5.969026041820607,38,1,3,43.969026041820605
RMQS_25_CLEMONT_903,31,5,4,4,3,2,24.347343065320896,19.477874452256717,19.477874452256717,14.608405839192539,9.738937226128359,31,1,3,35.86946861306418
RMQS_25_CUGNEY_970,27,10,8,6,4,2,42.411500823462205,33.929200658769766,25.446900494077326,16.964600329384883,8.482300164692441,27,1,4,31.24115008234622
RMQS_25_DAMBACH-LA-VILLE_10594,34,4,3,3,2,2,21.362830044410593,16.022122533307943,16.022122533307943,10.681415022205297,10.681415022205297,34,1,1,39.34070751110265
RMQS_25_DINGY-SAINT-CLAIR_1399,29,9,7,5,3,1,40.9977841293468,31.8871654339364,22.776546738526,13.6659280431156,4.5553093477052,NA,NA,NA,NA
RMQS_25_DOMPAIRE_647,32,5,4,3,1,1,25.132741228718345,20.106192982974676,15.079644737231007,5.026548245743669,5.026548245743669,32,1,2,37.02654824574367
RMQS_25_EBERSHEIM_594,33,8,6,4,4,2,41.46902302738527,31.10176727053895,20.734511513692635,20.734511513692635,10.367255756846317,33,1,4,38.18362787842316
RMQS_25_EPANNES_1283,28,10,8,6,4,2,43.982297150257104,35.18583772020568,26.389378290154262,17.59291886010284,8.79645943005142,28,1,4,32.39822971502571
RMQS_25_ESPAGNAC_1584,30,9,8,6,4,2,42.411500823462205,37.69911184307752,28.274333882308138,18.84955592153876,9.42477796076938,30,1,3,34.71238898038469
RMQS_25_FONDETTES_946,27,10,8,6,4,2,42.411500823462205,33.929200658769766,25.446900494077326,16.964600329384883,8.482300164692441,27,1,4,31.24115008234622
RMQS_25_GAREIN_1911,22,3,3,3,2,1,10.367255756846317,10.367255756846317,10.367255756846317,6.911503837897545,3.4557519189487724,NA,NA,NA,NA
RMQS_25_GAS_509,30,10,8,6,4,2,47.12388980384689,37.69911184307752,28.274333882308138,18.84955592153876,9.42477796076938,30,1,4,34.71238898038469
RMQS_25_GEDRE_2269,29,8,7,5,3,1,36.4424747816416,31.8871654339364,22.776546738526,13.6659280431156,4.5553093477052,29,1,4,33.5553093477052
RMQS_25_HORPS_557,29,10,8,6,4,2,45.553093477052,36.4424747816416,27.3318560862312,18.2212373908208,9.1106186954104,29,1,4,33.5553093477052
RMQS_25_HOUTAUD_1107,28,10,8,6,4,2,43.982297150257104,35.18583772020568,26.389378290154262,17.59291886010284,8.79645943005142,28,1,4,32.39822971502571
RMQS_25_JOUILLAT_1295,31,10,8,6,4,2,48.69468613064179,38.955748904513435,29.216811678385078,19.477874452256717,9.738937226128359,31,1,4,35.86946861306418
RMQS_25_LAGUIOLE_1756,28,10,8,6,4,2,43.982297150257104,35.18583772020568,26.389378290154262,17.59291886010284,8.79645943005142,28,1,4,32.39822971502571
RMQS_25_LESCOUT_2110,30,10,8,6,4,2,47.12388980384689,37.69911184307752,28.274333882308138,18.84955592153876,9.42477796076938,30,1,4,34.71238898038469
RMQS_25_LITZ_199,31,5,5,4,2,1,24.347343065320896,24.347343065320896,19.477874452256717,9.738937226128359,4.869468613064179,31,1,4,35.86946861306418
RMQS_25_LIVRE-SUR-CHANGEON_612,29,9,7,5,3,2,40.9977841293468,31.8871654339364,22.776546738526,13.6659280431156,9.1106186954104,29,1,4,33.5553093477052
RMQS_25_LONDE-LES-MAURES_2207,29,6,6,4,3,1,27.3318560862312,27.3318560862312,18.2212373908208,13.6659280431156,4.5553093477052,29,1,1,33.5553093477052
RMQS_25_LUGNY-LES-CHAROLLES_1264,28,7,6,4,2,0,30.787608005179973,26.389378290154262,17.59291886010284,8.79645943005142,0,28,1,2,32.39822971502571
RMQS_25_MALREVERS_1635,29,8,7,5,3,2,36.4424747816416,31.8871654339364,22.776546738526,13.6659280431156,9.1106186954104,29,1,3,33.5553093477052
RMQS_25_MELLERAY_680,26,10,8,6,4,2,40.840704496667314,32.67256359733385,24.504422698000386,16.336281798666924,8.168140899333462,26,1,4,30.084070449666733
RMQS_25_MONT-PRES-CHAMBORD_899,22,10,8,6,4,2,34.55751918948772,27.64601535159018,20.734511513692635,13.82300767579509,6.911503837897545,22,1,4,25.45575191894877
RMQS_25_MONTPEZAT_2099,29,8,7,5,3,1,36.4424747816416,31.8871654339364,22.776546738526,13.6659280431156,4.5553093477052,29,1,4,33.5553093477052
RMQS_25_NAIZIN_663,31,9,7,5,3,1,43.82521751757761,34.086280291449256,24.347343065320896,14.608405839192539,4.869468613064179,31,1,4,35.86946861306418
RMQS_25_OUESSANT_418,29,10,8,6,4,2,45.553093477052,36.4424747816416,27.3318560862312,18.2212373908208,9.1106186954104,29,1,3,33.5553093477052
RMQS_25_PAUILLAC_1571,27,10,8,6,4,2,42.411500823462205,33.929200658769766,25.446900494077326,16.964600329384883,8.482300164692441,27,1,4,31.24115008234622
RMQS_25_PERREUX_803,30,10,8,6,4,2,47.12388980384689,37.69911184307752,28.274333882308138,18.84955592153876,9.42477796076938,30,1,4,34.71238898038469
RMQS_25_POMMERAYE_939,31,10,8,6,4,2,48.69468613064179,38.955748904513435,29.216811678385078,19.477874452256717,9.738937226128359,31,1,4,35.86946861306418
RMQS_25_PRESSAGNY-L'ORGUEILLEUX_277,30,10,8,6,4,2,47.12388980384689,37.69911184307752,28.274333882308138,18.84955592153876,9.42477796076938,30,1,4,34.71238898038469
RMQS_25_RAUVILLE-LA-BIGOT_147,22,10,8,6,4,2,34.55751918948772,27.64601535159018,20.734511513692635,13.82300767579509,6.911503837897545,22,1,4,25.45575191894877
RMQS_25_RHODES_412,29,8,6,5,4,2,36.4424747816416,27.3318560862312,22.776546738526,18.2212373908208,9.1106186954104,29,1,3,33.5553093477052
RMQS_25_RHODES_413,29,1,0,0,0,0,4.5553093477052,0,0,0,0,NA,NA,NA,NA
RMQS_25_RHODES_414,29,1,0,0,0,0,4.5553093477052,0,0,0,0,NA,NA,NA,NA
RMQS_25_RHODES_415,29,1,0,0,0,0,4.5553093477052,0,0,0,0,NA,NA,NA,NA
RMQS_25_RHODES_416,29,1,0,0,0,0,4.5553093477052,0,0,0,0,NA,NA,NA,NA
RMQS_25_RHODES_417,29,1,0,0,0,0,4.5553093477052,0,0,0,0,NA,NA,NA,NA
RMQS_25_RHODES_418,29,1,0,0,0,0,4.5553093477052,0,0,0,0,NA,NA,NA,NA
RMQS_25_RHODES_419,29,1,0,0,0,0,4.5553093477052,0,0,0,0,NA,NA,NA,NA
RMQS_25_RHODES_420,29,1,0,0,0,0,4.5553093477052,0,0,0,0,NA,NA,NA,NA
RMQS_25_RHODES_421,29,1,0,0,0,0,4.5553093477052,0,0,0,0,NA,NA,NA,NA
RMQS_25_SAILLY-EN-OSTREVENT_53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,4,34.71238898038469
RMQS_25_SAINT-AGNANT-PRES-CROCQ_1421,30,10,8,6,4,2,47.12388980384689,37.69911184307752,28.274333882308138,18.84955592153876,9.42477796076938,30,1,4,34.71238898038469
RMQS_25_SAINT-GERMAIN_637,30,9,7,5,3,1,42.411500823462205,32.98672286269283,23.561944901923447,14.137166941154069,4.71238898038469,30,1,4,34.71238898038469
RMQS_25_SAINT-GINEIS-EN-COIRON_1764,29,10,8,6,4,2,45.553093477052,36.4424747816416,27.3318560862312,18.2212373908208,9.1106186954104,29,1,4,33.5553093477052
