species,out,result,error,status,reason
Abax ovalis,,,,skip,n_sites<10
Abax parallelepipedus,,,,ok,NA
Abax parallelus,,,,skip,n_sites<10
Acupalpus brunnipes,,,,skip,n_sites<10
Acupalpus dubius,,,,skip,n_sites<10
Acupalpus meridianus,,,,skip,n_sites<10
Acupalpus notatus,,,,skip,n_sites<10
Acupalpus parvulus,,,,skip,n_sites<10
Agonum marginatum,,,,skip,n_sites<10
Agonum muelleri,,,,ok,NA
Agonum nigrum,,,,skip,n_sites<10
Agonum viridicupreum,,,,skip,n_sites<10
Amara aenea,,,,ok,NA
Amara anthobia,,,,skip,n_sites<10
Amara communis,,,,skip,n_sites<10
Amara convexior,,,,ok,NA
Amara familiaris,,,,skip,n_sites<10
Amara fulvipes,,,,skip,n_sites<10
Amara kulti,,,,skip,n_sites<10
Amara lucida,,,,skip,n_sites<10
Amara lunicollis,,,,skip,n_sites<10
Amara nitida,,,,skip,n_sites<10
Amara ovata,,,,skip,n_sites<10
Amara plebeja,,,,skip,n_sites<10
Amara similata,,,,ok,NA
Amblystomus niger,,,,skip,n_sites<10
Anchomenus dorsalis,,,,ok,NA
Anisodactylus binotatus,,,,skip,n_sites<10
Anisodactylus signatus,,,,skip,n_sites<10
Apotomus rufus,,,,skip,n_sites<10
Asaphidion curtum,,,,skip,n_sites<10
Asaphidion stierlini,,,,ok,NA
Badister bullatus,,,,skip,n_sites<10
Badister lacertosus,,,,skip,n_sites<10
Badister sodalis,,,,skip,n_sites<10
Bembidion callosum,,,,skip,n_sites<10
Bembidion guttula,,,,skip,n_sites<10
Bembidion lampros,,,,ok,NA
Bembidion lunulatum,,,,ok,NA
Bembidion obtusum,,,,ok,NA
Bembidion properans,,,,ok,NA
Bembidion quadrimaculatum,,,,ok,NA
Bembidion tetracolum,,,,skip,n_sites<10
Brachinus crepitans,,,,skip,n_sites<10
Brachinus explodens,,,,skip,n_sites<10
Brachinus sclopeta,,,,skip,n_sites<10
Bradycellus harpalinus,,,,skip,n_sites<10
Calathus fuscipes,,,,skip,n_sites<10
Calathus melanocephalus,,,,skip,n_sites<10
Calathus rotundicollis,,,,skip,n_sites<10
Callistus lunatus,,,,skip,n_sites<10
Carabus auratus,,,,ok,NA
Carabus auronitens,,,,skip,n_sites<10
Carabus cancellatus,,,,skip,n_sites<10
Carabus convexus,,,,skip,n_sites<10
Carabus granulatus,,,,skip,n_sites<10
Carabus hispanus,,,,skip,n_sites<10
Carabus monilis,,,,skip,n_sites<10
Carabus nemoralis,,,,ok,NA
Carabus problematicus,,,,skip,n_sites<10
Carabus violaceus,,,,skip,n_sites<10
Carabus violaceus purpurascens,,,,skip,n_sites<10
Chlaenius chrysocephalus,,,,skip,n_sites<10
Chlaenius nigricornis,,,,skip,n_sites<10
Chlaenius tibialis,,,,skip,n_sites<10
Cicindela campestris,,,,skip,n_sites<10
Clivina collaris,,,,skip,n_sites<10
Clivina fossor,,,,skip,n_sites<10
Cychrus attenuatus,,,,skip,n_sites<10
Cylindera germanica,,,,skip,n_sites<10
Demetrias atricapillus,,,,skip,n_sites<10
Dyschirius aeneus,,,,skip,n_sites<10
Dyschirius globosus,,,,skip,n_sites<10
Dyschirius tristis,,,,skip,n_sites<10
Harpalus,,,,skip,n_sites<10
Harpalus affinis,,,,ok,NA
Harpalus anxius,,,,skip,n_sites<10
Harpalus cupreus,,,,skip,n_sites<10
Harpalus dimidiatus,,,,ok,NA
Harpalus distinguendus,,,,ok,NA
Harpalus honestus,,,,skip,n_sites<10
Harpalus laevipes,,,,skip,n_sites<10
Harpalus latus,,,,skip,n_sites<10
Harpalus luteicornis,,,,skip,n_sites<10
Harpalus oblitus,,,,skip,n_sites<10
Harpalus pygmaeus,,,,skip,n_sites<10
Harpalus rubripes,,,,ok,NA
Harpalus rufipalpis,,,,skip,n_sites<10
Harpalus serripes,,,,skip,n_sites<10
Harpalus tardus,,,,skip,n_sites<10
Leistus fulvibarbis,,,,skip,n_sites<10
Leistus rufomarginatus,,,,skip,n_sites<10
Leistus spinibarbis,,,,skip,n_sites<10
Licinus punctatulus,,,,skip,n_sites<10
Licinus silphoides,,,,skip,n_sites<10
Loricera pilicornis,,,,ok,NA
Microlestes,,,,skip,n_sites<10
Microlestes abeillei,,,,skip,n_sites<10
Microlestes luctuosus,,,,skip,n_sites<10
Microlestes maurus,,,,skip,n_sites<10
Microlestes minutulus,,,,skip,n_sites<10
Molops piceus,,,,skip,n_sites<10
Nebria brevicollis,,,,ok,NA
Nebria salina,,,,ok,NA
Notiophilus aestuans,,,,skip,n_sites<10
Notiophilus aquaticus,,,,skip,n_sites<10
Notiophilus biguttatus,,,,ok,NA
Notiophilus germinyi,,,,skip,n_sites<10
Notiophilus palustris,,,,skip,n_sites<10
Notiophilus quadripunctatus,,,,ok,NA
Notiophilus rufipes,,,,skip,n_sites<10
Notiophilus substriatus,,,,ok,NA
Ophonus ardosiacus,,,,skip,n_sites<10
Ophonus azureus,,,,skip,n_sites<10
Ophonus cribricollis,,,,skip,n_sites<10
Ophonus puncticeps,,,,skip,n_sites<10
Oxypselaphus obscurus,,,,skip,n_sites<10
Panagaeus bipustulatus,,,,skip,n_sites<10
Pangus scaritides,,,,skip,n_sites<10
Parophonus maculicornis,,,,ok,NA
Pedius longicollis,,,,skip,n_sites<10
Platyderus depressus,,,,skip,n_sites<10
Platynus assimilis,,,,skip,n_sites<10
Poecilus cupreus,,,,ok,NA
Poecilus kugelanni,,,,skip,n_sites<10
Poecilus lepidus,,,,skip,n_sites<10
Poecilus lepidus gressorius,,,,skip,n_sites<10
Poecilus purpurascens,,,,skip,n_sites<10
Poecilus sericeus,,,,skip,n_sites<10
Poecilus versicolor,,,,ok,NA
Polistichus connexus,,,,skip,n_sites<10
Pseudoophonus rufipes,,,,skip,n_sites<10
Pterostichus anthracinus,,,,skip,n_sites<10
Pterostichus cristatus,,,,skip,n_sites<10
Pterostichus diligens,,,,skip,n_sites<10
Pterostichus funestes,,,,skip,n_sites<10
Pterostichus madidus,,,,ok,NA
Pterostichus melanarius,,,,skip,n_sites<10
Pterostichus minor,,,,skip,n_sites<10
Pterostichus multipunctatus,,,,skip,n_sites<10
Pterostichus niger,,,,skip,n_sites<10
Pterostichus oblongopunctatus,,,,skip,n_sites<10
Pterostichus pumilio,,,,skip,n_sites<10
Pterostichus strenuus,,,,skip,n_sites<10
Pterostichus vernalis,,,,skip,n_sites<10
Stenolophus teutonus,,,,skip,n_sites<10
Syntomus foveatus,,,,skip,n_sites<10
Syntomus obscuroguttatus,,,,skip,n_sites<10
Syntomus truncatellus,,,,skip,n_sites<10
Synuchus vivalis,,,,skip,n_sites<10
Tachys bistriatus,,,,skip,n_sites<10
Tachyura parvula,,,,skip,n_sites<10
Trechus quadristriatus,,,,ok,NA
Zabrus tenebrioides,,,,skip,n_sites<10
