species,component,term,estimate,se,z,p
Abax ovalis,state,(Intercept),15.273032020379206,1826.1392098947433,0.008363563926355608,0.9933269192660753
Abax ovalis,state,DOY_z,4.627828013945914,10660.768768461065,4.3409890172619925e-4,0.9996536391993294
Abax ovalis,det,(Intercept),4.501140486873555,NA,NA,NA
Abax ovalis,det,Pitfall10,14.815262752774974,NA,NA,NA
Abax ovalis,det,Pitfall8,-3.4929501349435124,NA,NA,NA
Abax ovalis,det,Pitfall6,-4.158835898550282,NA,NA,NA
Abax ovalis,det,Pitfall4,-6.179790651721094,NA,NA,NA
Abax ovalis,det,Pitfall2,-7.944525295501647,NA,NA,NA
Abax ovalis,det,GPD,11.461979714866661,NA,NA,NA
Abax ovalis,det,eff_z,-3.172340842117569,3.3772855097362826,-0.9393167480131945,0.34756814226259036
Abax parallelepipedus,state,(Intercept),14.311578409684682,466.9812702166014,0.030647007326539022,0.9755510533135151
Abax parallelepipedus,state,DOY_z,1.373255979097691,700.1436852294869,0.0019613916515544626,0.9984350368869542
Abax parallelepipedus,det,(Intercept),4.009322679092691,NA,NA,NA
Abax parallelepipedus,det,Pitfall10,10.734487416387271,NA,NA,NA
Abax parallelepipedus,det,Pitfall8,-0.6323859782500983,NA,NA,NA
Abax parallelepipedus,det,Pitfall6,-1.4469942666335744,NA,NA,NA
Abax parallelepipedus,det,Pitfall4,-2.6554425417167757,NA,NA,NA
Abax parallelepipedus,det,Pitfall2,-4.685027363027285,NA,NA,NA
Abax parallelepipedus,det,GPD,2.694685410898102,NA,NA,NA
Abax parallelepipedus,det,eff_z,-3.0938481966406086,2.9490979009600493,-1.0490829062112306,0.2941399627367167
Acupalpus meridianus,state,(Intercept),10.898036156115902,103.99202792855041,0.1047968423464498,0.9165370156962369
Acupalpus meridianus,state,DOY_z,-0.008639410121928048,157.0907894332913,-5.4996286880312474e-5,0.9999561193118188
Acupalpus meridianus,det,(Intercept),-0.7475759005281083,10117.123651334634,-7.389213834798681e-5,0.9999410426037011
Acupalpus meridianus,det,Pitfall10,9.733563626776904,10117.365189014206,9.620650678247685e-4,0.9992323832543086
Acupalpus meridianus,det,Pitfall8,-0.03300922814044023,10117.123634040203,-3.2627087830949265e-6,0.9999973967350356
Acupalpus meridianus,det,Pitfall6,0.17595346749111074,10117.123673374954,1.7391649363164772e-5,0.999986123471487
Acupalpus meridianus,det,Pitfall4,0.6406749919993932,10117.12394485841,6.332580242085385e-5,0.9999494733199817
Acupalpus meridianus,det,Pitfall2,-5.578178848434194,10117.303923014895,-5.513503291865063e-4,0.9995600861070365
Acupalpus meridianus,det,GPD,-5.686579910295343,10117.125413339332,-5.620746682449585e-4,0.999551529323803
Acupalpus meridianus,det,eff_z,3.490107735924842,4.0629507128810305,0.859008140280888,0.390336024943027
Agonum muelleri,state,(Intercept),12.36318412562296,133.80967320749428,0.09239379956075204,0.9263851655916503
Agonum muelleri,state,DOY_z,-0.1679443106277173,202.83138681014574,-8.27999617164362e-4,0.9993393519646021
Agonum muelleri,det,(Intercept),3.2411337344055924,NA,NA,NA
Agonum muelleri,det,Pitfall10,10.04487191733751,NA,NA,NA
Agonum muelleri,det,Pitfall8,-0.8620817143834119,NA,NA,NA
Agonum muelleri,det,Pitfall6,-0.20605595044040503,NA,NA,NA
Agonum muelleri,det,Pitfall4,-0.385717571698893,NA,NA,NA
Agonum muelleri,det,Pitfall2,0.14964383166802547,NA,NA,NA
Agonum muelleri,det,GPD,-5.499526777828786,NA,NA,NA
Agonum muelleri,det,eff_z,2.1134560653554733,0.86320603485206,2.448379622042015,0.014350037244311045
Amara aenea,state,(Intercept),17.027121818165206,1216.8737642539782,0.01399251287877336,0.988835954310573
Amara aenea,state,DOY_z,0.08871008921366891,1603.6892014682296,5.531626024073239e-5,0.9999558640100151
Amara aenea,det,(Intercept),2.7208735832497557,NA,NA,NA
Amara aenea,det,Pitfall10,15.161822018921876,NA,NA,NA
Amara aenea,det,Pitfall8,-1.6647099023194718,NA,NA,NA
Amara aenea,det,Pitfall6,-2.0263873701277872,NA,NA,NA
Amara aenea,det,Pitfall4,-2.8186558824996473,NA,NA,NA
Amara aenea,det,Pitfall2,-2.6653754786685333,NA,NA,NA
Amara aenea,det,GPD,-3.265819827316951,NA,NA,NA
Amara aenea,det,eff_z,0.68470070075668,0.6814025429072711,1.0048402488128925,0.3149737797087913
Amara convexior,state,(Intercept),12.2578266848819,124.64754986312118,0.09833989274833359,0.9216624018501911
Amara convexior,state,DOY_z,-0.3225460968658257,136.37523966620248,-0.0023651367920987892,0.9981128956287678
Amara convexior,det,(Intercept),2.5911906397920452,NA,NA,NA
Amara convexior,det,Pitfall10,10.185674124497284,NA,NA,NA
