species,final_class,delta_gpd_p4,Pitfall2,Pitfall4,Pitfall6,Pitfall8,Pitfall10,GPD
Abax parallelepipedus,GPD-disfavoured vs Pitfall4,-0.1325579319841822,0.9218610433483816,0.9260134642336167,0.9306452914836226,0.9160118835281004,0.9999978494086708,0.7934555322494345
Bembidion lunulatum,GPD-disfavoured vs Pitfall4,-0.30289414872605114,0.24774544609697063,0.7029621159773591,0.925039914394814,0.9999986472067908,0.9999986317116916,0.400067967251308
Calathus fuscipes,GPD-disfavoured vs Pitfall4,-0.28987420937799135,0.28614247052309616,0.9112339160156002,0.9999963228327592,0.9999907481120758,0.9999861749090456,0.6213597066376089
Carabus nemoralis,GPD-disfavoured vs Pitfall4,-0.16011991875725828,0.7830209660628397,0.8578422742199906,0.9999973159867604,0.9999969788502798,0.9999967840873578,0.6977223554627323
Harpalus affinis,GPD-disfavoured vs Pitfall4,-0.1923157294332829,0.6133376912140625,0.9517169924388132,0.9524836002237818,0.951851830581928,0.9999967695357462,0.7594012630055303
Loricera pilicornis,GPD-disfavoured vs Pitfall4,-0.13790484774300515,0.677922188940925,0.8711006026215551,0.9999982632581808,0.9999974259843958,0.9999965254874608,0.7331957548785499
Nebria brevicollis,GPD-disfavoured vs Pitfall4,-0.1403790824095822,0.4414704973425838,0.8033038077614267,0.9999945728111698,0.9999895524090388,0.9999835018072312,0.6629247253518445
Trechus quadristriatus,GPD-disfavoured vs Pitfall4,-0.20204267610892013,0.5704631121111994,0.801219466883129,0.9576575377521356,0.9524042660252722,0.9999938459469891,0.5991767907742088
Amara aenea,GPD-favoured vs Pitfall4,0.24336108009743856,0.34519782732585746,0.41158736777945554,0.6652751315239626,0.7815506831376814,0.9999999882287444,0.6549484478768941
Amara similata,GPD-favoured vs Pitfall4,0.2834928738632605,0.35791009173247385,0.44537194567522154,0.7096594412309909,0.8128939690112188,0.9999991591517544,0.728864819538482
Parophonus maculicornis,GPD-favoured vs Pitfall4,0.25195886802268896,0.28048474832606873,0.5067309935505608,0.5810315185336936,0.7990805814696917,0.9999975553602832,0.7586898615732498
Pseudoophonus rufipes,GPD-favoured vs Pitfall4,0.3612504467743711,0.3133359455135869,0.5250488107543958,0.8834470449739723,0.9999987227162028,0.99999846547077,0.8862992575287669
Agonum muelleri,Intermediate / mixed response,-0.08388116335626805,0.7761427921005256,0.8863547779917801,0.9530970497086118,0.954941360185964,0.9999994661946002,0.802473614635512
Amara convexior,Intermediate / mixed response,-0.05559657899809467,0.4779491048601951,0.7601913521435504,0.8059014485570598,0.9441796697308144,0.9999985979443472,0.7045947731454557
Anchomenus dorsalis,Intermediate / mixed response,0.06601992499440801,0.6876296518459765,0.7496111943178032,0.841666544316416,0.9618942237467972,0.9999763495136624,0.8156311193122112
Asaphidion stierlini,Intermediate / mixed response,0.0030484712736555952,0.32744983231726676,0.496452938056898,0.5858433947416367,0.8332286072210384,0.9999954235805372,0.4995014093305536
Bembidion lampros,Intermediate / mixed response,4.9762691625043765e-5,0.4624557352843248,0.6465665841404937,0.8328437165549942,0.95719139868777,0.9999935080872157,0.6466163468321188
Bembidion obtusum,Intermediate / mixed response,-0.09605184316268861,0.11152477160413658,0.4185357349212742,0.6758364278133443,0.7868216069626159,0.9999926673492564,0.3224838917585856
Bembidion properans,Intermediate / mixed response,-0.002152553251284939,0.5647724359186714,0.7480454705837132,0.8457560520933439,0.9256144350641616,0.9999991255757196,0.7458929173324282
Bembidion quadrimaculatum,Intermediate / mixed response,-0.08289001173311494,0.498756542878348,0.7492122245221327,0.749760277707223,0.9164549628136311,0.9999998158869332,0.6663222127890177
Carabus auratus,Intermediate / mixed response,0.09517941263713514,0.35066998350772577,0.7079895327787618,0.9137316164742006,0.9999965261604246,0.99999586066404,0.8031689454158969
Harpalus dimidiatus,Intermediate / mixed response,0.00924660475492356,0.5328357490358351,0.7875095232456847,0.8384199814749891,0.8939287800644404,0.9999970825934228,0.7967561280006082
Harpalus distinguendus,Intermediate / mixed response,-0.05873866974407893,0.5203565328811182,0.8110666279607534,0.8419622003614056,0.95188380153408,0.9999768354697118,0.7523279582166744
Harpalus rubripes,Intermediate / mixed response,0.010106930078836673,0.6187289497535198,0.70799651973885,0.8003120868287136,0.9039277551665807,0.9999999618128884,0.7181034498176867
Nebria salina,Intermediate / mixed response,-0.07105001870244843,0.5781899145612779,0.7979725425089216,0.8407335563172645,0.9701440761069986,0.9999988685003802,0.7269225238064732
Notiophilus biguttatus,Intermediate / mixed response,-0.07610354637197636,0.31588411085366186,0.6678877454594973,0.9261830225172368,0.9999909983387086,0.9999954006473726,0.5917841990875209
Notiophilus quadripunctatus,Intermediate / mixed response,0.004766993477442694,0.5833166662726317,0.723802418229962,0.952892288319792,0.9999984066656386,0.9999975717330712,0.7285694117074047
Notiophilus substriatus,Intermediate / mixed response,0.004401208683837421,0.5489284471988811,0.7134735372585225,0.883618728961825,0.8844856686495669,0.9999997726159516,0.7178747459423599
Poecilus versicolor,Intermediate / mixed response,0.03982557109685547,0.8442706687450656,0.8214213299505546,0.8347201124270319,0.999999348923368,0.9999998927130688,0.8612469010474101
Pterostichus madidus,Intermediate / mixed response,0.024395936825816755,0.6127678759430151,0.8343478433765908,0.8894765982885442,0.999999878692758,0.9999999032301724,0.8587437802024076
Poecilus cupreus,Method-insensitive,-0.0024005382841120193,0.9245169598647084,0.9857403128571498,0.98978759014704365,0.9999999629169232,0.9999999999906246,0.9833397745730378
