contrast,estimate,SE,df,t.ratio,p.value
Pitfall4 - Pitfall2,0.24733408081913,0.755451820191428,633.015056401022,0.32739888131642425,0.9995008992287318
Pitfall4 - Pitfall6,0.42508639710966545,0.8586386757964328,374.488677256119,0.49507017222975114,0.9963315386268156
Pitfall4 - Pitfall8,0.6446046015990158,0.9119988570695213,282.66299359518376,0.7068041770033466,0.9810305059338458
Pitfall4 - Pitfall10,0.5715666396147057,1.0470663670708276,133.78203158779834,0.545874318562696,0.9941110711249355
Pitfall4 - GPD,0.3954348185667164,0.7665794196112566,598.6878585661068,0.515843249179905,0.9955599662676462
Pitfall2 - Pitfall6,0.17775231629053545,0.8184594151770526,428.87192202393686,0.21717914534843896,0.999933536342656
Pitfall2 - Pitfall8,0.3972705207798858,0.8748378259405994,309.0181428739542,0.4541076174349828,0.9975617869625248
Pitfall2 - Pitfall10,0.32423255879557566,1.014908322909754,136.591802555998,0.31946979985935786,0.9995484168622255
Pitfall2 - GPD,0.14810073774758642,0.7173713113506067,791.0376828612178,0.20644920615622994,0.9999484783561043
Pitfall6 - Pitfall8,0.21951820448935033,0.9618546070935549,239.63449839174498,0.22822389462028006,0.9999145009442211
Pitfall6 - Pitfall10,0.14648024250504021,1.0890332400539828,126.06308249022219,0.1345048407317478,0.9999937173908574
Pitfall6 - GPD,-0.02965157854294903,0.8277910266027901,414.79778456444365,-0.035820125599376834,0.9999999916739979
Pitfall8 - Pitfall10,-0.07303796198431012,1.1296644671697287,116.23599106198435,-0.06465456257759446,0.9999998370711278
Pitfall8 - GPD,-0.24916978303229936,0.882757328301751,303.34715123423473,-0.28226305808375707,0.9997571518454499
Pitfall10 - GPD,-0.17613182104798925,1.0234492892450833,135.24693554994542,-0.172096285471953,0.9999786409508911
