species,mean_BL
Abacetus salzmanni,6
Abax carinatus,15.666666666666666
Abax ovalis,13.5
Abax parallelepipedus,18.547857142857143
Abax parallelus,15.347142857142858
Abax pyrenaeus,18
Abax schueppeli,23.067500000000003
Acinopus megacephalus,14
Acinopus picipes,14.5
Acupalpus brunnipes,3.25
Acupalpus dubius,2.9
Acupalpus elegans,4
Acupalpus exiguus,2.25
Acupalpus flavicollis,3.2
Acupalpus interstitialis,3.25
Acupalpus luteatus,2.5
Acupalpus maculatus,3.25
Acupalpus mediterraneus,3.75
Acupalpus meridianus,3.625
Acupalpus notatus,3.25
Acupalpus suturalis,3.25
Aepopsis robini,2.5
Aepus marinus,2.3
Agonum antennarium,7
Agonum emarginatum,8
Agonum ericeti,6.5
Agonum fuliginosum,6.382857142857143
Agonum gracile,6.5
Agonum gracilipes,8
Agonum impressum,8.75
Agonum longicorne,7.5
Agonum lugens,8.5
Agonum marginatum,9.25
Agonum micans,6.75
Agonum muelleri,7.5
Agonum nigrum,8.5
Agonum numidicum,7
Agonum piceum,6.5
Agonum scitulum,6.5
Agonum sexpunctatum,8.4
Agonum thoreyi,7.25
Agonum versutum,7.5
Agonum viduum,8
Agonum viridicupreum,9
Agostenus quadrisulcatus,13.5
Agostenus sulcicollis,14
Amara aenea,7.055555555555555
Amara affinis,6.25
Amara anthobia,6
Amara apricaria,7.1
Amara arenaria,6
Amara aulica,12
Amara bickhardti,6.5
Amara bifrons,6.05
Amara brevis,7.616666666666666
Amara brunnea,6.166666666666667
Amara cardui,9.75
Amara communis,6.288888888888889
Amara concinna,7.5
Amara consularis,8.066666666666666
Amara convexior,7.6
Amara convexiuscula,9.5
Amara crenata,7.775
Amara cursitans,8
Amara curta,6.45
Amara equestris,9.67142857142857
Amara erratica,7.05
Amara erythrocnema,7.25
Amara eurynota,10.116666666666667
Amara eximia,7.75
Amara famelica,7.875
Amara familiaris,6.1
Amara floralis,7.5
Amara frigida,6.5
Amara fulva,8.65
Amara fulvipes,10.25
Amara fusca,8.25
Amara glabrata,6.5
Amara infima,5.15
Amara infuscata,11
Amara ingenua,9.75
Amara kulti,9.25
Amara lantoscana,4.75
Amara lucida,5.366666666666667
Amara lunicollis,7.5
Amara messae,7
Amara montana,7.5
Amara montivaga,7.683333333333334
Amara morio,5.25
Amara municipalis,6.75
Amara nigricornis,7.625
Amara nitida,7.466666666666667
Amara ovata,9
Amara plebeja,6.5
Amara praetermissa,6.25
Amara proxima,7.75
Amara puncticollis,9.5
Amara quenseli,7
Amara rufipes,8.625
Amara rufoaenea,8.75
Amara sabulosa,7
Amara schimperi,6.666666666666667
Amara similata,8.55
Amara simplex,6.5
Amara spreta,7.75
Amara strenua,8.833333333333334
Amara subconvexa,7.5
Amara tibialis,4.794444444444444
Amara tricuspidata,7.625
Amblystomus niger,2.75
Anchomenus cyaneus,10
Anchomenus dorsalis,7.1
Anisodactylus binotatus,10.5
Anisodactylus hispanus,11.122666666666667
Anisodactylus intermedius,13
Anisodactylus nemorivagus,8.6075
