species,n_sites,total_abundance,status,model_status,rank
Poecilus cupreus,40,13304,unstable,Modelled_unstable,1
Amara aenea,32,218,ok,Modelled_stable,2
Anchomenus dorsalis,29,646,usable_unstable,Excluded,3
Bembidion properans,27,447,usable_unstable,Excluded,4
Harpalus affinis,27,1350,usable_unstable,Excluded,5
Nebria salina,27,250,ok,Modelled_stable,6
Notiophilus quadripunctatus,26,417,usable_unstable,Excluded,7
Bembidion lampros,25,544,ok,Modelled_stable,8
Trechus quadristriatus,25,266,ok,Modelled_stable,9
Harpalus distinguendus,24,273,ok,Modelled_stable,10
Harpalus dimidiatus,23,320,ok,Modelled_stable,11
Nebria brevicollis,21,486,ok,Modelled_stable,12
Notiophilus substriatus,20,191,ok,Modelled_stable,13
Loricera pilicornis,19,536,ok,Modelled_stable,14
Agonum muelleri,18,334,ok,Modelled_stable,15
Amara convexior,16,252,usable_unstable,Excluded,16
Carabus nemoralis,16,157,ok,Modelled_stable,17
Notiophilus biguttatus,16,148,ok,Modelled_stable,18
Pterostichus madidus,16,278,usable_unstable,Excluded,19
Amara similata,15,64,ok,Modelled_stable,20
Asaphidion stierlini,14,87,usable_unstable,Excluded,21
Bembidion lunulatum,14,56,usable_unstable,Excluded,22
Bembidion quadrimaculatum,14,176,ok,Modelled_stable,23
Parophonus maculicornis,14,110,usable_unstable,Excluded,24
Bembidion obtusum,13,32,ok,Modelled_stable,25
Poecilus versicolor,13,581,usable_unstable,Excluded,26
Abax parallelepipedus,12,753,ok,Modelled_stable,27
Badister bullatus,12,21,usable_unstable,Excluded,28
Harpalus rubripes,12,84,ok,Modelled_stable,29
Microlestes,12,29,ok,Modelled_stable,30
Pseudoophonus rufipes,11,177,unstable,Modelled_unstable,31
Amara familiaris,10,17,usable_unstable,Excluded,32
Amara lunicollis,10,30,ok,Modelled_stable,33
Calathus fuscipes,10,28,usable_unstable,Excluded,34
Carabus auratus,10,507,unstable,Modelled_unstable,35
Harpalus tardus,10,48,usable_unstable,Excluded,36
Anisodactylus binotatus,9,62,ok,Modelled_stable,37
Brachinus sclopeta,9,633,ok,Modelled_stable,38
Pterostichus melanarius,9,399,usable_unstable,Excluded,39
Clivina fossor,8,28,usable_unstable,Excluded,40
Microlestes minutulus,8,20,unstable,Modelled_unstable,41
Notiophilus rufipes,8,42,unstable,Modelled_unstable,42
Pterostichus strenuus,8,15,ok,Modelled_stable,43
Pterostichus vernalis,8,22,ok,Modelled_stable,44
Syntomus obscuroguttatus,8,33,ok,Modelled_stable,45
Amara communis,7,58,ok,Modelled_stable,46
Brachinus crepitans,7,84,ok,Modelled_stable,47
Brachinus explodens,7,19,ok,Modelled_stable,48
Stenolophus teutonus,7,13,ok,Modelled_stable,49
Syntomus foveatus,7,34,unstable,Modelled_unstable,50
Tachys bistriatus,7,16,usable_unstable,Excluded,51
Harpalus anxius,6,9,unstable,Modelled_unstable,52
Harpalus latus,6,26,skip,Excluded,53
Abax ovalis,5,187,skip,Excluded,54
Acupalpus meridianus,5,10,skip,Excluded,55
Carabus problematicus,5,28,skip,Excluded,56
