species,pct_winged,n_records,n_winged,n_notwinged
Abax parallelepipedus,0,6,0,6
Abax parallelus,0,3,0,3
Abax schueppeli,0,1,0,1
Acinopus megacephalus,0.5,2,1,1
Acinopus picipes,0.3333333333333333,3,1,2
Acupalpus dubius,1,1,1,0
Acupalpus elegans,1,1,1,0
Acupalpus exiguus,1,2,2,0
Acupalpus flavicollis,1,1,1,0
Acupalpus luteatus,1,1,1,0
Acupalpus meridianus,1,1,1,0
Acupalpus parvulus,1,1,1,0
Acupalpus suturalis,1,1,1,0
Aepus marinus,0,1,0,1
Agonum fuliginosum,0.5,6,3,3
Agonum gracilipes,1,1,1,0
Agonum lugens,1,1,1,0
Agonum micans,1,1,1,0
Agonum muelleri,1,2,2,0
Agonum permoestum,1,1,1,0
Agonum sexpunctatum,1,2,2,0
Agonum thoreyi,1,1,1,0
Agonum viduum,1,1,1,0
Amara aenea,1,13,13,0
Amara anthobia,1,2,2,0
Amara apricaria,1,3,3,0
Amara aulica,1,1,1,0
Amara bickhardti,1,1,1,0
Amara bifrons,1,3,3,0
Amara brunnea,1,1,1,0
Amara communis,1,10,10,0
Amara concinna,1,1,1,0
Amara consularis,1,4,4,0
Amara convexior,1,3,3,0
Amara convexiuscula,1,2,2,0
Amara crenata,1,1,1,0
Amara cursitans,1,1,1,0
Amara curta,0.6666666666666666,3,2,1
Amara equestris,1,2,2,0
Amara erratica,1,2,2,0
Amara erythrocnema,1,1,1,0
Amara eurynota,1,8,8,0
Amara famelica,1,2,2,0
Amara familiaris,1,9,9,0
Amara fulva,1,4,4,0
Amara fulvipes,1,1,1,0
Amara infima,0,1,0,1
Amara kulti,1,2,2,0
Amara littorea,1,1,1,0
Amara lucida,1,4,4,0
Amara lunicollis,1,7,7,0
Amara montivaga,1,4,4,0
Amara nigricornis,1,1,1,0
Amara nitida,1,4,4,0
Amara ovata,1,4,4,0
Amara plebeja,1,3,3,0
Amara praetermissa,1,1,1,0
Amara quenseli,0.6666666666666666,3,2,1
Amara rufipes,1,1,1,0
Amara schimperi,1,2,2,0
Amara sicula,1,1,1,0
Amara similata,1,7,7,0
Amara spreta,1,4,4,0
Amara strenua,1,2,2,0
Amara subconvexa,1,1,1,0
Amara tibialis,1,6,6,0
Amara tricuspidata,1,2,2,0
Anchomenus dorsalis,1,6,6,0
Anisodactylus binotatus,1,4,4,0
Anisodactylus hispanus,1,1,1,0
Anisodactylus nemorivagus,0.5,2,1,1
