species,status,reason,n_sites_available,n_sites_detected,n_rep
Abax ovalis,skip,n_detected_sites<9,64,5,NA
Abax parallelepipedus,ok,NA,64,11,6
Abax parallelus,skip,n_detected_sites<9,64,2,NA
Acupalpus brunnipes,skip,n_detected_sites<9,64,1,NA
Acupalpus dubius,skip,n_detected_sites<9,64,2,NA
Acupalpus meridianus,skip,n_detected_sites<9,64,4,NA
Acupalpus notatus,skip,n_detected_sites<9,64,1,NA
Acupalpus parvulus,skip,n_detected_sites<9,64,1,NA
Agonum marginatum,skip,n_detected_sites<9,64,1,NA
Agonum muelleri,ok,NA,64,15,6
Agonum nigrum,skip,n_detected_sites<9,64,1,NA
Agonum viridicupreum,skip,n_detected_sites<9,64,0,NA
Amara aenea,ok,NA,64,31,6
Amara anthobia,skip,n_detected_sites<9,64,2,NA
Amara communis,skip,n_detected_sites<9,64,7,NA
Amara convexior,usable_unstable,large_or_missing_se,64,13,6
Amara familiaris,usable_unstable,extreme_coef,64,10,6
Amara fulvipes,skip,n_detected_sites<9,64,2,NA
Amara kulti,skip,n_detected_sites<9,64,1,NA
Amara lucida,skip,n_detected_sites<9,64,2,NA
Amara lunicollis,skip,n_detected_sites<9,64,8,NA
Amara nitida,skip,n_detected_sites<9,64,2,NA
Amara ovata,skip,n_detected_sites<9,64,2,NA
Amara plebeja,skip,n_detected_sites<9,64,2,NA
Amara similata,ok,NA,64,15,6
Amara strenua,skip,n_detected_sites<9,64,1,NA
Amblystomus niger,skip,n_detected_sites<9,64,1,NA
Anchomenus dorsalis,usable_unstable,extreme_coef,64,27,6
Anisodactylus binotatus,skip,n_detected_sites<9,64,7,NA
Anisodactylus signatus,skip,n_detected_sites<9,64,3,NA
Apotomus rufus,skip,n_detected_sites<9,64,1,NA
Asaphidion curtum,skip,n_detected_sites<9,64,1,NA
Asaphidion flavipes,skip,n_detected_sites<9,64,1,NA
Asaphidion stierlini,usable_unstable,large_or_missing_se,64,13,6
