species,final_class,delta_gpd_p4,Pitfall2,Pitfall4,Pitfall6,Pitfall8,Pitfall10,GPD
Abax parallelepipedus,GPD-disfavoured vs Pitfall4,-0.12010441137395844,0.9133424661911802,0.924273609710306,0.9284485641723276,0.9148777824262588,0.9998943992034114,0.8041691983363476
Bembidion lunulatum,GPD-disfavoured vs Pitfall4,-0.21615098262478738,0.22441539712972677,0.6353979342072885,0.8553004471508522,0.927206025581644,0.9273009233028984,0.41924695158250114
Calathus fuscipes,GPD-disfavoured vs Pitfall4,-0.20695591188277251,0.25345302538891634,0.8264836698803527,0.9095004648140912,0.9126083981307396,0.899832339641094,0.6195277579975802
Pterostichus melanarius,GPD-disfavoured vs Pitfall4,-0.17259098829189046,0.6612409244487224,0.9358057814338008,0.9120100016356926,0.9239521143610594,0.9131200904463008,0.7632147931419103
Pterostichus strenuus,GPD-disfavoured vs Pitfall4,-0.22765748942436656,0.3051731926439859,0.4736056589876544,0.7947841676140533,0.8977141447683497,0.9141416346865906,0.24594816956328783
Syntomus obscuroguttatus,GPD-disfavoured vs Pitfall4,-0.13838576767666766,0.39429212210520653,0.7566774013929233,0.7450536410389037,0.749130276890766,0.7129604942094769,0.6182916337162556
Agonum muelleri,GPD-favoured vs Pitfall4,0.17394445260998226,0.5163745782255829,0.5966383141362506,0.717676906859137,0.7155279441219939,0.7681390976836889,0.7705827667462328
Amara aenea,GPD-favoured vs Pitfall4,0.341259548004122,0.3157955364708493,0.35722965514958976,0.5577202575983449,0.6652741952486126,0.8352555573674625,0.6984892031537118
Amara communis,GPD-favoured vs Pitfall4,0.7990799023863949,0.2024027700465525,0.11957124265976174,0.07142419046080678,0.2324901856575532,0.2642791163873398,0.9186511450461566
Amara familiaris,GPD-favoured vs Pitfall4,0.19189656915154768,0.19828560900848924,0.239763988180082,0.1947123046549059,0.4855449705079455,0.5446155705535496,0.43166055733162967
Amara lunicollis,GPD-favoured vs Pitfall4,0.1742061935277266,0.14710658380021024,0.3168055607168129,0.3520519387673048,0.3971923562402041,0.7064620501442977,0.49101175424453947
Anchomenus dorsalis,GPD-favoured vs Pitfall4,0.1688963454615675,0.5943752549021353,0.6575830344711318,0.75593338124824,0.8611876332759043,0.8929489775062527,0.8264793799326993
Anisodactylus binotatus,GPD-favoured vs Pitfall4,0.1084999571860169,0.2527515835604737,0.5106635982558202,0.6527916102157323,0.6407596125378241,0.7691422347807592,0.6191635554418371
Brachinus crepitans,GPD-favoured vs Pitfall4,0.5127944463390919,0.15131412963486027,0.194921161589924,0.3683915414260163,0.4434408721242667,0.5198984451784309,0.7077156079290159
Brachinus explodens,GPD-favoured vs Pitfall4,0.13528732981129798,0.1462503492892805,0.12594442124534733,0.5955966312892615,0.5552506326943912,0.7269421165321033,0.2612317510566453
Clivina fossor,GPD-favoured vs Pitfall4,0.2327490438900322,0.14625571558010717,0.27509054762554025,0.5359356188746035,0.6553867549291995,0.7386397094651309,0.5078395915155725
Harpalus dimidiatus,GPD-favoured vs Pitfall4,0.19020799106889863,0.4721134415172609,0.6403579297952072,0.669785058055497,0.7276465357273079,0.8069106567208405,0.8305659208641059
Harpalus distinguendus,GPD-favoured vs Pitfall4,0.13836873757188417,0.43369151111323345,0.658323063719189,0.6597054608355335,0.7608345082393277,0.7815008154291605,0.7966918012910732
Harpalus rubripes,GPD-favoured vs Pitfall4,0.12750755045124873,0.5595280847427861,0.6262685462372363,0.6763099938384624,0.7700689003725668,0.8234986771486829,0.753776096688485
Harpalus tardus,GPD-favoured vs Pitfall4,0.5314924056526464,0.15708132142918385,0.3521712163710446,0.579516195287006,0.6752357028778173,0.6763608786137093,0.883663622023691
Nebria salina,GPD-favoured vs Pitfall4,0.1971222519279605,0.4142380600401589,0.5619036024440064,0.6070976516373887,0.7319362136509877,0.75568715658409,0.7590258543719669
Notiophilus biguttatus,GPD-favoured vs Pitfall4,0.14032183608847937,0.18350819318292683,0.536096233084309,0.7818497547888483,0.8130525231561072,0.8275456497898415,0.6764180691727883
Notiophilus quadripunctatus,GPD-favoured vs Pitfall4,0.1875182326363165,0.5062846036565642,0.5988144949489791,0.7741317864551314,0.8277041467570515,0.8203813523295546,0.7863327275852956
Notiophilus rufipes,GPD-favoured vs Pitfall4,0.3166794341590847,0.12847636832426437,0.21902504610723963,0.5991094403230979,0.8433989464033406,0.9275247238426196,0.5357044802663243
Notiophilus substriatus,GPD-favoured vs Pitfall4,0.14959758233008813,0.46613015814254327,0.5938333223941394,0.7488387164600111,0.7463835522016039,0.8484585360789211,0.7434309047242276
Pseudoophonus rufipes,GPD-favoured vs Pitfall4,0.414987201163283,0.3062055689688388,0.48928099524378055,0.7466576668381856,0.8462005369592893,0.8003936490349478,0.9042681964070636
Pterostichus vernalis,GPD-favoured vs Pitfall4,0.26038938353698177,0.2782613380988878,0.49634131759629657,0.6155550820224382,0.7494654053886992,0.7254072504760193,0.7567307011332783
Amara similata,High-effort required (≥8 pitfalls),0.4847939614389826,0.30142589892917576,0.30536324611012583,0.4604250644769904,0.5653650544390804,0.6686391295490651,0.7901572075491085
Asaphidion stierlini,High-effort required (≥8 pitfalls),0.13147663823432693,0.3120723746366961,0.4343287232815574,0.4845589728390184,0.7081545833195889,0.8348718680032575,0.5658053615158843
Badister bullatus,High-effort required (≥8 pitfalls),-0.009884027036763887,0.35557881290173277,0.498775069094905,0.47867289662969265,0.6527763116081168,0.6259285024001441,0.4888910420581411
Brachinus sclopeta,High-effort required (≥8 pitfalls),0.3739366244955635,0.3876722111487084,0.48321486905143735,0.4461367542511316,0.6482662540785373,0.7156832377757272,0.8571514935470008
Microlestes,High-effort required (≥8 pitfalls),0.39056114313358653,0.17472613153556474,0.1728960624728682,0.34595395569159304,0.5210116620328831,0.5621205285335734,0.5634572056064547
Microlestes minutulus,High-effort required (≥8 pitfalls),0.44274618919165465,0.04236726245082031,0.0383860328251865,0.4647992159461206,0.5738163356638444,0.7078622750022372,0.48113222201684114
Parophonus maculicornis,High-effort required (≥8 pitfalls),0.3530421309790538,0.2526326097670267,0.4097889334362762,0.4915518430185864,0.6631209408399881,0.8008795848490389,0.76283106441533
Stenolophus teutonus,High-effort required (≥8 pitfalls),0.2772717365218761,0.3166574642279942,0.4378045022325381,0.41426672012052335,0.5642125223500712,0.6858937571354645,0.7150762387544142
Amara convexior,Intermediate / mixed response,0.014407046509576693,0.4813493866874139,0.7241226561626525,0.7595707553942759,0.8962235364413401,0.9306583311017352,0.7385297026722292
Bembidion lampros,Intermediate / mixed response,0.07498960525325205,0.4653903145786432,0.607579942287741,0.7574945877061466,0.8838760145058172,0.9008526852216088,0.6825695475409931
Bembidion obtusum,Intermediate / mixed response,0.08106868282032598,0.09649258345740867,0.33532702152065175,0.5464630430195151,0.6363643471526411,0.8475320927735774,0.4163957043409777
Bembidion properans,Intermediate / mixed response,0.057185376200658555,0.5355449712156095,0.6938079118946147,0.7826527852280134,0.8584419485593189,0.9231031504885976,0.7509932880952732
Bembidion quadrimaculatum,Intermediate / mixed response,0.09539726492857348,0.3715838679108666,0.619490339968149,0.6422297380938479,0.774015390094551,0.8560684521471381,0.7148876048967224
Carabus nemoralis,Intermediate / mixed response,-0.018733116080542178,0.6705895908850523,0.7590922346857458,0.8879365644223302,0.8761821023099176,0.8802681182151623,0.7403591186052036
