species,sp
"Molops ovipennis Chaudoir, 1847",Molops ovipennis
"Carabus (Eucarabus) arcensis Herbst, 1784",Carabus arcensis
"Molops piceus (Panzer, 1793)",Molops piceus
"Syntomus obscuroguttatus (Duftschmid, 1812)",Syntomus obscuroguttatus
"Ocydromus (Peryphus) tetracolus (Say, 1823)",Ocydromus tetracolus
"Metallina (Metallina) properans (Stephens, 1828)",Metallina properans
"Myriochila (Myriochila) melancholica (Fabricius, 1798)",Myriochila melancholica
"Calathus (Neocalathus) erratus (C.R. Sahlberg, 1827)",Calathus erratus
"Calathus (Neocalathus) melanocephalus (Linne, 1758)",Calathus melanocephalus
"Acupalpus (Acupalpus) dubius Schilsky, 1888",Acupalpus dubius
"Acupalpus (Acupalpus) notatus Mulsant & Rey, 1861",Acupalpus notatus
"Stomis (Stomis) pumicatus (Panzer, 1796)",Stomis pumicatus
"Cephalota (Taenidia) circumdata (Dejean in Latreille & Dejean, 1822)",Cephalota circumdata
"Elaphrus (Elaphrus) riparius (Linne, 1758)",Elaphrus riparius
"Calosoma (Calosoma) inquisitor (Linne, 1758)",Calosoma inquisitor
"Egadroma marginatum (Dejean, 1829)",Egadroma marginatum
"Pterostichus (Calopterus) selmanni (Duftschmid, 1812)",Pterostichus selmanni
"Agonum (Europhilus) fuliginosum (Panzer, 1809)",Agonum fuliginosum
"Agonum (Europhilus) micans (Nicolai, 1822)",Agonum micans
"Agonum (Europhilus) thoreyi Dejean, 1828",Agonum thoreyi
"Amara (Bradytus) apricaria (Paykull, 1790)",Amara apricaria
"Amara (Bradytus) consularis (Duftschmid, 1812)",Amara consularis
"Cychrus angulicollis Sella, 1874",Cychrus angulicollis
"Cychrus caraboides (Linne, 1758)",Cychrus caraboides
"Cychrus grajus K. Daniel & J. Daniel, 1898",Cychrus grajus
"Cychrus semigranosus Palliardi, 1825",Cychrus semigranosus
"Leistus (Leistus) ferrugineus (Linne, 1758)",Leistus ferrugineus
"Leistus (Leistus) fulvibarbis Dejean, 1826",Leistus fulvibarbis
"Dolichus halensis (Schaller, 1783)",Dolichus halensis
"Paradromius (Manodromius) linearis (Olivier, 1795)",Paradromius linearis
"Leistus (Pogonophorus) montanus Stephens, 1828",Leistus montanus
"Leistus (Pogonophorus) rufomarginatus (Duftschmid, 1812)",Leistus rufomarginatus
"Acinopus (Oedematicus) megacephalus (P. Rossi, 1794)",Acinopus megacephalus
"Carabus (Procrustes) coriaceus Linne, 1758",Carabus coriaceus
"Pterostichus (Lianoe) dufourii (Dejean, 1828)",Pterostichus dufourii
"Poecilus (Poecilus) cupreus (Linne, 1758)",Poecilus cupreus
"Poecilus (Poecilus) cursorius (Dejean, 1828)",Poecilus cursorius
"Pterostichus (Haptoderus) pumilio (Dejean, 1828)",Pterostichus pumilio
"Trechicus nigriceps (Dejean, 1831)",Trechicus nigriceps
"Asaphidion austriacum Schweiger, 1975",Asaphidion austriacum
"Asaphidion flavipes (Linne, 1761)",Asaphidion flavipes
"Asaphidion rossii (Schaum, 1857)",Asaphidion rossii
"Anisodactylus (Anisodactylus) binotatus (Fabricius, 1787)",Anisodactylus binotatus
"Anisodactylus (Anisodactylus) hispanus Puel, 1931",Anisodactylus hispanus
"Anisodactylus (Anisodactylus) nemorivagus (Duftschmid, 1812)",Anisodactylus nemorivagus
"Brachinus (Brachinus) crepitans (Linne, 1758)",Brachinus crepitans
"Loricera pilicornis (Fabricius, 1775)",Loricera pilicornis
"Pterostichus (Steropus) madidus (Fabricius, 1775)",Pterostichus madidus
"Harpalus (Harpalus) anxius (Duftschmid, 1812)",Harpalus anxius
"Harpalus (Harpalus) cupreus Dejean, 1829",Harpalus cupreus
"Harpalus (Harpalus) dimidiatus (P. Rossi, 1790)",Harpalus dimidiatus
"Harpalus (Harpalus) laevipes Zetterstedt, 1828",Harpalus laevipes
"Harpalus (Harpalus) latus (Linne, 1758)",Harpalus latus
"Harpalus (Harpalus) luteicornis (Duftschmid, 1812)",Harpalus luteicornis
"Harpalus (Harpalus) oblitus Dejean, 1829",Harpalus oblitus
"Harpalus (Harpalus) picipennis (Duftschmid, 1812)",Harpalus picipennis
"Harpalus (Harpalus) progrediens Schauberger, 1922",Harpalus progrediens
"Harpalus (Harpalus) punctipennis Mulsant, 1852",Harpalus punctipennis
"Harpalus (Harpalus) pygmaeus Dejean, 1829",Harpalus pygmaeus
"Harpalus (Harpalus) serripes (Quensel in Schonherr, 1806)",Harpalus serripes
"Harpalus (Harpalus) smaragdinus (Duftschmid, 1812)",Harpalus smaragdinus
"Harpalus (Harpalus) tardus (Panzer, 1797)",Harpalus tardus
"Poecilus (Macropoecilus) kugelanni (Panzer, 1797)",Poecilus kugelanni
"Poecilus (Macropoecilus) lepidus (Leske, 1785)",Poecilus lepidus
"Poecilus (Macropoecilus) sericeus Fischer von Waldheim, 1824",Poecilus sericeus
