species,n_sites,total_abundance,mean_BL,pct_winged,modeled,log_total_abundance,log_n_sites,log_BL,full_wing
Abax ovalis,9,201,13.5,NA,Non-modelled species,2.305351369446624,1,1.130333768495006,NA
Abax parallelepipedus,34,1013,18.547857142857143,0,Modelled species,3.0060379549973173,1.5440680443502757,1.2682937422643228,not fully winged
Abax parallelus,8,39,15.347142857142858,0,Non-modelled species,1.6020599913279623,0.9542425094393249,1.1860275357173085,not fully winged
Acupalpus,3,9,NA,NA,Non-modelled species,1,0.6020599913279624,NA,NA
Acupalpus brunnipes,1,3,3.25,NA,Non-modelled species,0.6020599913279624,0.3010299956639812,0.5118833609788743,NA
Acupalpus dubius,2,2,2.9,1,Non-modelled species,0.47712125471966244,0.47712125471966244,0.4623979978989561,fully winged
Acupalpus flavicollis,1,1,3.2,1,Non-modelled species,0.3010299956639812,0.3010299956639812,0.505149978319906,fully winged
Acupalpus meridianus,9,21,3.625,1,Non-modelled species,1.3424226808222062,1,0.5593080109070125,fully winged
Acupalpus notatus,1,2,3.25,NA,Non-modelled species,0.47712125471966244,0.3010299956639812,0.5118833609788743,NA
Acupalpus parvulus,2,2,NA,1,Non-modelled species,0.47712125471966244,0.47712125471966244,NA,fully winged
Agonum marginatum,1,7,9.25,NA,Non-modelled species,0.9030899869919435,0.3010299956639812,0.9661417327390326,NA
Agonum muelleri,28,405,7.5,1,Modelled species,2.6085260335771943,1.462397997898956,0.8750612633917001,fully winged
Agonum nigrum,5,7,8.5,NA,Non-modelled species,0.9030899869919435,0.7781512503836436,0.9294189257142927,NA
Agonum viridicupreum,4,8,9,NA,Non-modelled species,0.9542425094393249,0.6989700043360189,0.9542425094393249,NA
Amara,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Amara aenea,56,363,7.055555555555555,1,Modelled species,2.561101383649056,1.7558748556724915,0.8485312158526508,fully winged
Amara anthobia,2,4,6,1,Non-modelled species,0.6989700043360189,0.47712125471966244,0.7781512503836436,fully winged
Amara bifrons,1,1,6.05,1,Non-modelled species,0.3010299956639812,0.3010299956639812,0.7817553746524689,fully winged
Amara communis,11,64,6.288888888888889,1,Modelled species,1.8129133566428555,1.0791812460476249,0.7985739217489466,fully winged
