site_id,species,psi_hat
RMQS_25_AILLEVILLE_640,Abax parallelepipedus,0.039232022403890815
RMQS_25_ALLANCHE_1589,Abax parallelepipedus,0.4732787215093696
RMQS_25_ALLINGES_1275,Abax parallelepipedus,0.048455718038224
RMQS_25_ARFEUILLES_1345,Abax parallelepipedus,0.48246059424288795
RMQS_25_AVESSAC_831,Abax parallelepipedus,0.06853400654001478
RMQS_25_AZAY-LE-FERRON_1126,Abax parallelepipedus,0.07854898968049288
RMQS_25_BAZORDAN_2186,Abax parallelepipedus,0.063982122598797
RMQS_25_BEAUCHENE_438,Abax parallelepipedus,0.046786843766154544
RMQS_25_BESSE_1747,Abax parallelepipedus,0.037868181121154906
RMQS_25_BETTEVILLE_153,Abax parallelepipedus,0.12487884127571017
RMQS_25_BEZIERS_2161,Abax parallelepipedus,0.048455718038224
RMQS_25_BIOL_1517,Abax parallelepipedus,0.08125423603216611
RMQS_25_CANET-DE-SALARS_1882,Abax parallelepipedus,0.2427972028371336
RMQS_25_CARSAC-DE-GURSON_1657,Abax parallelepipedus,0.04064290817549883
RMQS_25_CASTANET_1878,Abax parallelepipedus,0.09933613399146918
RMQS_25_CASTELLET-LES-SAUSSES_1948,Abax parallelepipedus,0.7231680741000136
RMQS_25_CHAMBLAC_325,Abax parallelepipedus,0.03285505504447312
RMQS_25_CHATEAU-L'EVEQUE_1578,Abax parallelepipedus,0.039232022403890815
RMQS_25_CHATRES-SUR-CHER_997,Abax parallelepipedus,0.061813237711710316
RMQS_25_CHAUSSEE-SUR-MARNE_401,Abax parallelepipedus,0.6438754658286489
RMQS_25_CLEMONT_903,Abax parallelepipedus,0.6605679237612063
RMQS_25_CUGNEY_970,Abax parallelepipedus,0.08125423603216611
RMQS_25_DAMBACH-LA-VILLE_10594,Abax parallelepipedus,0.29321918557071053
RMQS_25_DOMPAIRE_647,Abax parallelepipedus,0.3087010692799777
RMQS_25_EBERSHEIM_594,Abax parallelepipedus,0.30090341688192496
RMQS_25_EPANNES_1283,Abax parallelepipedus,0.030595055535664783
RMQS_25_ESPAGNAC_1584,Abax parallelepipedus,0.096091840623747593
RMQS_25_FONDETTES_946,Abax parallelepipedus,0.0519643292321322
RMQS_25_GAS_509,Abax parallelepipedus,0.048455718038224
RMQS_25_GEDRE_2269,Abax parallelepipedus,0.7516503475599495
RMQS_25_HORPS_557,Abax parallelepipedus,0.0759263674400341
RMQS_25_HOUTAUD_1107,Abax parallelepipedus,0.07854898968049288
RMQS_25_JOUILLAT_1295,Abax parallelepipedus,0.063982122598797
RMQS_25_LAGUIOLE_1756,Abax parallelepipedus,0.48246059424288795
RMQS_25_LESCOUT_2110,Abax parallelepipedus,0.061813237711710316
RMQS_25_LITZ_199,Abax parallelepipedus,0.22952312989345722
RMQS_25_LIVRE-SUR-CHANGEON_612,Abax parallelepipedus,0.06622173709823732
RMQS_25_LONDE-LES-MAURES_2207,Abax parallelepipedus,0.05018098680168229
RMQS_25_LUGNY-LES-CHAROLLES_1264,Abax parallelepipedus,0.05018098680168229
RMQS_25_MALREVERS_1635,Abax parallelepipedus,0.1928168868781259
RMQS_25_MELLERAY_680,Abax parallelepipedus,0.0317055836055052
RMQS_25_MONT-PRES-CHAMBORD_899,Abax parallelepipedus,0.05018098680168229
RMQS_25_MONTPEZAT_2099,Abax parallelepipedus,0.06622173709823732
RMQS_25_NAIZIN_663,Abax parallelepipedus,0.332744730888325
RMQS_25_OUESSANT_418,Abax parallelepipedus,0.3576921088020062
RMQS_25_PAUILLAC_1571,Abax parallelepipedus,0.10611805848459425
RMQS_25_PERREUX_803,Abax parallelepipedus,0.1607560621407619
RMQS_25_POMMERAYE_939,Abax parallelepipedus,0.02952223916589576
RMQS_25_PRESSAGNY-L'ORGUEILLEUX_277,Abax parallelepipedus,0.1289563943647562
RMQS_25_RAUVILLE-LA-BIGOT_147,Abax parallelepipedus,0.1289563943647562
RMQS_25_RHODES_412,Abax parallelepipedus,0.7231680741000136
RMQS_25_SAILLY-EN-OSTREVENT_53,Abax parallelepipedus,0.2360957157835745
