site_id,k,draw_id,trap_set,n_species,total_abundance,coverage,mean_pairwise_distance,max_pairwise_distance,convex_hull_area,centroid_distance
RMQS_25_AILLEVILLE_640,2,1,"1,2",8,46,0.9565217391304348,12.649110640673518,12.649110640673518,0,23.194827009486403
RMQS_25_AILLEVILLE_640,2,2,"1,3",9,55,0.9636363636363636,11.661903789690601,11.661903789690601,0,20.8806130178211
RMQS_25_AILLEVILLE_640,2,3,"1,4",8,39,0.9487179487179487,8.48528137423857,8.48528137423857,0,14.560219778561036
RMQS_25_AILLEVILLE_640,2,4,"1,5",11,130,0.9769230769230769,20,20,0,11.40175425099138
RMQS_25_AILLEVILLE_640,2,5,"1,6",12,188,0.9787234042553191,28.844410203711913,28.844410203711913,0,15.811388300841896
RMQS_25_AILLEVILLE_640,2,6,"1,7",11,46,0.9565217391304348,20.591260281974,20.591260281974,0,15.620499351813308
RMQS_25_AILLEVILLE_640,2,7,"1,8",8,35,0.9714285714285714,22.090722034374522,22.090722034374522,0,21.633307652783937
RMQS_25_AILLEVILLE_640,2,8,"1,9",10,198,0.98989898989899,29.120439557122072,29.120439557122072,0,25.80697580112788
RMQS_25_AILLEVILLE_640,2,9,"1,10",10,181,0.9834254143646409,28.284271247461902,28.284271247461902,0,21.213203435596427
RMQS_25_AILLEVILLE_640,2,10,"2,3",9,73,0.9726027397260274,8.48528137423857,8.48528137423857,0,27.202941017470888
RMQS_25_AILLEVILLE_640,2,11,"2,4",8,57,0.9649122807017544,18.110770276274835,18.110770276274835,0,20.8806130178211
RMQS_25_AILLEVILLE_640,2,12,"2,5",11,148,0.9797297297297297,29.120439557122072,29.120439557122072,0,17.4928556845359
RMQS_25_AILLEVILLE_640,2,13,"2,6",12,206,0.9805825242718447,34.40930106817051,34.40930106817051,0,21.213203435596427
RMQS_25_AILLEVILLE_640,2,14,"2,7",11,64,0.96875,26.076809620810597,26.076809620810597,0,21.633307652783937
RMQS_25_AILLEVILLE_640,2,15,"2,8",9,53,0.9622641509433962,20.591260281974,20.591260281974,0,27.784887978899608
RMQS_25_AILLEVILLE_640,2,16,"2,9",10,216,0.9907407407407407,24.331050121192877,24.331050121192877,0,31.906112267087632
RMQS_25_AILLEVILLE_640,2,17,"2,10",9,199,0.9949748743718593,28.844410203711913,28.844410203711913,0,27.018512172212592
RMQS_25_AILLEVILLE_640,2,18,"3,4",9,66,0.9393939393939394,12.649110640673518,12.649110640673518,0,19.235384061671343
RMQS_25_AILLEVILLE_640,2,19,"3,5",11,157,0.9745222929936306,22.090722034374522,22.090722034374522,0,16.97056274847714
RMQS_25_AILLEVILLE_640,2,20,"3,6",12,215,0.9813953488372094,26.076809620810597,26.076809620810597,0,21.633307652783937
RMQS_25_AILLEVILLE_640,2,21,"3,7",10,73,0.9726027397260274,17.88854381999832,17.88854381999832,0,21.213203435596427
RMQS_25_AILLEVILLE_640,2,22,"3,8",9,62,0.967741935483871,12.649110640673518,12.649110640673518,0,27.018512172212592
RMQS_25_AILLEVILLE_640,2,23,"3,9",10,225,0.9866666666666667,18.110770276274835,18.110770276274835,0,31.240998703626616
RMQS_25_AILLEVILLE_640,2,24,"3,10",10,208,0.9759615384615384,20.591260281974,20.591260281974,0,26.90724809414742
RMQS_25_AILLEVILLE_640,2,25,"4,5",10,141,0.9787234042553191,11.661903789690601,11.661903789690601,0,11.661903789690601
RMQS_25_AILLEVILLE_640,2,26,"4,6",11,199,0.9849246231155779,20.591260281974,20.591260281974,0,17.08800749063506
RMQS_25_AILLEVILLE_640,2,27,"4,7",11,57,0.9473684210526316,12.649110640673518,12.649110640673518,0,15.811388300841896
RMQS_25_AILLEVILLE_640,2,28,"4,8",9,46,0.9347826086956522,17.88854381999832,17.88854381999832,0,21.213203435596427
RMQS_25_AILLEVILLE_640,2,29,"4,9",8,209,1,26.076809620810597,26.076809620810597,0,25.45584412271571
RMQS_25_AILLEVILLE_640,2,30,"4,10",9,192,0.984375,22.090722034374522,22.090722034374522,0,21.633307652783937
RMQS_25_AILLEVILLE_640,2,31,"5,6",13,290,0.9793103448275862,12,12,0,19.026297590440446
RMQS_25_AILLEVILLE_640,2,32,"5,7",12,148,0.9797297297297297,8.48528137423857,8.48528137423857,0,16.492422502470642
RMQS_25_AILLEVILLE_640,2,33,"5,8",11,137,0.9854014598540146,20.591260281974,20.591260281974,0,20.591260281974
RMQS_25_AILLEVILLE_640,2,34,"5,9",10,300,0.99,28.844410203711913,28.844410203711913,0,24.698178070456937
RMQS_25_AILLEVILLE_640,2,35,"5,10",11,283,0.9858657243816255,20,20,0,22.135943621178654
RMQS_25_AILLEVILLE_640,2,36,"6,7",13,206,0.9902912621359223,8.48528137423857,8.48528137423857,0,22.360679774997898
RMQS_25_AILLEVILLE_640,2,37,"6,8",13,195,0.9794871794871794,18.110770276274835,18.110770276274835,0,26
RMQS_25_AILLEVILLE_640,2,38,"6,9",11,358,0.9916201117318436,24.331050121192877,24.331050121192877,0,29.966648127543394
RMQS_25_AILLEVILLE_640,2,39,"6,10",13,341,0.9824046920821115,12.649110640673518,12.649110640673518,0,27.892651361962706
RMQS_25_AILLEVILLE_640,2,40,"7,8",11,53,0.9622641509433962,12.649110640673518,12.649110640673518,0,24.698178070456937
RMQS_25_AILLEVILLE_640,2,41,"7,9",12,216,0.9861111111111112,20.591260281974,20.591260281974,0,28.844410203711913
RMQS_25_AILLEVILLE_640,2,42,"7,10",12,199,0.9798994974874372,11.661903789690601,11.661903789690601,0,26
RMQS_25_AILLEVILLE_640,2,43,"8,9",11,205,0.9853658536585366,8.48528137423857,8.48528137423857,0,34.058772731852805
RMQS_25_AILLEVILLE_640,2,44,"8,10",11,188,0.973404255319149,8.48528137423857,8.48528137423857,0,30.528675044947494
RMQS_25_AILLEVILLE_640,2,45,"9,10",10,351,0.9914529914529915,12,12,0,34.66987164671943
RMQS_25_AILLEVILLE_640,4,1,"1,2,3,4",11,112,0.9642857142857143,12.006909682631601,18.110770276274835,96,20.8806130178211
RMQS_25_AILLEVILLE_640,4,2,"1,2,3,5",13,203,0.9753694581280788,17.334576232683215,29.120439557122072,164,19.03943276465977
RMQS_25_AILLEVILLE_640,4,3,"1,2,3,6",14,261,0.9770114942528736,20.354469449549285,34.40930106817051,200,20.40833163195855
RMQS_25_AILLEVILLE_640,4,4,"1,2,3,7",12,119,0.9747899159663865,16.225484921230933,26.076809620810597,152,21.02379604162864
RMQS_25_AILLEVILLE_640,4,5,"1,2,3,8",11,108,0.9722222222222222,14.687898126937455,22.090722034374522,128,24.166091947189145
RMQS_25_AILLEVILLE_640,4,6,"1,2,3,9",12,271,0.985239852398524,17.39309262653208,29.120439557122072,152,26.16295090390226
RMQS_25_AILLEVILLE_640,4,7,"1,2,3,10",11,254,0.9881889763779528,18.419372922958416,28.844410203711913,176,23.50531854708632
RMQS_25_AILLEVILLE_640,4,8,"1,2,4,5",13,187,0.9732620320855615,16.6712509396666,29.120439557122072,104,15.890248582070704
RMQS_25_AILLEVILLE_640,4,9,"1,2,4,6",13,245,0.9836734693877551,20.515022307507223,34.40930106817051,200,17.334935823359714
RMQS_25_AILLEVILLE_640,4,10,"1,2,4,7",13,103,0.9611650485436893,16.427057139107507,26.076809620810597,152,17.88854381999832
RMQS_25_AILLEVILLE_640,4,11,"1,2,4,8",10,92,0.967391304347826,16.635948071255626,22.090722034374522,200,21.02379604162864
RMQS_25_AILLEVILLE_640,4,12,"1,2,4,9",11,255,0.9921568627450981,19.795576931718745,29.120439557122072,260,23.03258561256204
RMQS_25_AILLEVILLE_640,4,13,"1,2,4,10",11,238,0.9873949579831933,19.744094296122544,28.844410203711913,248,20.40833163195855
RMQS_25_AILLEVILLE_640,4,14,"1,2,5,6",15,336,0.9791666666666666,22.837210244946334,34.40930106817051,272,16.278820596099706
RMQS_25_AILLEVILLE_640,4,15,"1,2,5,7",14,194,0.979381443298969,19.487150245803125,29.120439557122072,212,16.507574019219177
RMQS_25_AILLEVILLE_640,4,16,"1,2,5,8",12,183,0.9890710382513661,20.840465466019687,29.120439557122072,316,19.557607215607945
RMQS_25_AILLEVILLE_640,4,17,"1,2,5,9",13,346,0.9855491329479769,24.010908346637077,29.120439557122072,424,21.633307652783937
RMQS_25_AILLEVILLE_640,4,18,"1,2,5,10",13,329,0.9878419452887538,23.149705274828236,29.120439557122072,376,19.209372712298546
RMQS_25_AILLEVILLE_640,4,19,"1,2,6,7",15,252,0.9841269841269842,21.84269553159652,34.40930106817051,176,18.398369492974098
RMQS_25_AILLEVILLE_640,4,20,"1,2,6,8",14,241,0.979253112033195,22.782595750863216,34.40930106817051,328,21.319005605327842
RMQS_25_AILLEVILLE_640,4,21,"1,2,6,9",13,404,0.9900990099009901,25.61422695201063,34.40930106817051,472,23.430749027719962
RMQS_25_AILLEVILLE_640,4,22,"1,2,6,10",14,387,0.9870801033591732,24.280102334067212,34.40930106817051,352,21.213203435596427
RMQS_25_AILLEVILLE_640,4,23,"1,2,7,8",12,99,0.9797979797979798,19.10804558341336,26.076809620810597,256,21.633307652783937
RMQS_25_AILLEVILLE_640,4,24,"1,2,7,9",14,262,0.9847328244274809,22.226655083957844,29.120439557122072,364,23.717082451262844
RMQS_25_AILLEVILLE_640,4,25,"1,2,7,10",13,245,0.9877551020408163,21.35129429738709,28.844410203711913,280,21.319005605327842
RMQS_25_AILLEVILLE_640,4,26,"1,2,8,9",12,251,0.9880478087649402,19.544644001595927,29.120439557122072,212,26.767517628648346
RMQS_25_AILLEVILLE_640,4,27,"1,2,8,10",11,234,0.9914529914529915,20.157509297072405,28.844410203711913,200,24.300205760445735
RMQS_25_AILLEVILLE_640,4,28,"1,2,9,10",12,397,0.9924433249370277,22.53821362836038,29.120439557122072,320,26.40075756488817
RMQS_25_AILLEVILLE_640,4,29,"1,3,4,5",13,196,0.9744897959183674,14.424820271444636,22.090722034374522,116,15.264337522473747
RMQS_25_AILLEVILLE_640,4,30,"1,3,4,6",13,254,0.984251968503937,18.051462651849867,28.844410203711913,176,17.029386365926403
RMQS_25_AILLEVILLE_640,4,31,"1,3,4,7",12,112,0.9732142857142857,13.987535091208088,20.591260281974,128,17.334935823359714
RMQS_25_AILLEVILLE_640,4,32,"1,3,4,8",11,101,0.9702970297029703,14.237445383274842,22.090722034374522,128,20.40833163195855
RMQS_25_AILLEVILLE_640,4,33,"1,3,4,9",11,264,0.9924242424242424,17.68405254313503,29.120439557122072,152,22.47220505424423
RMQS_25_AILLEVILLE_640,4,34,"1,3,4,10",12,247,0.979757085020243,17.293758228068853,28.284271247461902,176,20
RMQS_25_AILLEVILLE_640,4,35,"1,3,5,6",15,345,0.9797101449275363,20.11230760809794,28.844410203711913,248,16.32482771731451
RMQS_25_AILLEVILLE_640,4,36,"1,3,5,7",13,203,0.9852216748768473,16.78628521671267,22.090722034374522,188,16.278820596099706
RMQS_25_AILLEVILLE_640,4,37,"1,3,5,8",12,192,0.9895833333333334,18.18061979684786,22.090722034374522,244,19.209372712298546
RMQS_25_AILLEVILLE_640,4,38,"1,3,5,9",13,355,0.9859154929577465,21.638040976862325,29.120439557122072,316,21.319005605327842
RMQS_25_AILLEVILLE_640,4,39,"1,3,5,10",14,338,0.9822485207100592,20.438026225583506,28.284271247461902,304,19.091883092036785
RMQS_25_AILLEVILLE_640,4,40,"1,3,6,7",14,261,0.9885057471264368,18.924701515070666,28.844410203711913,152,18.439088914585774
RMQS_25_AILLEVILLE_640,4,41,"1,3,6,8",14,250,0.98,19.905621094256,28.844410203711913,256,21.213203435596427
RMQS_25_AILLEVILLE_640,4,42,"1,3,6,9",13,413,0.9903147699757869,23.024230594800482,29.120439557122072,364,23.33452377915607
RMQS_25_AILLEVILLE_640,4,43,"1,3,6,10",15,396,0.9823232323232324,21.35129429738709,28.844410203711913,280,21.319005605327842
RMQS_25_AILLEVILLE_640,4,44,"1,3,7,8",11,108,0.9907407407407407,16.25510853456408,22.090722034374522,184,21.319005605327842
RMQS_25_AILLEVILLE_640,4,45,"1,3,7,9",13,271,0.988929889298893,19.660696334505637,29.120439557122072,256,23.430749027719962
RMQS_25_AILLEVILLE_640,4,46,"1,3,7,10",13,254,0.984251968503937,18.446523868464904,28.284271247461902,208,21.213203435596427
RMQS_25_AILLEVILLE_640,4,47,"1,3,8,9",12,260,0.9884615384615385,17.019704612062352,29.120439557122072,104,26.40075756488817
RMQS_25_AILLEVILLE_640,4,48,"1,3,8,10",12,243,0.9835390946502057,17.293758228068853,28.284271247461902,128,24.08318915758459
