contrast,estimate,SE,df,t.ratio,p.value
Pitfall4 - Pitfall2,0.4733345285669444,0.7898329650472757,552.7964895354291,0.5992843417704309,0.9910668903899786
Pitfall4 - Pitfall6,0.2079244102262931,0.9147760552803936,296.56568719724686,0.22729542277159945,0.9999164453326758
Pitfall4 - Pitfall8,-0.4312102598706272,0.9565352622937048,241.23691710438848,-0.45080435282293213,0.9976384762957252
Pitfall4 - Pitfall10,0.0020601969169223543,1.0901531627077117,115.73484233466189,0.0018898233637237335,1
Pitfall4 - GPD,0.5100718075256252,0.8048580587070088,516.3454051324989,0.6337413187426454,0.9884524966483401
Pitfall2 - Pitfall6,-0.2654101183406513,0.8730602933541378,334.62514122927496,-0.30399975850578914,0.9996509709462162
Pitfall2 - Pitfall8,-0.9045447884375717,0.9167632797829205,264.00160500275626,-0.9866721414188382,0.9219122532442852
Pitfall2 - Pitfall10,-0.4712743316500221,1.0556527691761282,118.11796679678517,-0.4464293046072551,0.9977149764722477
Pitfall2 - GPD,0.036737278958680786,0.7475718372795268,706.4470894212623,0.049142138757354285,0.9999999597110945
Pitfall6 - Pitfall8,-0.6391346700969203,1.0177801972151066,197.06531982712687,-0.6279692529347178,0.9888306753056852
Pitfall6 - Pitfall10,-0.20586421330937074,1.141683694377114,107.43835858169021,-0.18031632957820884,0.9999728886471844
Pitfall6 - GPD,0.3021473972993321,0.8841554722608211,324.35613568842484,0.3417355960334997,0.9993817480470786
Pitfall8 - Pitfall10,0.43327045678754955,1.173374685353819,100.89474521652349,0.369251580245999,0.9990786644855648
Pitfall8 - GPD,0.9412820673962524,0.925038000990835,260.63381184827614,1.017560431450403,0.9118003294164613
Pitfall10 - GPD,0.5080116106087028,1.0661842071070164,116.94173168717228,0.4764763980017498,0.9968840087466576
