species,component,term,estimate,se,z,p
Harpalus anxius,state,(Intercept),-2.115879883145611,0.437612855365504,-4.835049649943169,1.3311240700876924e-6
Harpalus anxius,state,DOY_z,0.08565600367851363,0.41412603909034995,0.20683559011807526,0.8361382602139311
Harpalus anxius,det,(Intercept),16.907574973581834,11184.81176915561,0.0015116548514663344,0.9987938743921053
Harpalus anxius,det,Pitfall8,-38.10856524416508,11184.811786519413,-0.0034071709002824477,0.9972814762024549
Harpalus anxius,det,Pitfall6,-18.222652553058825,11184.811807732553,-0.0016292319322226507,0.9987000615704046
Harpalus anxius,det,Pitfall4,10.623960941428049,11184.825915551708,9.498548320413449e-4,0.9992421256084724
Harpalus anxius,det,Pitfall2,51.516553913249076,11184.877110645926,0.004605911482408231,0.9963250273335024
Harpalus anxius,det,GPD,-58.16072374377362,11184.820595515406,-0.005199969301885215,0.99585104347512865
Harpalus anxius,det,eff_z,42.01599354863411,20.30722669172583,2.0690168178283797,0.0385445085544414
Microlestes minutulus,state,(Intercept),-1.923662939849459,0.4894068066152685,-3.9306011151612057,8.473374851642967e-5
Microlestes minutulus,state,DOY_z,0.026656570911804282,0.49883737235346587,0.05343739741479511,0.9573834089375732
Microlestes minutulus,det,(Intercept),3.419856604040183,5.569346359223826,0.6140499052238497,0.539182349853548
Microlestes minutulus,det,Pitfall8,-0.9328630269753008,2.528355373087554,-0.3689604067944434,0.7121572366557619
Microlestes minutulus,det,Pitfall6,-3.0994406850630924,4.957874013275996,-0.6251551928837915,0.5318692065433492
Microlestes minutulus,det,Pitfall4,-26.533516480751125,8562.387815112323,-0.0030988454451829866,0.9975274830201736
Microlestes minutulus,det,Pitfall2,-29.548983634138864,4576.803478783394,-0.006456249164098603,0.9948486942584053
Microlestes minutulus,det,GPD,1.031576087996799,1.5286393546001138,0.6748328733605419,0.4997819522305617
Microlestes minutulus,det,eff_z,-4.530258022765561,5.725539310455512,-0.7912369083717186,0.42880575748912303
Poecilus cupreus,state,(Intercept),0.41211071590736126,0.2830705224908539,1.4558588166688273,0.14543165242469028
Poecilus cupreus,state,DOY_z,-0.9866341601113278,0.3087185793477571,-3.195901465327522,0.001393947072208697
Poecilus cupreus,det,(Intercept),23.265545129754702,568.3467534786112,0.04093547642764931,0.9673473350409624
Poecilus cupreus,det,Pitfall8,7.785598902634587,24106.62683685418,3.229650898620115e-4,0.9997423111456005
Poecilus cupreus,det,Pitfall6,8.071396026119398,41806.08854604984,1.9306747669609587e-4,0.999845954442108
Poecilus cupreus,det,Pitfall4,-24.25533157030048,568.3905961122695,-0.04267370314745589,0.9659616423162674
Poecilus cupreus,det,Pitfall2,-34.04103824822516,568.5417217625513,-0.059874301120230254,0.9522557478991499
Poecilus cupreus,det,GPD,9.795217435489757,48264.36094021353,2.0294928275593202e-4,0.9998380699017746
Poecilus cupreus,det,eff_z,-7.893874227382163,6.065921508338285,-1.3013479018037333,0.19313939775991232
Syntomus foveatus,state,(Intercept),-2.068705577297267,0.4404666658425691,-4.6966223274581695,2.644988561688589e-6
Syntomus foveatus,state,DOY_z,0.10637124453882586,0.4386641415424408,0.24248903538092006,0.8084012518786268
Syntomus foveatus,det,(Intercept),11.562443668187095,7908.8554398939295,0.001461961690419033,0.9988335237542539
Syntomus foveatus,det,Pitfall8,-25.81480888528405,7908.859035474091,-0.0032640370462408428,0.9973956798592941
Syntomus foveatus,det,Pitfall6,-13.27486466329013,7908.85556908266,-0.001678481108592285,0.9986607664666918
Syntomus foveatus,det,Pitfall4,3.028968899907276,7908.858895486564,3.829843141639373e-4,0.9996944227361692
Syntomus foveatus,det,Pitfall2,29.269041463815114,7908.884500433874,0.003700779985117932,0.9970472115270675
Syntomus foveatus,det,GPD,-36.25547174210024,7908.865176639286,-0.004584155998662033,0.9963423855148418
Syntomus foveatus,det,eff_z,26.45310467260004,13.200898917644016,2.0038866169366263,0.0450822074713682
