source_taxon_unit,source_genus,target_taxon_unit,target_genus,mapping_type
species:cdnom:1180,Haplodrassus,species:cdnom:1184,Haplodrassus,coherent_random
species:cdnom:806888,Agyneta,species:cdnom:806883,Agyneta,coherent_random
species:cdnom:233745,Prinerigone,NA,NA,no_candidate
species:cdnom:233806,Trichopterna,species:cdnom:233805,Trichopterna,coherent_random
species:cdnom:233880,Pardosa,species:cdnom:457342,Pardosa,coherent_random
species:cdnom:907035,Pardosa,species:cdnom:1930,Pardosa,coherent_random
species:cdnom:907604,Haplodrassus,species:cdnom:302882,Haplodrassus,coherent_random
species:cdnom:233458,Alioranus,NA,NA,no_candidate
species:cdnom:233757,Silometopus,NA,NA,no_candidate
species:cdnom:233354,Micaria,species:cdnom:233349,Micaria,coherent_random
species:cdnom:1759,Zora,species:cdnom:1756,Zora,coherent_random
species:cdnom:719821,Eratigena,species:cdnom:719974,Eratigena,coherent_random
species:cdnom:233660,Metopobactrus,NA,NA,no_candidate
species:cdnom:1788,Phrurolithus,species:cdnom:1786,Phrurolithus,coherent_random
species:cdnom:1894,Alopecosa,species:cdnom:1896,Alopecosa,coherent_random
species:cdnom:457240,Ipa,NA,NA,no_candidate
species:cdnom:1781,Scotina,species:cdnom:233864,Scotina,coherent_random
species:cdnom:457342,Pardosa,species:cdnom:1933,Pardosa,coherent_random
species:cdnom:457273,Oonops,NA,NA,no_candidate
species:cdnom:233321,Drassyllus,species:cdnom:233318,Drassyllus,coherent_random
species:cdnom:233417,Zelotes,species:cdnom:233426,Zelotes,coherent_random
species:cdnom:233864,Scotina,species:cdnom:1781,Scotina,coherent_random
species:cdnom:887090,Alopecosa,species:cdnom:233868,Alopecosa,coherent_random
species:cdnom:1897,Alopecosa,species:cdnom:1899,Alopecosa,coherent_random
species:cdnom:1872,Hahnia,species:cdnom:1874,Hahnia,coherent_random
species:cdnom:924,Aulonia,NA,NA,no_candidate
species:cdnom:1924,Pardosa,species:cdnom:458721,Pardosa,coherent_random
species:cdnom:233832,Walckenaeria,species:cdnom:233827,Walckenaeria,coherent_random
species:cdnom:806889,Agyneta,species:cdnom:806880,Agyneta,coherent_random
species:cdnom:1378,Centromerus,species:cdnom:836055,Centromerus,coherent_random
species:cdnom:1421,Minyriolus,NA,NA,no_candidate
species:cdnom:233830,Walckenaeria,species:cdnom:233844,Walckenaeria,coherent_random
species:cdnom:1774,Agroeca,species:cdnom:1777,Agroeca,coherent_random
species:cdnom:1664,Xysticus,species:cdnom:1660,Xysticus,coherent_random
species:cdnom:791746,Iberina,NA,NA,no_candidate
species:cdnom:1941,Trochosa,species:cdnom:457346,Trochosa,coherent_random
species:cdnom:1455,Gongylidiellum,species:cdnom:1457,Gongylidiellum,coherent_random
species:cdnom:233783,Tenuiphantes,species:cdnom:233781,Tenuiphantes,coherent_random
species:cdnom:1927,Pardosa,species:cdnom:1937,Pardosa,coherent_random
species:cdnom:1922,Pardosa,species:cdnom:233885,Pardosa,coherent_random
species:cdnom:233694,Palliduphantes,species:cdnom:233697,Palliduphantes,coherent_random
species:cdnom:234166,Ozyptila,species:cdnom:234165,Ozyptila,coherent_random
species:cdnom:233387,Trachyzelotes,NA,NA,no_candidate
species:cdnom:1323,Enoplognatha,species:cdnom:234094,Enoplognatha,coherent_random
species:cdnom:457392,Xysticus,species:cdnom:234176,Xysticus,coherent_random
species:cdnom:233170,Histopona,NA,NA,no_candidate
species:cdnom:886,Atypus,NA,NA,no_candidate
species:cdnom:233668,Microneta,NA,NA,no_candidate
species:cdnom:1786,Phrurolithus,species:cdnom:1788,Phrurolithus,coherent_random
species:cdnom:233527,Diplocephalus,species:cdnom:233533,Diplocephalus,coherent_random
species:cdnom:1446,Erigone,species:cdnom:1445,Erigone,coherent_random
species:cdnom:1504,Pelecopsis,species:cdnom:233726,Pelecopsis,coherent_random
species:cdnom:233787,Tenuiphantes,species:cdnom:233788,Tenuiphantes,coherent_random
species:cdnom:457316,Pachygnatha,species:cdnom:234067,Pachygnatha,coherent_random
species:cdnom:719829,Civizelotes,NA,NA,no_candidate
species:cdnom:938619,Micaria,species:cdnom:233349,Micaria,coherent_random
species:cdnom:1405,Diplostyla,NA,NA,no_candidate
species:cdnom:233781,Tenuiphantes,species:cdnom:233783,Tenuiphantes,coherent_random
species:cdnom:806894,Piratula,species:cdnom:906427,Piratula,coherent_random
species:cdnom:806896,Piratula,species:cdnom:806894,Piratula,coherent_random
species:cdnom:234165,Ozyptila,species:cdnom:234166,Ozyptila,coherent_random
species:cdnom:233895,Trochosa,species:cdnom:233894,Trochosa,coherent_random
species:cdnom:233320,Drassyllus,species:cdnom:233317,Drassyllus,coherent_random
species:cdnom:806883,Agyneta,species:cdnom:806880,Agyneta,coherent_random
species:cdnom:233805,Trichopterna,species:cdnom:233806,Trichopterna,coherent_random
