source_taxon_unit,source_genus,target_taxon_unit,target_genus,mapping_type
species:cdnom:9291,Anisodactylus,species:cdnom:222409,Anisodactylus,coherent_random
species:cdnom:222447,Harpalus,species:cdnom:9304,Harpalus,coherent_random
species:cdnom:222448,Harpalus,species:cdnom:9304,Harpalus,coherent_random
species:cdnom:9304,Harpalus,species:cdnom:9310,Harpalus,coherent_random
species:cdnom:222579,Pterostichus,species:cdnom:9100,Pterostichus,coherent_random
species:cdnom:222607,Abax,species:cdnom:9157,Abax,coherent_random
species:cdnom:8369,Carabus,species:cdnom:8428,Carabus,coherent_random
species:cdnom:8428,Carabus,species:cdnom:251435,Carabus,coherent_random
species:cdnom:8347,Cychrus,NA,NA,no_candidate
species:cdnom:222455,Harpalus,species:cdnom:9310,Harpalus,coherent_random
species:cdnom:9100,Pterostichus,species:cdnom:9136,Pterostichus,coherent_random
species:cdnom:8381,Carabus,species:cdnom:8410,Carabus,coherent_random
species:cdnom:9327,Harpalus,species:cdnom:9315,Harpalus,coherent_random
species:cdnom:9157,Abax,species:cdnom:9158,Abax,coherent_random
species:cdnom:9158,Abax,species:cdnom:222607,Abax,coherent_random
species:cdnom:8410,Carabus,species:cdnom:8447,Carabus,coherent_random
species:cdnom:8503,Leistus,species:cdnom:8502,Leistus,coherent_random
species:cdnom:8506,Nebria,species:cdnom:8520,Nebria,coherent_random
species:cdnom:8343,Calosoma,NA,NA,no_candidate
species:cdnom:9192,Amara,species:cdnom:9207,Amara,coherent_random
species:cdnom:9278,Brachinus,species:cdnom:9277,Brachinus,coherent_random
species:cdnom:8358,Carabus,species:cdnom:8381,Carabus,coherent_random
species:cdnom:9298,Harpalus,species:cdnom:9315,Harpalus,coherent_random
species:cdnom:222486,Ophonus,species:cdnom:222478,Ophonus,coherent_random
species:cdnom:222541,Poecilus,species:cdnom:222545,Poecilus,coherent_random
species:cdnom:222466,Pseudoophonus,species:cdnom:222465,Pseudoophonus,coherent_random
species:cdnom:222335,Microlestes,species:cdnom:9419,Microlestes,coherent_random
species:cdnom:9200,Amara,species:cdnom:9212,Amara,coherent_random
species:cdnom:8782,Calathus,species:cdnom:222356,Calathus,coherent_random
species:cdnom:9287,Diachromus,NA,NA,no_candidate
species:cdnom:9316,Harpalus,species:cdnom:222449,Harpalus,coherent_random
species:cdnom:9419,Microlestes,species:cdnom:222335,Microlestes,coherent_random
species:cdnom:8532,Notiophilus,species:cdnom:8533,Notiophilus,coherent_random
species:cdnom:9165,Molops,NA,NA,no_candidate
species:cdnom:8729,Trechus,NA,NA,no_candidate
species:cdnom:222539,Poecilus,species:cdnom:222547,Poecilus,coherent_random
species:cdnom:8639,Bembidion,species:cdnom:8632,Bembidion,coherent_random
species:cdnom:8548,Clivina,NA,NA,no_candidate
species:cdnom:222559,Pterostichus,species:cdnom:222557,Pterostichus,coherent_random
species:cdnom:794296,Bembidion,species:cdnom:8639,Bembidion,coherent_random
species:cdnom:222441,Parophonus,NA,NA,no_candidate
species:cdnom:9193,Amara,species:cdnom:9212,Amara,coherent_random
species:cdnom:9306,Harpalus,species:cdnom:222456,Harpalus,coherent_random
species:cdnom:8628,Bembidion,species:cdnom:780498,Bembidion,coherent_random
species:cdnom:222383,Anchomenus,NA,NA,no_candidate
species:cdnom:794298,Bembidion,species:cdnom:8617,Bembidion,coherent_random
species:cdnom:222449,Harpalus,species:cdnom:9310,Harpalus,coherent_random
species:cdnom:795216,Bembidion,species:cdnom:794298,Bembidion,coherent_random
species:cdnom:8526,Notiophilus,species:cdnom:8533,Notiophilus,coherent_random
species:cdnom:8632,Bembidion,species:cdnom:795219,Bembidion,coherent_random
species:cdnom:222478,Ophonus,species:cdnom:222482,Ophonus,coherent_random
species:cdnom:9353,Acupalpus,NA,NA,no_candidate
species:cdnom:223010,Notiophilus,species:cdnom:8532,Notiophilus,coherent_random
species:cdnom:9277,Brachinus,species:cdnom:0,Brachinus,coherent_random
species:cdnom:0,Brachinus,species:cdnom:9278,Brachinus,coherent_random
species:cdnom:9280,Brachinus,species:cdnom:0,Brachinus,coherent_random
species:cdnom:9285,Brachinus,species:cdnom:0,Brachinus,coherent_random
species:cdnom:9275,Gynandromorphus,NA,NA,no_candidate
species:cdnom:8531,Notiophilus,species:cdnom:223010,Notiophilus,coherent_random
species:cdnom:222940,Asaphidion,species:cdnom:222945,Asaphidion,coherent_random
species:cdnom:8838,Platynus,NA,NA,no_candidate
species:cdnom:222552,Pterostichus,species:cdnom:222559,Pterostichus,coherent_random
species:cdnom:794337,Chlaenius,species:cdnom:9376,Chlaenius,coherent_random
species:cdnom:9389,Chlaenius,species:cdnom:9376,Chlaenius,coherent_random
species:cdnom:222829,Tachyura,NA,NA,no_candidate
species:cdnom:8784,Calathus,species:cdnom:8782,Calathus,coherent_random
species:cdnom:8239,Syntomus,species:cdnom:222315,Syntomus,coherent_random
species:cdnom:222315,Syntomus,species:cdnom:8239,Syntomus,coherent_random
species:cdnom:222355,Calathus,species:cdnom:8782,Calathus,coherent_random
species:cdnom:9231,Amara,species:cdnom:9193,Amara,coherent_random
species:cdnom:9435,Demetrias,NA,NA,no_candidate
species:cdnom:8321,Cicindela,NA,NA,no_candidate
species:cdnom:9207,Amara,species:cdnom:9230,Amara,coherent_random
species:cdnom:222558,Pterostichus,species:cdnom:222579,Pterostichus,coherent_random
species:cdnom:8700,Tachys,NA,NA,no_candidate
species:cdnom:222456,Harpalus,species:cdnom:9320,Harpalus,coherent_random
species:cdnom:8540,Loricera,NA,NA,no_candidate
species:cdnom:222945,Asaphidion,species:cdnom:222940,Asaphidion,coherent_random
species:cdnom:780498,Bembidion,species:cdnom:8632,Bembidion,coherent_random
species:cdnom:9136,Pterostichus,species:cdnom:222559,Pterostichus,coherent_random
species:cdnom:8819,Agonum,species:cdnom:8820,Agonum,coherent_random
species:cdnom:8533,Notiophilus,species:cdnom:8531,Notiophilus,coherent_random
species:cdnom:8617,Bembidion,species:cdnom:794284,Bembidion,coherent_random
species:cdnom:9206,Amara,species:cdnom:9217,Amara,coherent_random
species:cdnom:9310,Harpalus,species:cdnom:9315,Harpalus,coherent_random
species:cdnom:8520,Nebria,species:cdnom:8506,Nebria,coherent_random
species:cdnom:794284,Bembidion,species:cdnom:8617,Bembidion,coherent_random
species:cdnom:222409,Anisodactylus,species:cdnom:9291,Anisodactylus,coherent_random
