source_taxon_unit,source_genus,target_taxon_unit,target_genus,mapping_type
species:cdnom:227458,Glomeris,species:cdnom:227454,Glomeris,coherent_random
species:cdnom:969672,Cylindroiulus,species:cdnom:227626,Cylindroiulus,coherent_random
species:cdnom:64859,Glomeris,species:cdnom:227454,Glomeris,coherent_random
species:cdnom:227618,Allajulus,NA,NA,no_candidate
species:cdnom:227676,Tachypodoiulus,NA,NA,no_candidate
species:cdnom:227454,Glomeris,species:cdnom:64859,Glomeris,coherent_random
species:cdnom:227473,Polyzonium,NA,NA,no_candidate
species:cdnom:227522,Melogona,NA,NA,no_candidate
species:cdnom:227628,Cylindroiulus,species:cdnom:227626,Cylindroiulus,coherent_random
species:cdnom:227687,Ophiodesmus,NA,NA,no_candidate
species:cdnom:227593,Blaniulus,NA,NA,no_candidate
species:cdnom:227692,Brachydesmus,NA,NA,no_candidate
species:cdnom:227700,Polydesmus,species:cdnom:64877,Polydesmus,coherent_random
species:cdnom:227621,Brachyiulus,NA,NA,no_candidate
species:cdnom:227623,Cylindroiulus,species:cdnom:969672,Cylindroiulus,coherent_random
species:cdnom:227714,Propolydesmus,NA,NA,no_candidate
species:cdnom:227703,Polydesmus,species:cdnom:64877,Polydesmus,coherent_random
species:cdnom:227699,Polydesmus,species:cdnom:64877,Polydesmus,coherent_random
species:cdnom:227626,Cylindroiulus,species:cdnom:227628,Cylindroiulus,coherent_random
species:cdnom:227668,Ommatoiulus,NA,NA,no_candidate
species:cdnom:227609,Occitaniulus,NA,NA,no_candidate
species:cdnom:64877,Polydesmus,species:cdnom:227699,Polydesmus,coherent_random
species:cdnom:227641,Julus,NA,NA,no_candidate
species:cdnom:227588,Galliobates,NA,NA,no_candidate
