predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,1.6349973117492722,1.6349973117492722,0,Bray-Curtis,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.0190390336509227,1.0190390336509227,0,Bray-Curtis,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,2.486930880335079,2.486930880335079,0,Bray-Curtis,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0,0,0,Bray-Curtis,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.0235140322321374,1.0235140322321374,0,Sørensen,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.6459016190772212,0.6459016190772212,0,Sørensen,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.8241312193981905,1.8241312193981905,0,Sørensen,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0,0,0,Sørensen,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.7731041792310545,1.4934468083278216,-0.27965737090323284,Bray-Curtis,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,0.7287898972773164,0.82324226445168,0.09445236717436367,Bray-Curtis,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,2.5239234920193154,2.6181935689951956,0.09427007697588019,Bray-Curtis,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,0.044881602644327945,0.13083909022440868,0.08595748758008073,Bray-Curtis,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,1.4942677045315593,1.3326915940505473,-0.16157611048101206,Sørensen,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,0.46642407876858066,0.5831640170613913,0.11673993829281065,Sørensen,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,1.7873536460602455,1.9056512866763833,0.11829764061613779,Sørensen,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,0,0,0,Sørensen,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,1.6349973117492722,1.7080957783159394,0.07309846656666719,Bray-Curtis,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.0190390336509227,1.1058116935838713,0.08677265993294858,Bray-Curtis,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
