source_taxon_unit,source_genus,target_taxon_unit,target_genus,mapping_type
species:cdnom:237094,Porcellio,species:cdnom:237088,Porcellio,coherent_random
species:cdnom:237088,Porcellio,species:cdnom:237094,Porcellio,coherent_random
species:cdnom:237025,Armadillidium,species:cdnom:699887,Armadillidium,coherent_random
species:cdnom:237023,Armadillidium,species:cdnom:18829,Armadillidium,coherent_random
species:cdnom:237061,Philoscia,NA,NA,no_candidate
species:cdnom:237051,Oniscus,NA,NA,no_candidate
species:cdnom:237139,Hyloniscus,NA,NA,no_candidate
species:cdnom:311068,Orthometopon,NA,NA,no_candidate
species:cdnom:699887,Armadillidium,species:cdnom:237023,Armadillidium,coherent_random
species:cdnom:237114,Trachelipus,species:cdnom:311119,Trachelipus,coherent_random
species:cdnom:18829,Armadillidium,species:cdnom:237025,Armadillidium,coherent_random
species:cdnom:311119,Trachelipus,species:cdnom:237114,Trachelipus,coherent_random
species:cdnom:237057,Chaetophiloscia,species:cdnom:237055,Chaetophiloscia,coherent_random
species:cdnom:237055,Chaetophiloscia,species:cdnom:237057,Chaetophiloscia,coherent_random
species:cdnom:237211,Trichoniscus,NA,NA,no_candidate
species:cdnom:237115,Trachelipus,species:cdnom:311119,Trachelipus,coherent_random
species:cdnom:781044,Eluma,NA,NA,no_candidate
