predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,4.211792171922344,4.211792171922344,0,Bray-Curtis,isopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,2.15233707488307,2.15233707488307,0,Bray-Curtis,isopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,3.733388667684358,3.733388667684358,0,Bray-Curtis,isopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,1.4661675279886452,1.4661675279886452,0,Bray-Curtis,isopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.890274164141091,1.890274164141091,0,Sørensen,isopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,2.6616930652732815,2.6616930652732815,0,Sørensen,isopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,2.626976512573363,2.626976512573363,0,Sørensen,isopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,1.197366138732026,1.197366138732026,0,Sørensen,isopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,3.434466645746231,3.2591075612334794,-0.17535908451275173,Bray-Curtis,isopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,1.8178285926795814,1.8818279683029724,0.06399937562339097,Bray-Curtis,isopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,3.6327539563284628,3.652311684181681,0.01955772785321841,Bray-Curtis,isopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,1.5021054043516668,1.6686695860497023,0.16656418169803544,Bray-Curtis,isopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,1.64867479166939,1.7843350230033828,0.13566023133399274,Sørensen,isopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,2.216592311723414,2.3133811167501666,0.09678880502675247,Sørensen,isopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,2.5430827299041896,2.5043362765754287,-0.03874645332876092,Sørensen,isopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,1.4382394828293399,1.2738525943969623,-0.1643868884323776,Sørensen,isopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,4.211792171922344,4.211792171922344,0,Bray-Curtis,isopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,2.15233707488307,2.15233707488307,0,Bray-Curtis,isopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,3.733388667684358,3.733388667684358,0,Bray-Curtis,isopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
