assemblage_id,assemblage_label,scenario,scenario_label,scenario_class,alpha_ratio_median,alpha_ratio_p10,alpha_ratio_p90,gamma_ratio_median,gamma_ratio_p10,gamma_ratio_p90,occupancy_ratio_median,occupancy_ratio_p10,occupancy_ratio_p90,delta_log_occupancy_median,n_iter,delta_alpha_pct,delta_alpha_p10,delta_alpha_p90,delta_gamma_pct,delta_gamma_p10,delta_gamma_p90,delta_occupancy_pct,delta_occupancy_p10,delta_occupancy_p90,apparent_signature
araneae_pitfall,"Araneae
pitfall traps",rtu_family_level,"Family-level
resolution",Taxonomic coarsening,0.34042553191489366,0.34042553191489366,0.34042553191489366,0.1003717472118959,0.1003717472118959,0.1003717472118959,3.391646966115052,3.391646966115052,3.391646966115052,1.2213156341272329,1,-65.95744680851064,-65.95744680851064,-65.95744680851064,-89.96282527881041,-89.96282527881041,-89.96282527881041,239.1646966115052,239.1646966115052,239.1646966115052,Apparent homogenisation
araneae_pitfall,"Araneae
pitfall traps",rtu_genus_level,"Genus-level
resolution",Taxonomic coarsening,0.7208619000979432,0.7208619000979432,0.7208619000979432,0.453125,0.453125,0.453125,1.5908676415954608,1.5908676415954608,1.5908676415954608,0.4642795539374085,1,-27.913809990205685,-27.913809990205685,-27.913809990205685,-54.6875,-54.6875,-54.6875,59.08676415954608,59.08676415954608,59.08676415954608,Apparent homogenisation
araneae_pitfall,"Araneae
pitfall traps",rtu_rare_species_to_genus,"Rare taxa
reported at genus",Workflow decision,0.9849290780141844,0.9849290780141844,0.9849290780141844,0.7843866171003717,0.7843866171003717,0.7843866171003717,1.2556678767100267,1.2556678767100267,1.2556678767100267,0.2276676037073985,1,-1.507092198581561,-1.507092198581561,-1.507092198581561,-21.561338289962826,-21.561338289962826,-21.561338289962826,25.566787671002665,25.566787671002665,25.566787671002665,Apparent homogenisation
araneae_pitfall,"Araneae
pitfall traps",rtu_species_only_drop_unresolved,"Drop unresolved
records",Workflow decision,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.8252788104089219,0.8252788104089219,0.8252788104089219,0.9281196089706728,0.9281196089706728,0.9281196089706728,-0.07459466552438893,1,-23.404255319148938,-23.404255319148938,-23.404255319148938,-17.472118959107807,-17.472118959107807,-17.472118959107807,-7.18803910293272,-7.18803910293272,-7.18803910293272,Apparent differentiation
araneae_pitfall,"Araneae
pitfall traps",species_observed_congeneric_10pct,"Observed-pool
error 10%",Identification error,1.2326388888888888,1.223148148148148,1.2527777777777778,0.9864864864864865,0.9774774774774775,0.9954954954954955,1.252675510763746,1.2366346038533031,1.2671379534500253,0.2252815356830115,20,23.263888888888886,22.31481481481481,25.27777777777778,-1.3513513513513487,-2.2522522522522515,-0.45045045045044585,25.267551076374595,23.663460385330314,26.713795345002534,Apparent homogenisation
araneae_pitfall,"Araneae
pitfall traps",species_observed_congeneric_5pct,"Observed-pool
error 5%",Identification error,1.1597222222222223,1.1493055555555556,1.1760416666666667,0.9864864864864865,0.9819819819819819,0.9914414414414414,1.1756119103882865,1.1629071969696967,1.1876436164641808,0.16178862198307276,20,15.972222222222232,14.930555555555557,17.604166666666664,-1.3513513513513487,-1.8018018018018056,-0.8558558558558582,17.56119103882865,16.290719696969667,18.76436164641808,Apparent homogenisation
araneae_pitfall,"Araneae
pitfall traps",species_observed_rare_weighted_10pct,"Rare-weighted
error 10%",Identification error,1.2609953703703705,1.252199074074074,1.2725694444444444,0.9819819819819819,0.9725225225225226,0.990990990990991,1.284124677002584,1.2751752038735982,1.296819714218719,0.25007719275584755,20,26.099537037037045,25.219907407407405,27.256944444444443,-1.8018018018018056,-2.747747747747742,-0.9009009009009028,28.412467700258404,27.517520387359816,29.6819714218719,Apparent homogenisation
carabidae_pitfall,"Carabidae
pitfall traps",rtu_genus_level,"Genus-level
resolution",Taxonomic coarsening,0.7099841521394611,0.7099841521394611,0.7099841521394611,0.3257575757575757,0.3257575757575757,0.3257575757575757,2.1794862344746253,2.1794862344746253,2.1794862344746253,0.7790891767665806,1,-29.00158478605389,-29.00158478605389,-29.00158478605389,-67.42424242424244,-67.42424242424244,-67.42424242424244,117.94862344746252,117.94862344746252,117.94862344746252,Apparent homogenisation
carabidae_pitfall,"Carabidae
pitfall traps",rtu_rare_species_to_genus,"Rare taxa
reported at genus",Workflow decision,0.9906687402799378,0.9906687402799378,0.9906687402799378,0.7925925925925926,0.7925925925925926,0.7925925925925926,1.2499091582971178,1.2499091582971178,1.2499091582971178,0.22307087531106726,1,-0.9331259720062213,-0.9331259720062213,-0.9331259720062213,-20.740740740740737,-20.740740740740737,-20.740740740740737,24.99091582971178,24.99091582971178,24.99091582971178,Apparent homogenisation
carabidae_pitfall,"Carabidae
pitfall traps",rtu_species_only_drop_unresolved,"Drop unresolved
records",Workflow decision,0.9766718506998444,0.9766718506998444,0.9766718506998444,0.9703703703703703,0.9703703703703703,0.9703703703703703,1.0064938919425879,1.0064938919425879,1.0064938919425879,0.006472897467857242,1,-2.3328149300155587,-2.3328149300155587,-2.3328149300155587,-2.9629629629629672,-2.9629629629629672,-2.9629629629629672,0.649389194258787,0.649389194258787,0.649389194258787,Apparent homogenisation
