assemblage_id,scenario,metric_key,assemblage_label,scenario_label,scenario_class,metric_label,domain,median,loss
collembola_soil_core,species_observed_congeneric_10pct,q0_stability,"Collembola
soil cores","Observed-pool
error 10%",Identification error,q0 richness,Alpha diversity,0.9654304003253392,0.03456959967466078
collembola_soil_core,species_observed_congeneric_10pct,q1_stability,"Collembola
soil cores","Observed-pool
error 10%",Identification error,Hill q1,Alpha diversity,0.9556647924209495,0.04433520757905052
collembola_soil_core,species_observed_congeneric_10pct,q2_stability,"Collembola
soil cores","Observed-pool
error 10%",Identification error,Hill q2,Alpha diversity,0.9527509476554574,0.047249052344542575
collembola_soil_core,species_observed_congeneric_10pct,bray_stability,"Collembola
soil cores","Observed-pool
error 10%",Identification error,Bray–Curtis,Beta diversity,0.9336718913550497,0.06632810864495031
collembola_soil_core,species_observed_congeneric_10pct,sorensen_stability,"Collembola
soil cores","Observed-pool
error 10%",Identification error,Sørensen,Beta diversity,0.8780195384279635,0.12198046157203646
collembola_soil_core,species_observed_congeneric_10pct,ordination_procrustes_r2,"Collembola
soil cores","Observed-pool
error 10%",Identification error,Ordination,Beta diversity,0.9539291139766493,0.04607088602335074
collembola_soil_core,species_observed_congeneric_10pct,gdm_bray_predicted_stability,"Collembola
soil cores","Observed-pool
error 10%",Identification error,GDM Bray,Ecological inference,0.9913953408292061,0.008604659170793894
collembola_soil_core,species_observed_congeneric_10pct,gdm_sorensen_predicted_stability,"Collembola
soil cores","Observed-pool
error 10%",Identification error,GDM Sørensen,Ecological inference,0.9831187673345421,0.016881232665457935
collembola_soil_core,species_observed_rare_weighted_10pct,q0_stability,"Collembola
soil cores","Rare-weighted
error 10%",Identification error,q0 richness,Alpha diversity,0.9602068991172417,0.03979310088275834
collembola_soil_core,species_observed_rare_weighted_10pct,q1_stability,"Collembola
soil cores","Rare-weighted
error 10%",Identification error,Hill q1,Alpha diversity,0.950219051586125,0.04978094841387504
collembola_soil_core,species_observed_rare_weighted_10pct,q2_stability,"Collembola
soil cores","Rare-weighted
error 10%",Identification error,Hill q2,Alpha diversity,0.9400987011897204,0.05990129881027961
collembola_soil_core,species_observed_rare_weighted_10pct,bray_stability,"Collembola
soil cores","Rare-weighted
error 10%",Identification error,Bray–Curtis,Beta diversity,0.9219754811234273,0.07802451887657269
collembola_soil_core,species_observed_rare_weighted_10pct,sorensen_stability,"Collembola
soil cores","Rare-weighted
error 10%",Identification error,Sørensen,Beta diversity,0.8531272328413937,0.1468727671586063
collembola_soil_core,species_observed_rare_weighted_10pct,ordination_procrustes_r2,"Collembola
soil cores","Rare-weighted
error 10%",Identification error,Ordination,Beta diversity,0.9686333296395,0.031366670360500004
collembola_soil_core,species_observed_rare_weighted_10pct,gdm_bray_predicted_stability,"Collembola
soil cores","Rare-weighted
error 10%",Identification error,GDM Bray,Ecological inference,0.9941355456731166,0.005864454326883428
collembola_soil_core,species_observed_rare_weighted_10pct,gdm_sorensen_predicted_stability,"Collembola
soil cores","Rare-weighted
error 10%",Identification error,GDM Sørensen,Ecological inference,0.9814214984602274,0.018578501539772585
collembola_soil_core,rtu_rare_species_to_genus,q0_stability,"Collembola
soil cores","Rare taxa
reported at genus",Workflow decision,q0 richness,Alpha diversity,1,0
collembola_soil_core,rtu_rare_species_to_genus,q1_stability,"Collembola
soil cores","Rare taxa
reported at genus",Workflow decision,Hill q1,Alpha diversity,1,0
collembola_soil_core,rtu_rare_species_to_genus,q2_stability,"Collembola
soil cores","Rare taxa
reported at genus",Workflow decision,Hill q2,Alpha diversity,1,0
collembola_soil_core,rtu_rare_species_to_genus,bray_stability,"Collembola
soil cores","Rare taxa
reported at genus",Workflow decision,Bray–Curtis,Beta diversity,0.9998134508640494,1.8654913595061995e-4
collembola_soil_core,rtu_rare_species_to_genus,sorensen_stability,"Collembola
soil cores","Rare taxa
reported at genus",Workflow decision,Sørensen,Beta diversity,0.999554181428879,4.458185711210261e-4
collembola_soil_core,rtu_rare_species_to_genus,ordination_procrustes_r2,"Collembola
soil cores","Rare taxa
reported at genus",Workflow decision,Ordination,Beta diversity,0.999962194508653,3.780549134702049e-5
collembola_soil_core,rtu_rare_species_to_genus,gdm_bray_predicted_stability,"Collembola
soil cores","Rare taxa
reported at genus",Workflow decision,GDM Bray,Ecological inference,0.9999874153888566,1.2584611143395819e-5
collembola_soil_core,rtu_rare_species_to_genus,gdm_sorensen_predicted_stability,"Collembola
soil cores","Rare taxa
reported at genus",Workflow decision,GDM Sørensen,Ecological inference,0.9999636408089831,3.635919101685481e-5
collembola_soil_core,rtu_species_only_drop_unresolved,q0_stability,"Collembola
soil cores","Drop unresolved
records",Workflow decision,q0 richness,Alpha diversity,0.941185242332233,0.058814757667767004
collembola_soil_core,rtu_species_only_drop_unresolved,q1_stability,"Collembola
soil cores","Drop unresolved
records",Workflow decision,Hill q1,Alpha diversity,0.8534192363902459,0.14658076360975414
collembola_soil_core,rtu_species_only_drop_unresolved,q2_stability,"Collembola
soil cores","Drop unresolved
records",Workflow decision,Hill q2,Alpha diversity,0.8060094738270858,0.19399052617291423
collembola_soil_core,rtu_species_only_drop_unresolved,bray_stability,"Collembola
soil cores","Drop unresolved
records",Workflow decision,Bray–Curtis,Beta diversity,0.8132735900616976,0.18672640993830236
collembola_soil_core,rtu_species_only_drop_unresolved,sorensen_stability,"Collembola
soil cores","Drop unresolved
records",Workflow decision,Sørensen,Beta diversity,0.8805997459177771,0.11940025408222288
collembola_soil_core,rtu_species_only_drop_unresolved,ordination_procrustes_r2,"Collembola
soil cores","Drop unresolved
records",Workflow decision,Ordination,Beta diversity,0.6698972141218771,0.3301027858781229
collembola_soil_core,rtu_species_only_drop_unresolved,gdm_bray_predicted_stability,"Collembola
soil cores","Drop unresolved
records",Workflow decision,GDM Bray,Ecological inference,0.8976741218956866,0.10232587810431337
collembola_soil_core,rtu_species_only_drop_unresolved,gdm_sorensen_predicted_stability,"Collembola
soil cores","Drop unresolved
records",Workflow decision,GDM Sørensen,Ecological inference,0.9446880429317384,0.05531195706826164
collembola_soil_core,rtu_genus_level,q0_stability,"Collembola
soil cores","Genus-level
resolution",Taxonomic coarsening,q0 richness,Alpha diversity,0.9861259852955894,0.013874014704410631
